gene	AP018714	AP018715	Ben	Bill	Bob	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
KEBGJNKE_00001				100.0											95.72
KEBGJNKE_00002									88.976					94.118	100.0
KEBGJNKE_00003			93.447	96.011					86.508					90.476	100.0
KEBGJNKE_00004			96.552	98.276					90.23					91.379	97.126
KEBGJNKE_00005			97.389	99.739				90.842	91.927					92.708	97.65
KEBGJNKE_00006			96.86	98.068				91.304	92.271		97.585			92.512	96.618
KEBGJNKE_00007			94.792	100.0							95.833				100.0
KEBGJNKE_00008			95.96	98.99							96.97				100.0
KEBGJNKE_00009			97.222	98.333							98.333		79.245		100.0
KEBGJNKE_00010				99.51											99.02
KEBGJNKE_00011			93.519								92.593				
KEBGJNKE_00012			97.26	97.945					92.517		96.599				97.959
KEBGJNKE_00013		76.339	95.536	97.321	83.036						94.667	77.679	84.889		96.875
KEBGJNKE_00014			100.0								97.884			98.942	99.471
KEBGJNKE_00015	89.888		98.872					93.609	92.105	91.011		88.015	86.517		98.876
KEBGJNKE_00016	86.806	86.806						84.028	85.417	86.111				84.028	
KEBGJNKE_00017			97.619	96.032							97.619				100.0
KEBGJNKE_00018	93.289	93.421	97.987		93.548	93.421	93.421			93.624		93.421	91.447		100.0
KEBGJNKE_00019									93.897						100.0
KEBGJNKE_00020			95.175	96.491				89.474	89.912		95.175			90.351	99.123
KEBGJNKE_00021								93.822	93.256					94.788	100.0
KEBGJNKE_00022			91.414	91.414				95.455	87.435		90.909			95.96	100.0
KEBGJNKE_00023			91.515	91.515				85.455	89.697		93.333			87.273	100.0
KEBGJNKE_00024			90.439	89.922					83.155		92.248				100.0
KEBGJNKE_00025			96.119	95.662					96.575		99.087				99.772
KEBGJNKE_00026			96.466	96.787				97.108	97.349		96.787			96.867	99.839
KEBGJNKE_00027			92.063	93.122				97.884	98.942		99.471			98.942	100.0
KEBGJNKE_00028			95.816	95.682				94.737			99.19			93.387	93.117
KEBGJNKE_00029															96.451
KEBGJNKE_00030		71.429	96.458	96.322					90.736	71.93	90.872			90.872	98.419
KEBGJNKE_00031			100.0	98.354					89.712		95.473			90.535	99.588
KEBGJNKE_00032			98.942	98.677											96.825
KEBGJNKE_00033			96.831	98.826				93.152	89.492		98.12			89.61	98.474
KEBGJNKE_00034			98.876	99.625				97.378	87.64		100.0			87.64	99.625
KEBGJNKE_00035			98.925	100.0				87.589	89.007		100.0			87.943	97.849
KEBGJNKE_00036			95.614	99.415				94.444			99.123				95.906
KEBGJNKE_00037			94.737	99.691				93.827							
KEBGJNKE_00038			94.372	92.641				88.745	91.304		90.909			91.775	89.61
KEBGJNKE_00039			100.0	99.663				80.822	88.215		98.99			80.479	96.97
KEBGJNKE_00040			99.329	99.105				77.602	77.829		99.151			76.923	99.329
KEBGJNKE_00041			97.243	97.243				83.459	83.92		97.243			83.459	98.997
KEBGJNKE_00042			99.621	99.621				96.591	95.833		99.242			95.833	100.0
KEBGJNKE_00043			97.299	97.762				96.373	96.065		98.302			95.37	99.228
KEBGJNKE_00044			95.016	94.704				98.442	99.377		94.081			98.754	93.769
KEBGJNKE_00045			97.571	97.706				89.892	90.566		98.514			90.566	98.111
KEBGJNKE_00046			97.674	97.674				96.512	95.736		97.287			95.736	98.837
KEBGJNKE_00047			95.895	95.895				94.089	93.596		96.716			93.596	97.373
KEBGJNKE_00048			98.09	98.958				93.924	95.313		98.611			95.139	99.479
KEBGJNKE_00049			95.669	95.857				97.363	96.987		96.987			97.74	
KEBGJNKE_00050		67.55	97.436	97.436	67.577			96.581	98.006		99.145		67.577	96.581	98.291
KEBGJNKE_00051			93.778	98.667					95.111		94.064			92.889	94.977
KEBGJNKE_00052			99.216	98.824										98.0	
KEBGJNKE_00053			98.592	98.592										98.578	
KEBGJNKE_00054			86.434	86.434				96.887			95.635			95.019	97.619
KEBGJNKE_00055															97.183
KEBGJNKE_00056			95.567	96.454				96.454	94.681		95.213			93.44	96.277
KEBGJNKE_00057			99.104	99.462							94.265				99.642
KEBGJNKE_00058			99.605	99.605					89.26		91.963				99.868
KEBGJNKE_00059			99.099	99.099							97.598				100.0
KEBGJNKE_00060		87.402	99.483	97.778			87.927		94.568	88.451	96.79		87.927		99.012
KEBGJNKE_00061		88.571	97.549	97.549			87.619	97.059	97.059	88.571	97.059		88.571	98.039	98.039
KEBGJNKE_00062		89.753	99.184	99.767			89.87	98.252	97.552	89.753	98.531		89.753	96.97	98.951
KEBGJNKE_00063			97.073	97.073				94.309	97.073		99.512			95.61	95.447
KEBGJNKE_00064			100.0	100.0				90.816	97.959		99.66			97.279	87.755
KEBGJNKE_00065	70.356	68.972	99.792	99.896	68.972	67.85	69.17		88.153	68.836	99.896	69.17	68.639	88.153	93.977
KEBGJNKE_00066			96.154	92.54				83.728	83.81		93.333			83.651	90.635
KEBGJNKE_00067			99.067	98.667				92.133	90.533		98.8			91.6	98.0
KEBGJNKE_00068			98.932	98.077				74.786	74.786		98.718			74.573	98.077
KEBGJNKE_00069			99.242	99.621							99.242				98.864
KEBGJNKE_00070			99.697	99.394							99.394				99.394
KEBGJNKE_00071			98.253	97.984				94.406			97.984			94.545	97.984
KEBGJNKE_00072			97.606	97.872				95.629			98.582			96.432	97.163
KEBGJNKE_00073			98.645	99.051							98.916				98.103
KEBGJNKE_00074			95.993	96.903							97.45				97.243
KEBGJNKE_00075			96.296	97.09				94.051			98.148			94.051	98.123
KEBGJNKE_00076			99.583	99.583				83.404	76.17		97.917			83.404	82.553
KEBGJNKE_00077			98.946	98.946				80.979	80.839		98.551			80.839	81.145
KEBGJNKE_00078			99.248	99.248				86.364	85.664		99.248			86.014	86.014
KEBGJNKE_00079								99.099							
KEBGJNKE_00080			94.115	94.844				95.625	67.201		94.323			93.333	94.271
KEBGJNKE_00081			98.095	99.048				89.048	84.286		98.095			99.048	99.048
KEBGJNKE_00082			98.341	99.095				96.037	96.531		98.492			98.492	99.246
KEBGJNKE_00083			98.693	98.693				98.366	98.693		98.693			97.712	99.673
KEBGJNKE_00084			99.134	99.134				97.835	96.97		99.134			98.701	99.134
KEBGJNKE_00085			98.956	99.348				82.353			98.63			81.513	99.217
KEBGJNKE_00086	78.302	77.934	98.667	98.222	78.302	78.302	78.302	98.222	98.667	77.934	98.667		77.934	98.667	100.0
KEBGJNKE_00087			98.63	93.151				89.041						97.183	98.63
KEBGJNKE_00088			100.0	100.0				95.89			100.0			97.26	98.63
KEBGJNKE_00089															
KEBGJNKE_00090			98.667	98.667				97.333			98.667			97.333	98.667
KEBGJNKE_00091			99.458	99.458				95.592	96.97		99.187			98.103	95.592
KEBGJNKE_00092			100.0	100.0				100.0	78.846		100.0			83.516	83.516
KEBGJNKE_00093			100.0	100.0				100.0	100.0		100.0			100.0	100.0
KEBGJNKE_00094			99.454	99.454				98.907	97.814		100.0			99.454	98.361
KEBGJNKE_00096								96.053			100.0				
KEBGJNKE_00097			100.0					96.512			100.0				
KEBGJNKE_00098			100.0					98.592			100.0			100.0	100.0
KEBGJNKE_00099			98.413					93.651			99.206			93.651	100.0
KEBGJNKE_00100			98.016					95.238	97.222		98.016			94.444	99.603
KEBGJNKE_00101	77.778				77.778	77.778									
KEBGJNKE_00102			100.0					100.0			100.0			100.0	100.0
KEBGJNKE_00103			100.0					98.611			100.0			98.611	100.0
KEBGJNKE_00104			100.0					98.63	93.151		100.0			95.89	100.0
KEBGJNKE_00105			98.701					98.701	96.104		100.0			100.0	100.0
KEBGJNKE_00106			100.0					100.0	98.684		100.0			100.0	100.0
KEBGJNKE_00107	95.833		100.0		95.833	95.833	95.833	100.0			100.0				100.0
KEBGJNKE_00108	91.667	92.026	98.901		91.484	91.667	91.667	97.894		92.026	98.81		92.026		99.615
KEBGJNKE_00109			100.0					100.0			93.243			91.892	100.0
KEBGJNKE_00110			100.0	97.015				95.89			100.0			100.0	100.0
KEBGJNKE_00111			100.0	100.0				98.649	100.0		100.0			98.649	100.0
KEBGJNKE_00112			100.0	100.0				89.189			89.189			89.189	98.649
KEBGJNKE_00113			100.0	100.0				100.0			100.0			100.0	100.0
KEBGJNKE_00114			100.0	100.0				100.0			100.0			100.0	100.0
KEBGJNKE_00115			100.0	100.0				97.826			100.0			94.565	100.0
KEBGJNKE_00116															
KEBGJNKE_00117			100.0	100.0				100.0			100.0			100.0	100.0
KEBGJNKE_00118			96.212	96.591				96.97	96.591		96.591			96.97	98.864
KEBGJNKE_00119	82.405	82.405	100.0	100.0	82.405	82.405	82.405	99.138	99.138	82.405	100.0	82.405	82.405	99.425	100.0
KEBGJNKE_00120			98.571	98.571				98.095	97.143		98.571			98.095	98.095
KEBGJNKE_00121			97.669	97.669				97.902	98.601		97.669			98.135	97.902
KEBGJNKE_00122			98.475	98.475	78.619			98.148		76.654	98.257	78.524	76.539	98.802	99.053
KEBGJNKE_00123			98.7	98.463				96.69	97.527		98.463			96.69	98.7
KEBGJNKE_00124	66.998		99.517	99.396	67.727	66.998	67.197	98.913	99.034	67.594	99.275	67.955	66.998	98.792	99.517
KEBGJNKE_00125			99.44	99.16				98.599	97.759		99.16			98.599	98.88
KEBGJNKE_00126			99.602	99.364				88.268	87.323		99.364			88.11	99.682
KEBGJNKE_00127			99.048	98.73				98.624	97.354		98.836			99.153	99.153
KEBGJNKE_00128	79.363	78.421	99.231	98.333	78.494	79.363	78.349	97.821	98.526	78.349	98.397	79.218	78.494	98.077	99.167
KEBGJNKE_00129	75.107	75.751	99.747	99.873	75.536	75.536	75.751	97.212	98.986	75.751	99.873	75.536	75.322	97.338	99.747
KEBGJNKE_00130			99.156	99.156				89.099	90.526		99.156			88.05	99.578
KEBGJNKE_00131	82.078	82.229	98.664	98.875	82.004	81.419	82.229	98.383	98.805	83.09	98.805	82.374	81.931	98.664	99.719
KEBGJNKE_00132			100.0	99.603				99.206	98.413		100.0			98.81	98.81
KEBGJNKE_00133	75.889	75.222	99.777	99.108	75.556	75.778	75.222	97.77	98.105	75.889	99.108	75.889	75.889	98.216	99.666
KEBGJNKE_00134	72.071	72.361	99.427	98.74	71.953	71.834	72.361	98.511	98.167	71.834	99.198	72.071	71.953	98.282	99.198
KEBGJNKE_00135	72.698	72.857	100.0	99.199	72.857	72.54	72.857	98.878	97.917	73.95	99.199	72.857	72.857	99.199	99.359
KEBGJNKE_00136	74.087	74.205	99.645	99.291	73.672	74.144	74.205	99.054	99.054	74.087	99.409	74.205	73.79	99.054	99.645
KEBGJNKE_00137			100.0	99.583				99.583	97.917		99.583			99.167	100.0
KEBGJNKE_00138	81.568	81.51	98.772	99.883	81.51	87.185	87.185	97.953	97.544	81.51	98.713	81.802	81.51	98.07	98.713
KEBGJNKE_00139	88.076	86.052	99.764	97.872	86.525	87.805	87.805	98.345	95.024	88.076	99.527	85.579	86.525	98.578	100.0
KEBGJNKE_00140	73.176	72.941	100.0	100.0	73.176	73.176	73.176	91.139	92.405	72.941	99.578	73.882	73.176	91.139	100.0
KEBGJNKE_00141	77.625	77.453	99.495	100.0	77.453	77.625	77.625	94.108	94.781	77.281	99.495	77.969	77.281	94.444	99.495
KEBGJNKE_00142	69.634	69.445	99.836	99.152	69.844	69.37	69.37	89.132	85.932	69.629	99.234	69.637	69.866	90.003	99.836
KEBGJNKE_00143	70.397	70.397	99.007	98.848	70.342	70.076	70.076	90.913	91.825	70.334	99.086	70.02	70.288	91.071	98.571
KEBGJNKE_00144	71.771	71.799	97.235	90.973	71.856	71.94	71.884	93.293	93.025	72.081	96.994	72.069	71.968	93.273	97.273
KEBGJNKE_00145	63.767	63.705	99.959	93.872	64.268	64.12	64.393	83.114	84.623	63.602	95.362	63.87	63.82	83.383	93.047
KEBGJNKE_00146			100.0	97.087					75.134		97.365			83.285	
KEBGJNKE_00147			100.0	96.599				91.473	95.349		97.959			92.517	99.32
KEBGJNKE_00148	74.184	74.519	100.0	97.222	74.629	74.704	74.704	94.152	96.345	74.203	98.099	74.629	74.556	96.784	98.246
KEBGJNKE_00149	75.51	74.349	100.0	97.207	74.349	74.164	74.164	97.393	96.462	74.349	97.765	74.535	74.907	96.276	98.138
KEBGJNKE_00150	76.618	77.647	100.0	96.454	77.059	76.912	76.912	87.943	91.631	77.647	99.574	77.059	76.765	88.085	96.596
KEBGJNKE_00151	76.447	76.547	100.0	98.902	76.643	76.239	76.239	89.621	92.814	76.547	98.703	76.148	76.423	90.02	99.9
KEBGJNKE_00152			99.908	95.559							97.605				99.908
KEBGJNKE_00153	74.672	73.581	99.583	95.833	74.454	74.672	74.672	95.417	96.25	73.581	96.25	74.51	74.891	97.083	99.792
KEBGJNKE_00154	82.008	82.099	99.157	95.285	81.887	82.008	81.947	96.959	97.29	82.285	94.881	81.857	81.791	97.642	99.006
KEBGJNKE_00155	90.135	88.266	99.481		81.014	90.135	90.135	99.896	89.823	86.397	99.377				98.858
KEBGJNKE_00156			97.101	97.585				100.0	94.686		98.068			99.517	98.068
KEBGJNKE_00157	75.152	74.62	97.466	95.664	74.254	74.324	74.772	99.155	96.677	74.461	97.748	74.366	74.381	98.93	97.466
KEBGJNKE_00158			98.236	98.114				98.723	99.209		98.358			98.783	98.236
KEBGJNKE_00159	76.629	76.704	98.099	98.778	76.779	76.854	76.854	96.945	95.193	76.854	98.167	76.854	76.704	97.488	96.47
KEBGJNKE_00160	73.073	73.073	99.712	98.365	72.773	72.673	72.673	95.197	95.101	72.472	100.0	72.272	72.573	95.485	95.197
KEBGJNKE_00161			99.577	97.412				97.57	96.355		99.947			97.623	97.781
KEBGJNKE_00162	67.174	66.385	99.848	99.394	67.063	66.553	66.553	96.818	91.97	66.554	100.0	66.723	66.893	95.606	96.97
KEBGJNKE_00163	69.73	69.73	99.432	97.917	69.405	69.405	69.405	96.875	96.023		99.905	69.447	69.838	98.011	97.254
KEBGJNKE_00164	71.262	71.262	99.32	97.506	70.598	70.93	70.93	91.859	96.475	70.432	100.0	71.096	70.764	97.959	95.918
KEBGJNKE_00165			98.312	100.0				97.046	98.312		100.0			98.312	96.203
KEBGJNKE_00166			98.397	98.718				96.795	98.077		100.0			97.115	97.436
KEBGJNKE_00167			99.359	99.038				98.077	98.397		100.0			98.397	98.718
