gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
APLKDIED_00001			90.783	90.783		91.714					87.168				91.014
APLKDIED_00002			92.771	93.173		93.173			92.369		93.574			93.976	92.771
APLKDIED_00003			86.076	91.561		91.139			96.624		91.139			82.278	91.983
APLKDIED_00004			89.483	89.84		88.948			99.287		89.661			87.701	89.127
APLKDIED_00005			95.391	94.979		93.678			94.815		94.828			93.425	93.909
APLKDIED_00006			89.189	88.851		92.056			96.667		90.878			100.0	92.254
APLKDIED_00007									96.733					96.165	
APLKDIED_00008	69.531	69.792	95.054	95.914	69.271	95.054	69.792	69.792	97.634	69.271	94.409	69.271	69.271	97.634	94.839
APLKDIED_00009	74.856	75.718	96.552	96.839	75.431	96.839	75.0	75.0	97.845	75.575	96.408	75.144	75.287	98.42	96.983
APLKDIED_00010															
APLKDIED_00011			92.697	92.58		91.755			93.64		93.404			93.286	91.991
APLKDIED_00012			75.993	75.812		75.404			97.45		75.315			97.623	75.224
APLKDIED_00013			84.66	84.775		84.66			98.962		84.775			97.924	84.429
APLKDIED_00014	71.044	71.044	94.444	94.444	70.569	95.04	71.044	70.37	99.802	71.044	94.841	70.707	71.044	97.619	94.444
APLKDIED_00015	71.893	71.893	97.841	97.841	72.034	99.055	71.751	72.034	98.65	72.034	98.65	71.469	71.61	97.571	98.381
APLKDIED_00016			97.054	95.814		94.729			97.829		94.884			96.434	94.419
APLKDIED_00017			98.916	98.916		98.103			98.374		98.103			98.916	98.374
APLKDIED_00018	74.19	74.595	96.81	96.651	74.494	96.491	74.798	74.899	96.651	75.101	96.571	74.393	74.696	96.73	96.73
APLKDIED_00019			89.35	89.244		89.137			97.018	63.424	89.67			97.657	89.35
APLKDIED_00020			81.481	82.593		82.222			98.519		82.222			98.519	82.222
APLKDIED_00021									97.368					97.368	
APLKDIED_00022	72.837	72.837	92.617	93.736	73.077	93.439	73.077	73.077	95.238		92.394	73.077	72.596	95.011	93.065
APLKDIED_00023			94.904	94.57		94.737			95.739		95.071			96.265	95.238
APLKDIED_00024	84.956	84.956	99.642	100.0	84.956	99.642	85.398	85.398	99.642	84.956	99.642	84.956	84.956	99.283	99.642
APLKDIED_00025	75.771	75.771	95.758	96.364	74.242	97.273	73.384	74.621	95.455	74.621	95.758	75.0	73.764	95.455	96.97
APLKDIED_00026	77.12	77.12	96.853	96.996	76.64	96.996	76.8	76.16	97.425	76.96	96.853	77.28	76.763	97.568	97.568
APLKDIED_00027								79.085		79.477					
APLKDIED_00028	78.095	77.857	95.894	96.618	77.24	96.377	76.998	77.857	97.343	77.857	95.894	76.755	76.755	96.377	95.894
APLKDIED_00029	64.14	63.848	95.439	95.088		95.614	65.821	65.821	97.544	63.988	95.263			98.246	95.789
APLKDIED_00030	78.317	78.641	99.138	99.138	78.317	99.138	77.994	77.994	99.425	78.317	99.138	78.641	78.317	99.425	99.425
APLKDIED_00031	75.077	75.077	96.69	96.217	76.308	96.69	75.077	75.077	99.764	75.077	96.69	75.385	75.077	95.745	99.764
APLKDIED_00032		95.507													
APLKDIED_00033	69.834	70.797	98.222	97.196	69.967	97.811	69.701	69.701	98.769	69.75	97.88	69.701	70.211	96.033	98.427
APLKDIED_00034									99.371		99.161				
APLKDIED_00035															
APLKDIED_00036	67.041	66.958	96.933	97.597	66.459	96.933	66.792	66.792	99.203	66.792	97.61	66.292	66.542	98.798	99.199
APLKDIED_00037	75.896	75.896	98.718	98.077	75.244	98.718	75.57	75.57	98.718	74.742	97.756	75.57	75.896	99.038	99.357
APLKDIED_00038	74.967	74.967	98.491	98.616	74.837	98.491	74.576	74.576	98.365	75.667	98.113	74.967	74.837	98.742	98.491
APLKDIED_00039			95.035	94.799		95.035			95.508		95.272			97.4	95.981
APLKDIED_00040			99.034	99.048		99.524			98.571		99.524			98.571	98.571
