gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
EFIMCMEB_00001	97.861	89.362										88.83	76.72		
EFIMCMEB_00002	98.837	96.203			75.342							100.0	75.342		
EFIMCMEB_00003	99.2	99.2			88.8							99.2	92.0		
EFIMCMEB_00004	100.0	100.0			94.805		96.104	96.104				90.909	96.104		
EFIMCMEB_00005	100.0	100.0			95.238		96.032	96.032				92.857	93.651		
EFIMCMEB_00006	100.0	99.18			85.0		99.18	99.18				86.885	85.0		
EFIMCMEB_00007	98.333	98.333			98.333		100.0	100.0					98.333		
EFIMCMEB_00008	100.0	100.0			97.959		100.0	100.0				89.796	100.0		
EFIMCMEB_00009	99.01	99.01			83.168		100.0	100.0				87.129	100.0		
EFIMCMEB_00010	100.0	100.0			100.0		100.0	100.0				98.02	100.0		
EFIMCMEB_00011	97.765	98.324			98.045		98.045	99.441				94.69	98.324		
EFIMCMEB_00012	99.24	100.0			95.437		96.578	100.0				98.099	95.437		
EFIMCMEB_00013	98.958	100.0			97.917		98.958	100.0				95.833	97.917		
EFIMCMEB_00014	100.0	100.0			100.0		97.619	100.0				100.0	100.0		
EFIMCMEB_00015	95.604	97.802			98.901		97.802	97.802				97.802	98.901		
EFIMCMEB_00016	68.421	100.0			98.246		75.51	100.0				100.0	98.246		
EFIMCMEB_00017	95.858	100.0			97.041		90.533	100.0				98.817	97.633		
EFIMCMEB_00018	99.077	98.816			98.158		96.316	98.021				98.813	98.289		
EFIMCMEB_00019	100.0	99.359	66.667	66.026	99.359	67.308	99.359	99.359	66.667	65.385	66.667	99.359	99.359	66.026	67.308
EFIMCMEB_00020	100.0	100.0	84.052	84.052	100.0	84.052	100.0	100.0	84.052	83.621	84.052	100.0	100.0	84.052	84.052
EFIMCMEB_00021	97.974	95.028			92.066		95.028	95.028				92.251	96.133		
EFIMCMEB_00022	96.454	96.099			96.454		96.454	96.454				97.518	96.099		
EFIMCMEB_00023	99.65	99.301	51.203	51.203	99.301	50.859	98.951	99.301	50.172	50.172	51.203	99.65	99.65	50.172	51.203
EFIMCMEB_00024	98.291	97.436			95.726		95.726	95.726				98.291	97.436		
EFIMCMEB_00025	99.408	100.0	57.485	57.485	100.0	57.485	100.0	99.408	57.485	57.485	57.485	99.408	100.0	57.485	57.485
EFIMCMEB_00026	100.0	100.0	79.835	79.835	100.0	79.835	100.0	100.0	79.835	79.835	79.835	100.0	100.0	79.424	79.835
EFIMCMEB_00027	99.517	99.034	52.83	52.358	99.517	51.887	99.517	99.517	52.83	52.83	51.887	99.517	99.517	52.83	51.887
EFIMCMEB_00028	100.0	98.4	58.197	58.197	100.0	56.557	99.2	100.0	57.377	57.377	58.197	99.2	100.0	57.377	57.377
EFIMCMEB_00029	99.715	99.715	76.353	76.353	99.715	76.638	99.715	99.715	76.353	76.353	76.353	99.715	99.715	76.353	76.638
EFIMCMEB_00030	98.428	98.428	52.648	52.648	97.799	52.96	98.344	98.013	52.012	52.941	52.648	96.855	97.799	52.012	52.96
EFIMCMEB_00031	93.617	93.617			98.039		93.617	92.553				93.617	100.0		
EFIMCMEB_00032	98.0	98.0	69.388	69.388	98.0	69.388	98.0	98.0	67.347	69.388	69.388	98.0	98.0	69.388	69.388
EFIMCMEB_00033	99.435	99.435	60.452	59.887	98.87	59.887	99.435	99.435	59.322	59.322	59.887	99.435	99.435	59.322	58.757
EFIMCMEB_00034	100.0	100.0	93.151	93.151	100.0	93.151	100.0	100.0	93.151	93.151	93.151	100.0	100.0	93.151	93.151
EFIMCMEB_00035	98.095	98.095	73.469	73.469	100.0	73.469	99.048	100.0	73.196	72.449	73.469	100.0	99.048	73.196	73.469
EFIMCMEB_00036	100.0	100.0	74.026	74.026	99.571	74.459	100.0	100.0	73.593	74.026	74.026	100.0	100.0	74.026	73.593
EFIMCMEB_00037								98.929		82.353					
EFIMCMEB_00038	100.0	100.0	82.014	82.014	99.281	82.014	99.281	100.0	82.014	83.571	82.014	99.281	99.281	82.014	82.014
EFIMCMEB_00039	99.302	99.302	53.197	53.197	99.535	53.197	99.535	99.535	52.941	55.0	52.941	99.302	99.302	55.263	52.941
EFIMCMEB_00040	100.0	100.0	81.905	81.905	100.0	81.905	100.0	100.0	81.905	81.905	81.905	100.0	100.0	81.905	81.905
EFIMCMEB_00041	100.0	100.0	71.613	71.613	100.0	71.613	100.0	100.0	70.968	67.883	71.613	100.0	100.0	71.613	70.968
EFIMCMEB_00042	100.0	96.923	69.421	69.421	100.0	69.421	100.0	100.0	69.421	68.992	69.421	100.0	99.18	73.554	69.421
EFIMCMEB_00043	99.84	99.84	69.44	69.44	99.68	69.44	99.52	99.52	69.774	69.774	69.774	99.68	99.84	69.44	69.12
EFIMCMEB_00044	93.75	93.75	73.438	73.438	93.75	73.438	93.75	93.75	73.438	73.438	73.438	93.75	92.188	73.438	73.438
EFIMCMEB_00045	100.0	100.0	78.539	78.539	100.0	78.539	99.087	99.087	78.539	78.539	78.539	100.0	100.0	78.539	78.539
EFIMCMEB_00046	94.286	94.286	77.143	77.143	94.286	77.143	94.286	94.286	77.143	77.143	77.143	94.286	94.286	77.143	77.143
EFIMCMEB_00047	100.0	100.0			99.375		98.125	98.125				98.75	99.375		
EFIMCMEB_00048	100.0	99.0			100.0		100.0	100.0				99.0	100.0		
EFIMCMEB_00049	100.0	100.0	72.768	73.214	99.552	73.214	99.552	99.552	72.768	74.332	73.214	99.103	99.552	73.214	72.768
EFIMCMEB_00050	100.0	100.0	63.025	63.025	100.0	63.025	98.387	98.387	63.025	63.025	63.025	100.0	100.0	63.025	63.025
EFIMCMEB_00051	100.0	100.0			100.0		100.0	100.0				100.0	99.038		
EFIMCMEB_00052	99.029	99.029			99.029		99.029	99.029				99.029	99.029		
EFIMCMEB_00053	98.701	98.701			100.0		98.701	98.701				98.701	98.701		
EFIMCMEB_00054	99.322	98.983	59.636	60.0	99.661	59.273	99.322	99.322	57.075	57.143	59.273	98.983	99.661	59.636	59.636
EFIMCMEB_00055	94.787	94.787			78.673		97.156	97.156				95.261	78.199		
EFIMCMEB_00056	99.479	99.479	64.583	64.583	99.479	63.542	99.479	99.479	64.583	64.583	64.583	98.958	99.479	64.583	64.583
EFIMCMEB_00057	99.099	100.0	53.182	53.182	98.649	53.182	98.198	98.198	53.636	54.545	53.182	98.198	98.649	53.636	53.636
EFIMCMEB_00058	99.208	99.366	65.452	65.452	99.208	65.452	99.208	99.208	65.452	65.61	65.452	99.208	99.049	65.61	65.452
EFIMCMEB_00059	99.148	99.148	74.716	74.716	99.148	74.716	100.0	100.0	74.148	73.864	74.716	99.716	100.0	73.864	74.148
EFIMCMEB_00060	100.0	100.0	78.484	78.689	100.0	78.484	100.0	100.0	78.893	82.857	78.484	100.0	100.0	78.893	78.893
EFIMCMEB_00061	99.799	99.799	51.357	51.357	100.0	50.939	99.195	99.195	51.357	51.357	51.148	99.799	99.799	51.357	51.357
EFIMCMEB_00062	99.283	99.488						82.992		71.824					
EFIMCMEB_00063	100.0	100.0			100.0		100.0	100.0				97.619	100.0		
EFIMCMEB_00064	97.196	95.95	88.785		82.866	89.097	97.196	97.196	88.785	96.262	88.785				89.097
EFIMCMEB_00065	100.0	100.0	90.892	91.08	99.718	91.08	100.0	100.0	90.61	90.704	90.986	99.812	99.812	90.892	90.892
EFIMCMEB_00066	97.619	98.81			97.619		97.619	97.619	71.93			97.619	97.619		
EFIMCMEB_00067	98.75	100.0	74.375	74.375	100.0	74.375	100.0	100.0	73.125	75.625	74.375	99.375	100.0	73.75	74.375
EFIMCMEB_00068	81.085	99.401	66.814	67.308		66.96			68.547	65.368	67.308	99.102		53.153	66.814
EFIMCMEB_00069	100.0	99.715	86.228	85.928	99.43	86.228	98.86	98.86	86.228	86.527	85.928	99.715	99.43	86.527	86.228
EFIMCMEB_00070	99.574	100.0	82.403	83.262	99.149	82.403	99.149	99.149	82.403	81.974	82.403	99.574	99.574	82.403	82.833
EFIMCMEB_00071	99.441	100.0	85.475	86.034	100.0	85.475	100.0	100.0	86.034	86.034	86.034	99.441	99.441	86.034	86.034
EFIMCMEB_00072	99.103	100.0	77.928	77.928	99.103	77.928	98.655	98.655	77.477	77.477	77.477	99.552	98.206	77.928	77.928
EFIMCMEB_00073	100.0	100.0	62.222	60.0	100.0	62.222	100.0	100.0	61.538	61.538	64.444	100.0	100.0	62.222	62.222
EFIMCMEB_00074		98.785			98.755		97.51	97.51				97.51	98.34		
EFIMCMEB_00075	89.106	99.254	56.049	56.72	95.274	56.173	96.393	96.766	56.73	54.759	56.72	96.269	96.178	56.352	58.73
EFIMCMEB_00076	99.89	99.945	73.232	72.666	98.248	73.339	97.043	98.631	72.161	71.741	73.339	96.002	98.412	72.666	73.316
EFIMCMEB_00077	99.803	100.0	72.24	72.24	99.803	72.24	99.606	99.606	73.102	72.313	72.24	99.803	99.901	72.177	72.862
EFIMCMEB_00078	99.824	99.912	68.494	68.494	98.505	68.581	99.648	99.648	67.888	66.84	68.494	99.648	98.417	68.674	68.494
EFIMCMEB_00079	100.0	100.0	75.0	75.0	100.0	75.0	100.0	100.0	75.0	75.0	75.0	100.0	100.0	75.0	75.0
EFIMCMEB_00080	99.479	99.479	79.381	79.381	99.479	79.381	99.479	99.479	78.866	78.866	79.381	99.479	98.958	78.866	79.381
EFIMCMEB_00081	99.367	100.0	72.785	72.785	100.0	72.785	100.0	100.0	72.152	72.152	72.785	100.0	100.0	72.152	72.785
EFIMCMEB_00082	97.29			75.477			96.748	96.748				78.591			
EFIMCMEB_00083	100.0	100.0	96.923	96.923	100.0	96.923	100.0	100.0	96.923	96.923	96.923	100.0	100.0	96.923	96.923
EFIMCMEB_00084	99.825	99.298	85.439	85.263	99.825	85.263	90.702	90.702	84.912	84.561	85.263	99.298	99.825	84.912	85.263
EFIMCMEB_00085	100.0	100.0	75.177	75.177	99.645	75.177	99.645	100.0	75.532	75.532	75.177	99.645	99.645	75.532	75.177
EFIMCMEB_00086	100.0	100.0	81.197	81.197	100.0	81.197	100.0	100.0	81.197	81.197	81.197	100.0	100.0	81.197	81.197
EFIMCMEB_00087	100.0	100.0	80.488	80.488	100.0	80.488	100.0	100.0	80.488	80.488	80.488	100.0	100.0	80.488	80.488
EFIMCMEB_00088	100.0	99.655	71.134	71.134	99.655	71.134	100.0	99.655	70.79	70.79	71.134	100.0	99.655	71.134	71.134
EFIMCMEB_00089	100.0	99.333	83.667	83.667	100.0	83.667	100.0	99.333	83.667	83.667	83.667	100.0	100.0	83.667	83.667
EFIMCMEB_00090	92.063	93.182			93.182		93.182	93.182				93.182	93.182		
EFIMCMEB_00091	99.138	100.0	89.076	89.076	99.138	89.076	99.138	100.0	89.076	89.076	89.076	100.0	99.138	89.076	89.076
EFIMCMEB_00092	98.824	99.118	85.586	85.586	98.824	85.586	96.765	99.118	84.685	85.586	85.886	99.118	98.824	85.586	85.586
EFIMCMEB_00093	98.71	100.0			98.71		94.41	98.101				98.71	98.71		
EFIMCMEB_00094	99.363	100.0	80.645	80.645	100.0	80.645	99.363	100.0	80.645	80.645	80.645	100.0	99.363	80.645	80.645
EFIMCMEB_00095	99.457	99.819	83.46	83.46	99.634	83.46	99.457	99.623	83.46	83.46	83.46	99.457	99.623	83.46	83.46
EFIMCMEB_00096	99.13	100.0			100.0		99.13	100.0				99.13	100.0		
EFIMCMEB_00097	94.318	96.212	91.477	91.477	96.591	91.477	94.697	95.076	86.339	83.607	91.477	96.212	96.591	87.222	91.477
EFIMCMEB_00098	97.391	99.13			99.13		96.522	97.391				98.261	99.13		
EFIMCMEB_00099	99.582	100.0	50.213	50.213	100.0	50.213	100.0	98.745	50.213	50.213	50.213	98.745	100.0	50.213	50.213
EFIMCMEB_00100	98.63	97.26			98.63		98.63	98.63				98.63	98.63		
EFIMCMEB_00101	100.0	99.153	63.393	63.393	100.0	63.393	100.0	99.153	63.393	64.286	63.393	99.153	99.153	63.393	63.393
EFIMCMEB_00102		99.078	83.333	83.333		83.333			83.565		83.565		99.769	83.333	
EFIMCMEB_00103	100.0	100.0	90.323	90.323	100.0	90.323	100.0		90.323	90.323	90.323	100.0	100.0	90.323	90.323
EFIMCMEB_00104	100.0	100.0	92.537	92.537	100.0	92.537	100.0	100.0	92.537	92.537	92.537	100.0	100.0	92.537	92.537
EFIMCMEB_00105	100.0	100.0	64.423	64.423	100.0	64.423	99.038	99.038	64.423	64.423	64.423	100.0	100.0	64.423	64.423
EFIMCMEB_00106	98.889	100.0			100.0		100.0	100.0				100.0	100.0		
EFIMCMEB_00107					100.0		100.0	100.0	60.0	60.0		100.0	100.0		
EFIMCMEB_00108	100.0	100.0	93.86	93.86	100.0	93.86	100.0	100.0	92.982	92.982	93.86	100.0	100.0	92.982	93.86
EFIMCMEB_00109	99.115	98.23			98.23		99.115	99.115				98.23	98.23		
EFIMCMEB_00110															
EFIMCMEB_00111															
EFIMCMEB_00112															
EFIMCMEB_00113															
EFIMCMEB_00114		100.0											100.0		
EFIMCMEB_00115															
EFIMCMEB_00116	99.725	100.0	94.505		99.451	94.78	99.725	99.725	94.78		94.78		99.451		95.367
EFIMCMEB_00117	100.0	100.0	84.932	84.932	100.0	84.932	100.0	100.0	84.932	84.932	83.562		100.0	84.932	84.932
EFIMCMEB_00118	97.403	100.0	55.882	55.882	97.403	55.882	97.403	97.403	55.882	55.882	55.882		100.0	55.882	55.882
EFIMCMEB_00119	100.0	100.0			100.0		100.0	100.0					99.02		
EFIMCMEB_00120	98.551	100.0			98.551		98.551	98.551					100.0		
EFIMCMEB_00121	98.765	98.765	52.0	52.0	98.765	52.0	98.765	98.765	53.333	53.947	52.0		98.765	53.333	53.333
EFIMCMEB_00122	100.0	100.0			100.0		100.0	100.0					100.0		
EFIMCMEB_00123	100.0	100.0					99.422	99.422							
EFIMCMEB_00124	100.0	99.478			98.282		99.429	99.739					98.656		
EFIMCMEB_00125	100.0	100.0			100.0		100.0	100.0					100.0		
EFIMCMEB_00126		99.65	94.755	94.755		94.755		99.65	95.455	96.503	93.95		99.65	96.503	94.755
EFIMCMEB_00127		100.0	61.765	61.765		61.765		98.0	61.765	61.765	61.765		100.0	61.765	61.765
EFIMCMEB_00128		99.225	91.339	91.339		91.339		99.225		90.551	91.339		99.225		91.339
EFIMCMEB_00129	96.519	99.684	58.232	58.537	99.684	58.537	98.734	100.0	59.006	65.635	58.232	100.0	99.367	65.635	58.537
EFIMCMEB_00130	88.235	96.078			84.314		84.314	84.314	51.282			82.353	84.314		50.0
EFIMCMEB_00131	96.528	99.306			93.75		92.361	92.361				93.75	93.75		
EFIMCMEB_00132	96.104	92.424			93.939		93.939	95.455				96.104	92.208		
EFIMCMEB_00133	94.444	97.917			95.833		92.361	81.944				94.444	95.833		
EFIMCMEB_00134	90.541	92.754			94.595		93.421	86.486				89.189	88.889		
EFIMCMEB_00135	96.753	95.455			94.805		96.753	96.104				94.805	88.961		
EFIMCMEB_00136	94.521	93.836			98.63		92.0	94.521				97.945	93.836		
EFIMCMEB_00137	97.321	100.0			99.107		97.297	96.429				100.0	97.321		
EFIMCMEB_00138	98.824	100.0			98.824		98.824	98.824				98.824	98.824		
EFIMCMEB_00139	96.471	98.824			98.824		96.471	96.471				96.471	98.824		
EFIMCMEB_00140	90.323	90.323			90.323		90.323	90.323				90.323	90.323		
EFIMCMEB_00141	98.0	100.0			98.0		98.0	94.0				96.0	98.0		
EFIMCMEB_00142	96.552	98.276			94.828							96.552	96.552		
EFIMCMEB_00143		94.828			93.855								93.855		
EFIMCMEB_00144	97.638				96.063		94.488	94.488				99.225	96.063		
EFIMCMEB_00145	72.464	89.855			72.464		98.551	98.551				99.275	72.464		
EFIMCMEB_00146	91.549				91.549		100.0	100.0					91.549		
EFIMCMEB_00147	89.744	80.556			94.872		97.436	97.436				87.179	94.872		
EFIMCMEB_00148	99.057	83.962	59.596	59.596	71.698	60.606	99.057	99.057	59.596	59.596	60.606	99.057	71.698	60.606	60.606
EFIMCMEB_00149	95.098	95.098	55.446	55.446	95.098	54.95	95.098	95.098	54.95	56.436	54.95	94.608	95.098	56.436	55.941
EFIMCMEB_00150	100.0	100.0	51.724	51.724	100.0		100.0	100.0	50.0	51.724	51.724	100.0	98.361	51.724	50.0
EFIMCMEB_00151	99.375	100.0			100.0		100.0	100.0				100.0	99.375		
EFIMCMEB_00152	98.165	98.165	57.944	57.944	99.083	57.944	92.661	92.661	55.963	55.963	57.407	99.083	99.083	55.963	58.879
EFIMCMEB_00153	100.0	100.0	62.857	62.857	100.0	64.286	98.718	98.718	64.286	64.286	62.857	97.436	98.718	64.286	62.857
EFIMCMEB_00154	93.137	90.196			91.176		55.34	55.34				97.222	93.137		
EFIMCMEB_00155	98.485	98.485			81.818		98.485	98.485				98.485	98.485		
EFIMCMEB_00156	93.22	94.915			94.915		91.525	91.525				89.831	94.915		
EFIMCMEB_00157	96.753	97.403			96.753		98.052	98.052				97.403	98.701		
EFIMCMEB_00158	100.0	98.413			98.413		100.0	100.0				95.238	100.0		
EFIMCMEB_00159	97.802	97.802			97.802		97.802	97.802					100.0		
EFIMCMEB_00160	97.034	97.034			97.881		97.034	97.034				96.61	98.729		
EFIMCMEB_00161	99.367	87.342			87.342		86.709	86.709				85.443	99.367		
EFIMCMEB_00162	97.688	98.266			98.844	52.41	99.422	99.422	54.217	53.659		97.11	97.688	53.614	52.41
EFIMCMEB_00163	100.0	92.727			90.909		100.0	100.0				83.636	100.0		
EFIMCMEB_00164	98.361	100.0			99.18		98.361	98.361				98.361	99.18		
EFIMCMEB_00165	98.089	98.089			95.541		96.178	96.178				97.452			
EFIMCMEB_00166	95.238	95.238			92.063		94.444	94.444				96.032	92.857		
EFIMCMEB_00167	84.53	99.448			96.685		95.028	95.028				96.111	99.448		
EFIMCMEB_00168	100.0	99.167			99.167		99.167	99.167				99.123	99.167		
EFIMCMEB_00169	100.0	98.473			96.947		97.71	97.71				91.406	98.473		
EFIMCMEB_00170	56.0	56.0			82.0		92.0	92.0				100.0	82.0		
EFIMCMEB_00171	100.0	99.038			99.038		96.154	96.154				97.115	99.038		
EFIMCMEB_00172	100.0	100.0			97.59		97.59	97.59				96.386	96.386		
EFIMCMEB_00173	99.419	95.349			97.093		95.349	95.349				94.767	98.256		
EFIMCMEB_00174	98.485	95.455			96.97		96.97	96.97				92.424	98.485		
EFIMCMEB_00175												92.453			
EFIMCMEB_00176	100.0	96.85			72.441		74.803	74.803				96.063	73.228		
EFIMCMEB_00177	97.619	97.619			92.771		98.81	98.81				96.429	92.771		
EFIMCMEB_00178	100.0	100.0			100.0		97.333	97.333				97.333	100.0		
EFIMCMEB_00179	100.0	98.438			98.438		95.313	95.313				93.75	98.438		
EFIMCMEB_00180		98.678	72.687	73.128		72.687				73.128	71.806			73.128	72.687
EFIMCMEB_00181	99.038	99.038			92.308		96.154	96.154				98.077	99.038		
EFIMCMEB_00182	100.0	95.96	91.589		91.919	89.899	100.0	100.0				94.949	96.97		89.899
EFIMCMEB_00183	97.917	97.917				76.923			95.833	97.917				100.0	
EFIMCMEB_00184	96.629		92.135			92.135			93.258	88.764		93.258	89.888		93.258
EFIMCMEB_00185	97.917	95.833													
EFIMCMEB_00186	91.81	90.948			88.362		94.828	94.828				91.81	89.655		
EFIMCMEB_00187		98.592													
EFIMCMEB_00188	96.053						96.053	96.053							
EFIMCMEB_00189	100.0				100.0		100.0	100.0				100.0	97.059		
EFIMCMEB_00190	95.833	94.167			95.833		95.833	95.833				96.667	97.5		
EFIMCMEB_00191	98.438	98.438			98.438		98.438	98.438				96.875	98.438		
EFIMCMEB_00192	98.02	100.0					98.039	98.039							
EFIMCMEB_00193	100.0				95.775		100.0	100.0				98.485	95.775		
EFIMCMEB_00194													97.183		
EFIMCMEB_00195							97.917	97.917				99.306	97.222		
EFIMCMEB_00196	94.845	94.898			96.907		95.876	95.876				93.814	96.907		
EFIMCMEB_00197		85.714													
EFIMCMEB_00198	94.203	94.203			97.101		97.101	97.101				95.652	97.101		
EFIMCMEB_00199		96.104			96.053		97.403	97.403				96.104	94.203		
EFIMCMEB_00200		98.78			100.0							98.78	98.78		
EFIMCMEB_00201	95.062	100.0											100.0		
EFIMCMEB_00202	97.101	97.101			98.551		98.551	98.551				98.551	97.101		
EFIMCMEB_00203			82.667	82.667	86.842					76.0				76.0	81.333
EFIMCMEB_00204	85.106	100.0	55.319		93.617	55.319	97.872	97.872	52.174	52.174		100.0	100.0	53.191	55.319
EFIMCMEB_00205	98.148	96.296			98.592		93.519	93.519				98.148	97.222		
EFIMCMEB_00206	99.0	98.0			97.0		96.0	96.0				99.0	97.0		
EFIMCMEB_00207	97.222	95.833			95.833		95.139	95.139				95.833	95.833		
EFIMCMEB_00208	98.182	99.091			96.364		98.182	98.182				84.545	96.364		
EFIMCMEB_00209	99.533	98.598			95.327		98.598	98.598				99.065	95.327		
EFIMCMEB_00210	89.231				98.462								98.462		
EFIMCMEB_00211	97.917	91.489			97.917		91.489	91.489				97.917	97.917		
EFIMCMEB_00212	84.906				92.453		84.906	84.906				84.906	92.453		
EFIMCMEB_00213	97.619				98.571								99.048		
EFIMCMEB_00214	91.367	93.478			93.103							92.806	94.964		
