gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
EGEOBHOM_00001	98.551	98.551			100.0		100.0			98.551		100.0	98.551		
EGEOBHOM_00002		98.701			98.684		100.0			97.403		98.701	96.053		
EGEOBHOM_00003	97.101	97.101			100.0		100.0			97.101		98.551	97.101		
EGEOBHOM_00004							100.0						93.333		
EGEOBHOM_00005	92.929	90.722			96.97		100.0			95.876		95.96	98.99		
EGEOBHOM_00006	78.621						100.0					80.0			
EGEOBHOM_00007							100.0			97.917		97.222	97.917		
EGEOBHOM_00008					98.291		100.0						100.0		
EGEOBHOM_00009	100.0				95.455		100.0			98.387		98.485	93.548		
EGEOBHOM_00010	100.0				95.775		100.0			100.0		98.485	95.775		
EGEOBHOM_00011	100.0	98.039					100.0			98.039					
EGEOBHOM_00012	100.0	96.875			100.0		100.0			98.438		98.438	100.0		
EGEOBHOM_00013	93.333	94.167			95.0		100.0			95.833		98.333	98.333		
EGEOBHOM_00014	100.0				100.0		100.0			100.0		100.0	97.059		
EGEOBHOM_00015					95.556		100.0					95.556			
EGEOBHOM_00016	94.737						100.0			96.053					
EGEOBHOM_00017	91.379	90.517			91.379		100.0			94.828		91.81	93.966		
EGEOBHOM_00018					87.952		100.0					89.157	87.952		
EGEOBHOM_00019					90.476		100.0					93.333	96.667		
EGEOBHOM_00020		96.053					100.0					96.053	96.053		
EGEOBHOM_00021		96.703	61.538	61.538			100.0					97.802	96.703		
EGEOBHOM_00022	100.0	96.262	92.157		91.089	89.109	100.0			100.0		95.327	97.196		89.109
EGEOBHOM_00023	97.115	97.115			94.231		100.0			96.154		98.077	97.115		
EGEOBHOM_00024	98.649						100.0								
EGEOBHOM_00025	95.313	93.75			93.75		100.0			95.313		89.063	93.75		
EGEOBHOM_00026	97.333	97.333			97.333		100.0			97.333		97.333	97.333		
EGEOBHOM_00027	98.81	98.81			93.976		100.0			98.81		97.619	93.976		
EGEOBHOM_00028	74.803	73.228			85.827		100.0			74.803		73.228	85.039		
EGEOBHOM_00029	98.485	98.485			96.97		100.0			96.97		95.455	98.485		
EGEOBHOM_00030	95.93	94.186			93.605		100.0			95.349		92.442	94.767		
EGEOBHOM_00031	97.59	97.59			97.59		100.0			97.59		98.795	98.795		
EGEOBHOM_00032	86.188	86.74			86.74		100.0			96.154		95.58	86.74		
EGEOBHOM_00033	97.71	99.237			97.71		100.0			97.71		92.188	99.237		
EGEOBHOM_00034	99.167	100.0			100.0		100.0			99.167		100.0	100.0		
EGEOBHOM_00035	98.246	100.0			100.0		100.0					96.364	100.0		
EGEOBHOM_00036	87.293	94.475			92.265		100.0			95.028		98.889	94.475		
EGEOBHOM_00037	97.419	96.129			92.903		100.0			94.444		98.065	92.903		
EGEOBHOM_00038	98.089	98.089			94.904		100.0			96.178		98.726			
EGEOBHOM_00039							100.0					94.03			
EGEOBHOM_00040	96.721	98.361			97.541		98.361			98.361		98.361	97.541		
EGEOBHOM_00041	100.0	93.333			90.909		100.0			100.0		83.636	100.0		
EGEOBHOM_00042	97.11	97.688			98.266	51.807	98.844	53.614	53.049	99.422		96.532	97.11	53.012	51.807
EGEOBHOM_00043	86.709	99.367			99.367		100.0			86.709		94.937	86.076		
EGEOBHOM_00044	100.0	97.458			98.305		100.0			97.034		98.729	95.763		
EGEOBHOM_00045	100.0	100.0			100.0		100.0			97.802			97.802		
EGEOBHOM_00046	100.0	98.413			98.413		100.0			100.0		95.238	100.0		
EGEOBHOM_00047	96.104	96.753			96.104		100.0			98.052		98.052	99.351		
EGEOBHOM_00048	94.915	86.441			86.441		100.0			91.525		98.305	86.441		
EGEOBHOM_00049	100.0	100.0			83.333		100.0			98.485		100.0	100.0		
EGEOBHOM_00050	56.311	53.398					100.0			55.34			55.34		
EGEOBHOM_00051	96.053	96.053	60.0	60.0	96.491	60.455	100.0	59.545	59.091		60.0	96.053	96.053	59.545	59.545
EGEOBHOM_00052	99.375	100.0			100.0		100.0			100.0		100.0	99.375		
EGEOBHOM_00053	100.0	100.0	51.724	51.724	100.0		100.0	50.0	51.724	100.0	51.724	100.0	98.361	51.724	50.0
EGEOBHOM_00054	97.059	96.078	56.436	56.436	96.078	55.941	100.0	55.941	57.426	95.098	55.941	98.529	96.078	57.426	56.931
EGEOBHOM_00055	100.0	84.906	60.606	60.606	72.642	61.616	100.0	60.606	60.606	99.057	61.616	100.0	72.642	61.616	61.616
EGEOBHOM_00056	92.308	83.333			97.436		100.0			97.436		89.744	97.436		
EGEOBHOM_00057	91.549				91.549		100.0			100.0			91.549		
EGEOBHOM_00058	71.739	89.855			71.739		100.0			98.551		97.826	71.739		
EGEOBHOM_00059	93.75				98.438		100.0			94.488		93.701	98.438		
EGEOBHOM_00060	100.0						100.0					98.901			
EGEOBHOM_00061	100.0				98.361		100.0					100.0	98.361		
EGEOBHOM_00062	100.0	99.13			100.0		98.261					99.13	98.261		
EGEOBHOM_00063	97.647	97.647			97.647		97.647			96.471		97.647	97.647		
EGEOBHOM_00064	97.647	98.824			97.647		97.647			98.824		97.647	97.647		
EGEOBHOM_00065	96.396	97.297			96.396		95.495			97.297		97.297	100.0		
EGEOBHOM_00066	96.0	94.667			92.0		96.0			92.0		92.0	94.667		
EGEOBHOM_00067	97.5	97.5			92.5		97.5			92.5		92.5	97.5		
EGEOBHOM_00068	95.455	96.104			93.506		94.805			96.753		93.506	88.312		
EGEOBHOM_00069	90.789	92.754			92.105		86.842			93.421		89.474	90.141		
EGEOBHOM_00070	92.361	91.667			92.361		82.639			92.361		93.056	92.361		
EGEOBHOM_00071	93.939	90.909			90.909		92.424			93.939		92.424	91.892		
EGEOBHOM_00072	94.444	92.361			96.528		95.139			92.361		95.833	96.528		
EGEOBHOM_00073	88.235	84.314			100.0		100.0	50.0		84.314		98.039	100.0		
EGEOBHOM_00074	95.886	98.418	57.622	57.927	98.418	57.927	98.734	58.385	65.635	98.734	57.622	98.734	98.734	65.015	57.927
EGEOBHOM_00075	100.0	100.0			100.0		100.0			100.0			100.0		
EGEOBHOM_00076	99.478	98.956			98.969		99.217			99.429			98.848		
EGEOBHOM_00077	99.422	99.422					98.844			99.422					
EGEOBHOM_00078	100.0	100.0			100.0		100.0			100.0			100.0		
EGEOBHOM_00079	100.0	100.0	52.0	52.0	100.0	52.0	100.0	53.333	53.947	98.765	52.0		100.0	53.333	53.333
EGEOBHOM_00080	100.0	98.551	50.0	50.0	100.0	50.0	100.0	50.0	50.0	98.551	50.0		98.551	50.0	50.0
EGEOBHOM_00081	100.0	100.0			100.0		100.0			100.0			99.02		
EGEOBHOM_00082	100.0	97.403	55.882	55.882	100.0	55.882	100.0	55.882	55.882	97.403	55.882		97.403	55.882	55.882
EGEOBHOM_00083	100.0	100.0	84.932	84.932	100.0	84.932	100.0	84.932	84.932	100.0	83.562		100.0	84.932	84.932
EGEOBHOM_00084	100.0				100.0	84.375									
EGEOBHOM_00085															
EGEOBHOM_00086	100.0	99.725	94.231		99.725	94.505	100.0	94.505		99.725	94.505		99.176		95.367
EGEOBHOM_00087															
EGEOBHOM_00088															
EGEOBHOM_00089															
EGEOBHOM_00090															
EGEOBHOM_00091															
EGEOBHOM_00092															
EGEOBHOM_00093	100.0	97.345			97.345		100.0			99.115		99.115	99.115		
EGEOBHOM_00094	100.0	100.0	93.86	93.86	100.0	93.86	100.0	92.982	92.982	100.0	93.86	100.0	100.0	92.982	93.86
EGEOBHOM_00095					100.0		100.0	60.0	60.0	100.0		100.0	100.0		
EGEOBHOM_00096	98.889	100.0			100.0		100.0			100.0		100.0	100.0		
EGEOBHOM_00097	99.301	99.301	66.434	66.434	99.301	66.434	100.0	66.434	66.434	99.038	66.434	99.301	99.301	66.434	66.434
EGEOBHOM_00098	100.0	100.0	91.111	91.111	100.0	91.111	100.0	91.111	91.667	100.0	91.111	100.0	100.0	91.111	91.111
EGEOBHOM_00099															
EGEOBHOM_00100	98.333	98.333	91.667	91.667	98.333	91.667		91.667	91.667	100.0	91.667	98.333	98.333	91.667	91.667
EGEOBHOM_00101															
EGEOBHOM_00102	100.0	100.0	87.013	87.013	100.0	87.013		87.013	90.0	100.0	87.662	100.0	100.0	87.013	87.179
EGEOBHOM_00103		99.675					100.0								
EGEOBHOM_00104	100.0	100.0	79.195	79.195	100.0	79.195	99.329	79.195	77.064	100.0	79.195	100.0	100.0	79.195	77.064
EGEOBHOM_00105	100.0	98.479	52.14	52.14	99.24	52.14	98.099	52.14	52.529		52.14	98.099	98.859	52.14	52.14
EGEOBHOM_00106	99.582	100.0	50.213	50.213	100.0	50.213	98.745	50.213	50.213	100.0	50.213	98.745	100.0	50.213	50.213
EGEOBHOM_00107	99.13	97.391			97.391		99.13			96.522		98.261	97.391		
EGEOBHOM_00108	99.31	97.586	90.341	90.341	97.931	90.341	98.621	86.339	83.607	94.697	90.341	97.931	97.931	85.792	90.341
EGEOBHOM_00109	100.0	99.13			99.13		99.13			99.13		100.0	99.13		
EGEOBHOM_00110	100.0	99.638	83.779	83.779	99.817	83.779	99.435	83.779	83.779	99.457	83.779	100.0	99.811	83.779	83.779
EGEOBHOM_00111	98.726	99.363	80.645	80.645	99.363	80.645	99.363	80.645	80.645	99.363	80.645	99.363	98.726	80.645	80.645
EGEOBHOM_00112	95.652	94.41			95.652		96.273			94.41		95.652	95.652		
EGEOBHOM_00113	98.495	98.06	84.267	84.267	98.495	84.267	98.06	83.621	84.483	96.765	84.483	98.06	98.495	84.267	84.267
EGEOBHOM_00114	98.864	100.0			100.0		100.0			93.182		100.0	100.0		
EGEOBHOM_00115	100.0	99.333	83.667	83.667	100.0	83.667	99.333	83.667	83.667	100.0	83.667	100.0	100.0	83.667	83.667
EGEOBHOM_00116	100.0	99.655	71.134	71.134	99.655	71.134	99.655	70.79	70.79	100.0	71.134	100.0	99.655	71.134	71.134
EGEOBHOM_00117	100.0	100.0	81.25	81.25	100.0	81.25	100.0	81.25	81.25	100.0	81.25	100.0	100.0	81.25	81.25
EGEOBHOM_00118	99.645	99.645	75.177	75.177	100.0	75.177	99.645	75.532	75.532	99.645	75.177	100.0	100.0	75.532	75.177
EGEOBHOM_00119	90.877	90.877	92.105	91.93	90.877	91.93	100.0	91.579	92.456	90.702	91.93	91.053	90.877	92.105	91.93
EGEOBHOM_00120	100.0	100.0	96.923	96.923	100.0	96.923	100.0	96.923	96.923	100.0	96.923	100.0	100.0	96.923	96.923
EGEOBHOM_00121	99.458			75.204			100.0			96.748		78.32			
