gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
APLKDIED_00001			89.655	89.655		88.034					86.093				89.655
APLKDIED_00002			96.386	96.386		96.386			97.59		96.386			96.386	96.386
APLKDIED_00003			77.215	88.608		88.608			93.671		88.608			75.949	88.608
APLKDIED_00004			90.374	89.84		88.77			97.861		89.305			83.422	89.305
APLKDIED_00005			77.614	77.914		76.753			88.358		76.999			92.506	76.876
APLKDIED_00006			81.053	81.053		92.308			93.0		84.211			100.0	89.474
APLKDIED_00007									95.745					94.043	
APLKDIED_00008	65.385	66.026	96.774	97.419	64.744	96.129	65.385	65.385	98.065	65.385	96.774	65.385	64.744	97.419	96.129
APLKDIED_00009	83.621	83.621	99.138	99.138	83.621	99.138	83.621	83.621	99.138	83.621	99.138	83.621	83.621	99.138	99.138
APLKDIED_00010			52.076	52.076		52.941			52.768					52.768	52.076
APLKDIED_00011			95.406	95.053		93.993			94.7		94.7			94.7	94.7
APLKDIED_00012			69.399	69.399		69.945			96.175		68.306			97.814	69.399
APLKDIED_00013	50.172	50.172	91.349	91.349	50.172	91.003	50.515	50.172	98.962	50.172	91.349	50.172	50.172	98.27	91.003
APLKDIED_00014	56.886	57.485	99.405	99.405	57.485	99.405	57.485	57.485	100.0	57.485	98.214	57.485	57.485	99.405	98.81
APLKDIED_00015	79.835	79.835	100.0	100.0	79.835	100.0	79.835	79.835	100.0	79.835	100.0	79.835	79.835	99.595	100.0
APLKDIED_00016	52.83	53.302	99.535	99.07	52.83	98.14	52.83	52.83	99.535	52.83	98.14	52.83	52.83	99.07	97.674
APLKDIED_00017	57.377	57.377	99.187	99.187	57.377	99.187	57.377	57.377	100.0	57.377	99.187	56.557	57.377	100.0	100.0
APLKDIED_00018	76.353	76.353	99.282	99.282	76.353	99.761	76.353	76.353	99.282	76.353	99.282	76.353	76.353	99.282	99.761
APLKDIED_00019	52.012	52.012	91.054	91.054	52.322	91.374	53.061	53.061	98.083	52.941	91.693	52.632	52.322	98.403	91.374
APLKDIED_00020			80.0	80.0		80.0			98.889		80.0			98.889	80.0
APLKDIED_00021									97.368					97.368	
APLKDIED_00022	68.707	68.707	97.959	98.639	68.707	97.959	68.707	68.707	97.26		97.959	68.707	68.707	98.63	97.959
APLKDIED_00023			92.982	92.481		93.233			94.236		94.236			95.337	93.985
APLKDIED_00024	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0	93.151	100.0	93.151	93.151	100.0	100.0
APLKDIED_00025	71.429	71.429	97.273	98.182	72.449	98.182	72.449	72.449	95.455	72.449	97.273	72.449	72.449	95.455	97.273
APLKDIED_00026	74.026	74.026	98.712	99.571	73.593	98.712	74.026	74.026	99.142	74.026	98.712	74.026	74.026	98.712	98.712
APLKDIED_00027								81.961		82.353					
APLKDIED_00028	83.571	83.571	98.561	98.561	82.734	98.561	82.734	83.571	98.561	83.571	98.561	82.734	82.734	98.561	98.561
APLKDIED_00029	52.987	52.987	97.368	96.842	52.727	97.368	52.987	52.987	98.421	52.727	96.842	52.727	52.727	98.421	97.105
APLKDIED_00030	81.905	81.905	100.0	100.0	81.905	100.0	81.905	81.905	99.138	81.905	100.0	81.905	81.905	100.0	100.0
APLKDIED_00031	67.883	67.883	97.163	97.163	67.883	97.163	67.883	67.883	100.0	67.883	97.163	67.883	67.883	97.163	99.291
APLKDIED_00032		93.478													
APLKDIED_00033	70.2	70.766	99.589	99.589	70.2	99.384	70.0	70.0	99.795	69.774	99.589	70.2	70.226	97.331	99.384
APLKDIED_00034									100.0		100.0				
APLKDIED_00035															
APLKDIED_00036	68.182	68.182	99.2	99.6	68.182	99.2	68.182	68.182	99.602	68.182	99.602	68.182	68.182	99.6	100.0
APLKDIED_00037	80.392	80.392	100.0	100.0	80.392	100.0	80.392	80.392	100.0	73.438	100.0	80.392	80.392	99.038	100.0
APLKDIED_00038	79.245	79.245	100.0	100.0	79.245	100.0	79.245	79.245	99.245	78.539	100.0	79.245	79.245	100.0	99.623
APLKDIED_00039			97.163	95.745		97.163			97.872		97.163			96.454	96.454
APLKDIED_00040			98.413	97.143		98.571			97.143		98.571			97.143	97.143
