gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
NGDEOPKE_00001					95.556		100.0					95.556			
NGDEOPKE_00002	96.491						100.0			96.053					
NGDEOPKE_00003	92.098	92.418			92.816		100.0			93.678		90.948	93.678		
NGDEOPKE_00004					90.8		100.0					92.369	90.8		
NGDEOPKE_00005					96.667		100.0					96.667	98.889		
NGDEOPKE_00006		96.053					100.0					97.368	96.053		
NGDEOPKE_00007		97.786	72.826	73.551			100.0					99.267	98.513		
NGDEOPKE_00008	99.664	96.262	94.966		93.75	93.421	100.0			99.329		95.95	98.131		93.421
NGDEOPKE_00009	97.756	97.756			95.192		100.0			96.795		98.718	98.718		
NGDEOPKE_00010	99.145						100.0								
NGDEOPKE_00011	96.875	96.875			96.875		100.0			97.917		94.792	96.354		
NGDEOPKE_00012	95.111	94.667			94.667		100.0			95.556		94.222	94.667		
NGDEOPKE_00013	97.619	98.016			95.417		99.603			97.222		97.619	95.417		
NGDEOPKE_00014	78.906	78.01			86.352		100.0			78.906		78.133	85.827		
NGDEOPKE_00015	94.949	93.939			94.444		100.0			94.949		95.455	93.939		
NGDEOPKE_00016	96.512	96.899			95.543		100.0			96.512		94.186	95.736		
NGDEOPKE_00017	95.181	95.181			94.779		100.0			95.181		96.386	96.386		
NGDEOPKE_00018	94.55	94.55			94.787		100.0			94.231		96.133	94.787		
NGDEOPKE_00019	98.473	98.982			98.473		100.0			98.473		94.911	99.237		
NGDEOPKE_00020	99.167	100.0			99.167		99.722			99.167		98.319	100.0		
NGDEOPKE_00021	99.415	98.83			99.415		100.0					98.246	98.83		
NGDEOPKE_00022	89.871	95.212			93.923		100.0			95.948		98.895	95.212		
NGDEOPKE_00023	96.129	95.259			93.75		99.355			95.538		96.559	93.534		
NGDEOPKE_00024	96.815	97.028			95.754		100.0			97.028		99.363			
NGDEOPKE_00025							100.0					96.517			
NGDEOPKE_00026	97.541	97.814			97.541		97.814			97.814		97.541	98.087		
NGDEOPKE_00027	100.0	93.889			92.727		100.0			100.0		91.515	100.0		
NGDEOPKE_00028	96.917	98.266			97.495		98.651			98.459		95.183	96.532		
NGDEOPKE_00029	92.389	99.367			99.367		100.0			91.755		95.57	91.332		
NGDEOPKE_00030	99.435	98.729			99.153		100.0			98.023		99.294	97.458		
NGDEOPKE_00031	100.0	100.0			100.0		100.0			97.07			96.703		
NGDEOPKE_00032	99.471	98.413			98.413		100.0			100.0		97.354	100.0		
NGDEOPKE_00033	97.403	96.97			96.753		100.0			98.268		98.485	98.918		
NGDEOPKE_00034	95.48	88.136			88.136		100.0			92.655		97.74	88.136		
NGDEOPKE_00035	94.444	93.939			83.5		100.0			95.96		96.465	94.444		
NGDEOPKE_00036							100.0								
NGDEOPKE_00037	94.737	95.468	64.976	65.135	94.591		100.0					95.175	94.737		
NGDEOPKE_00038	98.333	98.542			99.167		100.0			98.75		99.792	98.958		
NGDEOPKE_00039	99.454	98.016			97.814		100.0			100.0		97.814	96.721		
NGDEOPKE_00040	97.222	95.425	65.4	65.4	95.261		100.0			92.81	65.0	98.366	95.425		65.731
NGDEOPKE_00041	99.686	85.22			79.012		100.0			99.686		99.686	79.012		
NGDEOPKE_00042	94.017	83.486			97.436		100.0			99.145		93.162	97.436		
NGDEOPKE_00043	92.958				92.958		100.0			100.0			92.958		
NGDEOPKE_00044	81.446	92.029			81.446		100.0			98.309		97.826	81.446		
NGDEOPKE_00045	97.656				98.698		100.0			98.148		97.619	98.698		
NGDEOPKE_00046	99.351						100.0					100.0			
NGDEOPKE_00047	98.684				97.268		100.0					100.0	97.268		
NGDEOPKE_00048	98.841	98.261			97.971		98.841					99.71	97.391		
NGDEOPKE_00049	100.0	97.647			97.255		97.647			96.863		100.0	96.471		
NGDEOPKE_00050	100.0	98.824			99.608		97.255			96.863		100.0	99.216		
NGDEOPKE_00051	99.107	96.429			97.619		94.94			97.619		96.726	94.643		
NGDEOPKE_00052	99.772	97.945			94.977		97.333			95.205		95.205	97.945		
NGDEOPKE_00053	99.134	96.753			96.97		95.238			96.97		97.619	89.827		
NGDEOPKE_00054	98.246	94.313			95.614		92.982			90.351		97.368	89.72		
NGDEOPKE_00055	88.889	89.583			91.435		88.426			90.046		91.435	91.204		
NGDEOPKE_00056	97.403	89.61			98.268		93.392			93.939		98.268	97.835		
NGDEOPKE_00057	95.139	94.907			99.306		97.917			95.139		98.148	99.306		
NGDEOPKE_00058	81.046	79.085			100.0		99.346			83.007		99.346	99.346		
NGDEOPKE_00059	95.359	98.84	69.17	69.17	98.523	69.17	96.624		70.692	98.523	69.17	98.629	98.207	70.994	70.923
NGDEOPKE_00060		98.966	87.402	87.139		87.927			86.877	99.483	86.614		99.483		87.402
NGDEOPKE_00061		99.333	84.762	84.762		87.619		84.762	84.762	99.333	84.762		99.333	86.667	86.667
NGDEOPKE_00062		99.534	89.753	89.87		89.87		89.277	89.977	99.534	90.098		99.534	89.627	89.988
NGDEOPKE_00063	99.394	99.394			98.788		98.182			99.091			99.394		
NGDEOPKE_00064															
NGDEOPKE_00065	99.316	99.487			98.462		98.12			99.487			98.462		
NGDEOPKE_00066	99.458	99.187			97.29		97.019			99.458			97.29		
NGDEOPKE_00067															
NGDEOPKE_00068	99.221	99.481					97.394			99.566			95.782		
NGDEOPKE_00069	99.807	99.422					99.422			99.615					
NGDEOPKE_00070	99.831	98.139			97.619		100.0			98.139			98.126		
NGDEOPKE_00071	100.0	100.0			99.588		100.0			99.588			99.588		
