gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
EFIMCMEB_00001	97.326	91.135										90.957	95.385		
EFIMCMEB_00002	99.612	97.059			89.418							100.0	88.889		
EFIMCMEB_00003	99.733	99.2			91.733							98.933	94.933		
EFIMCMEB_00004	100.0	100.0			97.403		97.403	97.403				93.506	98.701		
EFIMCMEB_00005	99.735	100.0			96.561		97.09	97.09				93.915	96.032		
EFIMCMEB_00006	100.0	99.727			86.45		99.727	99.727				89.891	87.263		
EFIMCMEB_00007	99.444	99.444			97.222		100.0	100.0					98.889		
EFIMCMEB_00008	99.66	99.66			97.959		100.0	100.0				93.537	100.0		
EFIMCMEB_00009	99.67	99.67			89.109		99.67	99.67				88.449	100.0		
EFIMCMEB_00010	99.34	99.34			99.01		100.0	100.0				96.7	100.0		
EFIMCMEB_00011	98.883	99.348			99.069		98.51	99.814				95.624	98.976		
EFIMCMEB_00012	99.24	99.493			97.212		96.958	100.0				97.465	97.212		
EFIMCMEB_00013	98.958	100.0			98.611		99.303	100.0				97.561	98.611		
EFIMCMEB_00014	99.603	99.603			100.0		98.413	99.603				100.0	100.0		
EFIMCMEB_00015	98.535	99.267			98.901		97.802	99.267				99.267	99.267		
EFIMCMEB_00016	82.313	100.0			98.83		80.347	100.0				100.0	98.83		
EFIMCMEB_00017	96.647	100.0			97.041		93.688	99.803				99.211	97.83		
EFIMCMEB_00018	98.901	98.772			98.026		96.535	98.285				98.857	98.158		
EFIMCMEB_00019	99.573	99.145	70.313	70.833	98.932	70.284	98.077	98.077	70.052	69.271	70.573	98.932	98.291	70.052	71.094
EFIMCMEB_00020	99.13	99.71	75.982	76.435	98.841	75.982	99.275	99.275	76.435	75.575	76.284	98.696	99.275	77.006	76.737
EFIMCMEB_00021	97.79	95.519			91.262		93.677	93.677				91.262	95.764		
EFIMCMEB_00022	96.809	96.099			97.4		97.163	97.163				97.636	96.572		
EFIMCMEB_00023	97.669	97.669	64.67	64.778	98.019	64.462	97.552	97.552			64.625	98.368	97.902		65.487
EFIMCMEB_00024	97.151	96.866			96.296		95.442	95.157				96.296	97.151		
EFIMCMEB_00025	99.408	99.606	69.463	71.0	99.014	70.134	99.014	99.408	71.044	71.044	70.134	99.606	99.606	70.134	69.128
EFIMCMEB_00026	98.785	98.92	72.599	72.599	99.46	72.175	99.325	99.595	72.74	72.034	72.316	99.19	99.19	72.458	72.599
EFIMCMEB_00027	98.551	98.068			97.585		98.712	98.39				98.712	98.551		
EFIMCMEB_00028	99.467	98.933			100.0		99.2	99.467				99.467	100.0		
EFIMCMEB_00029	98.765	98.765	75.455	75.455	98.86	76.465	98.765	98.575	75.152	75.101	75.736	98.006	99.05	75.659	75.862
EFIMCMEB_00030	96.331	96.331	65.068		95.702	64.822	95.806	95.695		63.424	64.945	95.493	96.017		65.191
EFIMCMEB_00031	95.638	95.638			99.02		95.638	94.966				95.302	100.0		
EFIMCMEB_00032	96.629	96.629			98.315		98.876	98.876				98.876	98.315		
EFIMCMEB_00033	99.265	99.265	67.052	67.341	99.449	66.474	99.449	99.449	67.63	66.959	66.474	99.265	99.449	67.341	65.896
EFIMCMEB_00034	99.556	99.556	85.398	84.956	99.556	84.956	98.667	98.667	84.956	84.956	84.956	99.556	99.556	85.398	84.956
EFIMCMEB_00035	99.048	99.048	73.333	74.0	99.683	73.333	98.413	99.048	76.444	74.621	73.333	99.683	99.365	76.444	73.333
EFIMCMEB_00036	97.997	97.997	76.428	76.64	99.142	76.72	98.712	97.568	75.11	76.96	76.428	98.283	98.569	75.11	75.073
EFIMCMEB_00037								99.167		79.477					
EFIMCMEB_00038	99.762	99.524	77.053	77.295	99.274	77.295	99.031	99.524	76.57	77.857	77.053	96.126	97.821	76.812	77.053
EFIMCMEB_00039	98.992	98.915	64.425	64.971	98.837	64.575	98.217	98.217	64.12	63.988	64.195	98.527	98.605	64.47	
EFIMCMEB_00040	100.0	99.722	77.994	77.346	99.44	77.994	99.722	99.722	77.994	78.317	77.994	99.722	100.0	77.994	78.146
EFIMCMEB_00041	99.583	99.792	77.023	77.023	98.75	76.762	99.375	99.375	77.089	75.077	77.023	99.167	99.583	75.26	76.762
EFIMCMEB_00042	98.974	96.154	72.752	72.055	99.231	72.207	98.974	98.974	72.329	71.835	72.752	98.718	98.087	73.901	72.055
EFIMCMEB_00043	99.056	99.056	69.166	68.835	98.846	69.376	99.003	99.003	70.028	69.75	70.111	98.636	99.265	69.061	68.908
