gene	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336387.peg.1	98.734	80.995				76.923			83.613				84.874	98.734
SEED:fig|6666666.336387.peg.2	87.848		97.304											97.304
SEED:fig|6666666.336387.peg.3	98.913		97.101						90.612					97.464
SEED:fig|6666666.336387.peg.4	94.518		91.447				95.929		86.057				91.009	95.175
SEED:fig|6666666.336387.peg.5	98.605		94.574											
SEED:fig|6666666.336387.peg.6	97.859		96.024						86.239				85.933	98.777
SEED:fig|6666666.336387.peg.7	95.473						95.61						93.2	95.289
SEED:fig|6666666.336387.peg.8	99.32		98.857				95.425		90.783				97.175	99.773
SEED:fig|6666666.336387.peg.9	98.795		98.795				99.197		92.771				98.795	99.197
SEED:fig|6666666.336387.peg.10	88.186		87.764				87.764		86.076				89.873	87.764
SEED:fig|6666666.336387.peg.11	97.504		97.71				97.326		89.483				92.335	97.861
SEED:fig|6666666.336387.peg.12	98.311		97.566				98.185		95.391				96.155	97.731
SEED:fig|6666666.336387.peg.13	99.66		90.455				94.898		89.189				89.189	93.103
SEED:fig|6666666.336387.peg.14	96.559	70.313	98.28	70.833	70.833	70.313	98.925	70.313	95.054	70.573	70.313	70.833	96.129	98.495
SEED:fig|6666666.336387.peg.15	99.425	75.529	99.138	75.68	75.68	75.982	98.132	75.68	96.552	75.529	75.831	76.133	97.557	98.707
SEED:fig|6666666.336387.peg.16	100.0		92.878				96.875						93.113	96.528
SEED:fig|6666666.336387.peg.17	99.882		96.113				96.82		92.697				95.76	97.291
SEED:fig|6666666.336387.peg.18	99.818		98.72				97.632		75.993				75.719	98.172
SEED:fig|6666666.336387.peg.19	98.27	64.823	98.962	65.487	66.15	64.67	97.693	65.909	84.66	64.823	64.733	66.15	84.544	97.809
SEED:fig|6666666.336387.peg.20	97.222	68.581	99.405	69.463	68.792	69.463	97.222	69.128	94.444	69.463	69.463	69.463	94.643	99.206
SEED:fig|6666666.336387.peg.21	100.0	72.599	97.706	72.316	72.599	72.599	98.65	72.034	97.841	72.175	72.175	72.458	96.761	97.841
SEED:fig|6666666.336387.peg.22	98.14		96.744	65.343	65.58		95.969	64.727	97.054				96.279	96.279
