gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	V12_RAST
BOCOCLFO_00001			97.849						92.473	92.473					97.849
BOCOCLFO_00002			92.029	93.478		93.478			96.377	95.652		94.203			91.304
BOCOCLFO_00003															
BOCOCLFO_00004										87.143					
BOCOCLFO_00005			96.825			96.825						98.413			96.825
BOCOCLFO_00006									86.42			88.889			
BOCOCLFO_00007															
BOCOCLFO_00008									94.175					60.784	
BOCOCLFO_00009	97.917	97.917				76.923			95.833	97.917	100.0				
BOCOCLFO_00010			97.183	97.183					100.0			92.958			
BOCOCLFO_00011															
BOCOCLFO_00012									96.703	96.703					
BOCOCLFO_00013									99.27	99.27					
BOCOCLFO_00014									98.734						
BOCOCLFO_00015			85.333	88.0					100.0	94.667		88.0			
BOCOCLFO_00016			94.737	94.737		89.474			100.0	90.789		93.421			88.158
BOCOCLFO_00017	53.614	53.939			53.939	94.798	53.012	53.012	99.422	96.532	53.614		54.217	54.819	94.798
BOCOCLFO_00018			100.0	100.0		96.97			98.485	87.879		100.0	50.746		96.97
BOCOCLFO_00019			76.364	74.545		78.182			94.545	85.455		76.364			78.182
BOCOCLFO_00020									100.0	94.245					
BOCOCLFO_00021			98.554	98.554		98.554			99.759	98.795		98.554			98.795
BOCOCLFO_00022			92.063	92.063		100.0			100.0	100.0		100.0			100.0
BOCOCLFO_00023			95.547	95.547		92.308			95.951			92.308			97.177
BOCOCLFO_00024									91.282	98.454					
BOCOCLFO_00025		73.128	94.309	93.496		95.122				98.413	73.128	91.87			95.122
BOCOCLFO_00026			90.123	90.123		90.123				98.765		92.593			90.123
BOCOCLFO_00027										99.213		90.551			
BOCOCLFO_00028			91.489	92.553		92.199			94.386	98.596		92.199			91.844
BOCOCLFO_00029			94.872	94.872		94.872			91.026	100.0		94.872			94.872
BOCOCLFO_00030			92.391	91.304		91.304			99.379	97.516		91.304			92.391
BOCOCLFO_00031			89.61	87.013		97.403			94.805	89.61		89.61			88.312
BOCOCLFO_00032			82.828	82.828		82.828			97.98	84.848		82.828			82.828
BOCOCLFO_00033			70.47	70.47		70.47			97.315	95.302		70.47			70.47
BOCOCLFO_00034			82.707	82.707		81.955			96.241	89.474		82.707			82.707
BOCOCLFO_00035			93.182	93.182		93.182			94.318	93.182		93.182			93.182
BOCOCLFO_00036			97.685	96.991		97.222			98.38	97.685		97.685			96.991
BOCOCLFO_00037			95.327	94.393		100.0			99.065	100.0		94.393			94.393
BOCOCLFO_00038	59.545	59.545	90.283	90.688	59.545	92.713	59.545	59.545	99.595	99.595		92.308	59.545	59.091	91.903
BOCOCLFO_00039	51.724	51.852	96.512	96.512	51.724	94.186	51.724	53.086	98.837	100.0	51.724	96.512	51.724	51.724	95.349
BOCOCLFO_00040	56.436	57.143	97.537	97.044	57.143	96.552	57.426	57.426	96.552	100.0	56.436	97.044	56.931	57.143	97.537
BOCOCLFO_00041			98.438	98.438		97.917			98.438	100.0		98.438			98.438
BOCOCLFO_00042			97.74	98.305		97.74			98.305	97.74		98.305			
BOCOCLFO_00043	61.616	58.586	97.436	97.436	60.204	97.436	61.616	61.616	97.436	95.726	60.606	97.436	61.616	60.204	98.291
BOCOCLFO_00044			98.667	96.0		96.0			72.727	93.333		92.0			93.333
BOCOCLFO_00045		51.316	97.59	97.59		97.59			58.75					52.632	
BOCOCLFO_00046			100.0	100.0		100.0									
BOCOCLFO_00047			82.558	82.558		96.552			98.81			94.253			94.253
BOCOCLFO_00048			94.149	94.149		94.681			93.617	92.553		94.149			95.213
BOCOCLFO_00049		62.5	75.0	77.273		77.273		62.5	87.097	81.818	62.5	77.273		62.5	77.273
BOCOCLFO_00050		61.765	97.059	97.059		97.059		60.294	97.059	97.059	61.765	97.059		61.765	95.588
BOCOCLFO_00051		96.503	97.902	97.902		97.902		96.503	98.951	100.0	96.503	96.441		96.503	97.902
BOCOCLFO_00052			99.024	99.024		99.512			99.024	99.024		99.512			98.537
BOCOCLFO_00053			97.959	97.959		97.959			95.918	100.0		96.939			93.878
BOCOCLFO_00054	65.325	65.635	80.967	81.269	65.325	81.269	65.015	65.635	82.5	97.188	65.635	80.967	65.635	65.325	79.751
BOCOCLFO_00055			79.048	85.238		77.143			98.095	91.905		85.238			85.238
BOCOCLFO_00056			97.2	97.6		97.2			99.6	99.2		97.6			96.8
BOCOCLFO_00057			75.0	74.359		75.0			99.359	98.718		75.0			75.0
BOCOCLFO_00058			98.367	98.367		97.959			100.0			98.367			98.367
BOCOCLFO_00059									97.521	86.275					
BOCOCLFO_00060			99.733	99.198		99.465			98.936			99.465			98.93
BOCOCLFO_00061			98.305	98.305		96.61			99.174			98.305			98.305
