gene	AP018714	AP018715	Ben	Bill	Bob	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
KEBGJNKE_00001				100.0											93.023
KEBGJNKE_00002									90.588					95.294	100.0
KEBGJNKE_00003			88.8	92.0					85.714					88.889	100.0
KEBGJNKE_00004			95.652	98.276					94.828					94.828	98.276
KEBGJNKE_00005			96.094	100.0				94.505	94.531					92.969	97.656
KEBGJNKE_00006			98.551	98.551				92.029	93.478		99.275			93.478	97.826
KEBGJNKE_00007	52.778		96.875	100.0		53.448	53.448			53.448	98.438	53.448	53.448		100.0
KEBGJNKE_00008			96.97	100.0							98.485				100.0
KEBGJNKE_00009			95.0	98.333							96.667		51.724		100.0
KEBGJNKE_00010				98.529											100.0
KEBGJNKE_00011			97.222								94.444				
KEBGJNKE_00012	58.333		100.0	100.0	56.25				91.837		100.0	56.25	56.25		100.0
KEBGJNKE_00013		73.333	97.333	98.667	78.378						98.667	72.0	80.0		97.333
KEBGJNKE_00014			100.0								95.238			96.825	100.0
KEBGJNKE_00015	91.011		100.0					96.629	96.629	92.135		87.64	84.27		98.876
KEBGJNKE_00016	82.979	82.979						80.851	82.979	80.851				80.851	
KEBGJNKE_00017			96.429	96.429							96.429				100.0
KEBGJNKE_00018	89.899	87.129	91.346		88.35	89.109	89.109			89.899		88.119	86.139		100.0
KEBGJNKE_00019									91.549				50.704		100.0
KEBGJNKE_00020			94.737	94.737				89.474	85.526		93.421			89.474	98.684
KEBGJNKE_00021	52.41	52.727			52.727	51.807	51.807	94.22	93.064	52.41		53.012	53.614	94.798	100.0
KEBGJNKE_00022			96.97	96.97				95.455	86.364		96.97			96.97	100.0
KEBGJNKE_00023			89.091	87.273				76.364	87.273		90.909			78.182	100.0
KEBGJNKE_00024			88.372	88.372					77.6		89.922				100.0
KEBGJNKE_00025			97.26	96.575					95.205		99.315				100.0
KEBGJNKE_00026			98.554	99.036				98.795	98.554		98.554			98.554	99.759
KEBGJNKE_00027			92.063	92.063				100.0	100.0		100.0			100.0	100.0
KEBGJNKE_00028			96.356	96.356				93.117			100.0			92.308	92.713
KEBGJNKE_00029															95.814
KEBGJNKE_00030		72.687	97.967	97.154					94.715	72.687	93.902			95.122	100.0
KEBGJNKE_00031			100.0	96.296					88.889		96.296			90.123	100.0
KEBGJNKE_00032			98.413	98.413							50.394				95.238
KEBGJNKE_00033			97.183	98.944				95.035	92.199		98.592			92.199	98.944
KEBGJNKE_00034			100.0	100.0				96.154	94.872		100.0			94.872	100.0
KEBGJNKE_00035			98.925	100.0				91.304	92.391		100.0			91.304	98.925
KEBGJNKE_00036			95.614	99.123				96.396			100.0				95.614
KEBGJNKE_00037			89.815	100.0				89.815							
KEBGJNKE_00038			92.208	89.61				94.805	92.208		92.208			97.403	90.909
KEBGJNKE_00039			100.0	100.0				82.828	93.939		100.0			82.828	97.98
KEBGJNKE_00040			99.329	98.658				71.141	71.141		98.726			70.47	99.329
KEBGJNKE_00041			98.496	98.496				79.699	83.459		99.248			81.955	99.248
KEBGJNKE_00042			100.0	100.0				96.591	95.455		100.0			93.182	100.0
KEBGJNKE_00043			99.074	99.306				97.454	96.759		99.537			97.222	99.769
KEBGJNKE_00044			95.327	94.393				99.065	100.0		94.393			100.0	94.393
KEBGJNKE_00045	60.0	60.0	97.571	97.976	60.0	60.455	60.455	92.308	92.308		99.19	60.0	59.545	92.713	99.19
KEBGJNKE_00046			97.674	97.674			50.617	95.349	94.186		95.349			94.186	98.837
KEBGJNKE_00047	54.95	55.665	98.03	97.537	55.665	55.941	55.941	97.044	96.552	54.95	98.522	55.446	55.665	96.552	98.03
KEBGJNKE_00048			99.479	99.479				96.875	97.917		99.479			97.917	99.479
KEBGJNKE_00049			98.87	99.435				99.435	98.87		99.435			97.74	
KEBGJNKE_00050	61.616	57.282	98.291	98.291	57.843	61.616	61.616	98.291	98.291	60.606	100.0	61.616	57.843	97.436	99.145
KEBGJNKE_00051			97.333	100.0				70.455	94.667		90.667			96.0	94.667
KEBGJNKE_00052			100.0	100.0				60.0					50.0	97.59	
KEBGJNKE_00053			100.0	100.0										100.0	
KEBGJNKE_00054			86.047	86.047				97.674			94.253			96.552	94.253
KEBGJNKE_00055															95.714
KEBGJNKE_00056			96.277	97.34				96.277	95.745		96.277			94.681	98.404
KEBGJNKE_00057			98.387	98.925							93.548				98.925
KEBGJNKE_00058			99.605	99.605					77.5		91.304				100.0
KEBGJNKE_00059			99.099	99.099							98.198				100.0
KEBGJNKE_00060		91.339	100.0	100.0			91.339		97.037	91.339	98.519		91.339		100.0
KEBGJNKE_00061		61.765	98.529	98.529			60.294	98.529	98.529	61.765	98.529		61.765	97.059	97.059
KEBGJNKE_00062		95.105	100.0	100.0			95.105	98.951	97.902	94.755	97.153		95.105	97.902	100.0
KEBGJNKE_00063			99.512	99.512				98.537	99.512		100.0			99.512	98.049
KEBGJNKE_00064			100.0	100.0				95.918	97.959		98.98			97.959	94.898
