gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	TEX	V12_RAST
OOCDCBIJ_00001	93.617	100.0			97.163		97.872	97.872			100.0		100.0		
OOCDCBIJ_00002	96.246				98.639		95.563	95.563		74.653			96.259	76.923	
OOCDCBIJ_00003	97.101	97.101			98.068		96.618	96.618			94.686		97.101		
OOCDCBIJ_00004	96.694	99.177									99.177				
OOCDCBIJ_00005		97.967			98.374						97.561		99.187		
OOCDCBIJ_00006		94.714			97.854		96.035	96.035			95.154		96.035		
OOCDCBIJ_00007	94.686	94.686			96.117		95.631	95.631			95.169		98.058		
OOCDCBIJ_00008							97.778	97.778							
OOCDCBIJ_00009	92.593	93.493			96.296		97.98	97.98			96.575		97.306		
OOCDCBIJ_00010															
OOCDCBIJ_00011							98.38	98.38			97.222		96.991		
OOCDCBIJ_00012					98.575		100.0	100.0							
OOCDCBIJ_00013											95.54				
OOCDCBIJ_00014	97.63				100.0		97.156	97.156			97.63		100.0		
OOCDCBIJ_00015	99.479	98.438			98.958		98.958	98.958			98.958		98.438		
OOCDCBIJ_00016	96.667	94.444			93.611		97.778	97.778			97.778		96.389		
OOCDCBIJ_00017	97.059				98.039		99.02	99.02			98.039		99.02		
OOCDCBIJ_00018		96.471													91.373
OOCDCBIJ_00019	91.386		85.338			86.517			84.586	83.083	94.007		94.007		86.142
OOCDCBIJ_00020													93.452		
OOCDCBIJ_00021			78.302	77.358		79.245						78.302			79.245
OOCDCBIJ_00022	95.402				97.701								94.915		
OOCDCBIJ_00023		79.464	84.375	87.054	91.964	84.889						85.333	79.911		82.589
OOCDCBIJ_00024					99.353										
OOCDCBIJ_00025														69.0	
OOCDCBIJ_00026		98.113			98.742								95.597		
OOCDCBIJ_00027					99.167					75.904			92.917		
OOCDCBIJ_00028					94.309										
OOCDCBIJ_00029	90.517	90.129			93.966		93.678	93.678			89.655		92.96		
OOCDCBIJ_00030					100.0		90.8	90.8					86.0		
OOCDCBIJ_00031					96.923		98.889	98.889					97.802		
OOCDCBIJ_00032													97.778		
OOCDCBIJ_00033		100.0					96.053	96.053					97.807		
OOCDCBIJ_00034		98.168	73.529	74.265			98.513	98.513					99.257		
OOCDCBIJ_00035	98.322	95.639	92.953		92.763	91.447	98.131	98.131			97.987		94.393		91.447
OOCDCBIJ_00036	97.756	99.038			94.551		98.718	98.718			98.077		98.718		
OOCDCBIJ_00037					98.106										
OOCDCBIJ_00038					98.366								95.425		
OOCDCBIJ_00039	97.396	98.438			99.479		96.354	96.354			97.396		96.354		
OOCDCBIJ_00040	99.556	98.222			99.111		94.667	94.667			99.111		95.111		
OOCDCBIJ_00041	97.083	97.5			100.0		95.0	95.417			95.0		96.25		
OOCDCBIJ_00042	77.487	77.105			99.471		85.827	85.827			77.487		77.748		
OOCDCBIJ_00043	97.98	95.96			96.465		93.939	93.939			97.98		91.414		
OOCDCBIJ_00044	98.45	96.124			98.035		95.736	95.736			98.062		93.411		
OOCDCBIJ_00045	97.189	97.189			96.787		96.386	96.386			97.189		95.181		
OOCDCBIJ_00046	99.81	99.81			100.0		94.787	94.787			99.679		96.209		
OOCDCBIJ_00047	99.237	99.746			99.237		99.237	99.237			99.237		95.844		
OOCDCBIJ_00048	99.167	100.0			99.167		99.722	100.0			99.167		98.319		
OOCDCBIJ_00049	98.246	100.0			99.415		98.83	98.83					98.246		
OOCDCBIJ_00050	86.556	100.0			98.158		95.212	95.212			99.263		95.764		
OOCDCBIJ_00051	94.828	95.699			97.204		93.319	93.534			95.812		95.259		
OOCDCBIJ_00052							97.26	97.26					97.26		
OOCDCBIJ_00053	98.907	98.634			98.361		97.541	98.087			98.634		98.361		
OOCDCBIJ_00054	100.0	93.889			92.727		100.0	100.0			100.0		91.515		
OOCDCBIJ_00055	98.459	96.724			96.339		96.339	96.532			96.532		94.798		
OOCDCBIJ_00056	97.257	91.966			91.966		91.332	91.332			99.578		90.698		
OOCDCBIJ_00057	96.893	97.599			98.023		97.458	97.458			99.435		97.316		
OOCDCBIJ_00058	96.703	96.703			96.703		96.703	96.703			98.901				
OOCDCBIJ_00059	99.471	98.413			98.413		100.0	100.0			100.0		97.354		
OOCDCBIJ_00060	97.186	97.835			97.619		98.918	98.918			99.351		98.268		
OOCDCBIJ_00061	90.395	100.0			100.0		88.136	88.136			94.915		87.006		
OOCDCBIJ_00062	98.99	99.495			86.364		94.444	94.444			96.465		97.98		
OOCDCBIJ_00063	98.693	97.386			97.059						94.118		97.685		
OOCDCBIJ_00064	98.83	98.392	65.197	65.197	98.684		94.737	94.737					97.661		
