gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX
FLJIFKPE_00001	55.319	58.14	100.0		57.447	100.0	51.064	51.064	87.805	87.805	55.319		55.319	55.319	95.455
FLJIFKPE_00002			96.825	100.0		100.0			96.825	93.651					96.825
FLJIFKPE_00003			98.529	85.294		97.794									
FLJIFKPE_00004				93.023		93.023									
FLJIFKPE_00005			97.468	97.468	82.667					82.278	81.333				83.544
FLJIFKPE_00006						100.0				90.588					95.294
FLJIFKPE_00007			88.8	92.0		100.0				85.714					88.889
FLJIFKPE_00008			95.652	96.552		98.276				93.103					93.103
FLJIFKPE_00009															
FLJIFKPE_00010			96.094	97.656		97.656			94.505	93.75					91.406
FLJIFKPE_00011			100.0						90.323	90.323					97.849
FLJIFKPE_00012			99.275	97.826		97.826			91.304	91.304		97.101			91.304
FLJIFKPE_00013	52.778		96.875	100.0		100.0	53.448	53.448			53.448	98.438	53.448	53.448	
FLJIFKPE_00014			96.97	100.0		100.0						98.485			
FLJIFKPE_00015			95.0	98.333		100.0						96.667		51.724	
FLJIFKPE_00016				98.529		100.0									
FLJIFKPE_00017		92.0												92.0	
FLJIFKPE_00018	58.333		100.0	100.0	56.25	100.0				91.837		100.0	56.25	56.25	
FLJIFKPE_00019		70.667	94.667	96.0	75.676	97.333						96.0	69.333	78.667	
FLJIFKPE_00020			100.0			100.0						95.238			96.825
FLJIFKPE_00021	92.135		98.876			98.876			95.506	95.506	93.258		88.764	85.393	
FLJIFKPE_00022			100.0	100.0								100.0			
FLJIFKPE_00023			96.429	96.429		100.0						96.429			
FLJIFKPE_00024	89.899	87.129	91.346		88.35	100.0	89.109	89.109			89.899		88.119	86.139	
FLJIFKPE_00025						100.0				91.549				50.704	
FLJIFKPE_00026			93.421	93.421		98.684			88.158	84.211		92.105			88.158
FLJIFKPE_00027	52.41	52.727			52.727	100.0	51.807	51.807	94.22	93.064	52.41		53.012	53.614	94.798
FLJIFKPE_00028			96.97	96.97		100.0			95.455	86.364		96.97			96.97
FLJIFKPE_00029			89.091	87.273		100.0			76.364	87.273		90.909			78.182
FLJIFKPE_00030			88.372	88.372		100.0				77.6		89.922			
FLJIFKPE_00031			97.26	96.575		100.0				95.205		99.315			
FLJIFKPE_00032			98.795	99.277		99.759			99.036	98.795		98.795			98.795
FLJIFKPE_00033			92.063	92.063		100.0			100.0	100.0		100.0			100.0
FLJIFKPE_00034			95.547	95.547		92.713			95.951			92.713			97.177
FLJIFKPE_00035						95.814									
FLJIFKPE_00036		72.687	97.967	97.154		100.0				94.715	72.687	93.902			95.122
FLJIFKPE_00037			100.0	96.296		100.0				88.889		96.296			90.123
FLJIFKPE_00038			93.651	93.651		95.238									
FLJIFKPE_00039			97.535	98.592		98.944			94.681	91.844		98.239			91.844
FLJIFKPE_00040			100.0	100.0		100.0			96.154	94.872		100.0			94.872
FLJIFKPE_00041			100.0	98.925		98.925			92.391	93.478		98.925			92.391
FLJIFKPE_00042			96.491	94.737		95.614			95.495			95.614			
FLJIFKPE_00043			88.312	85.714		90.909			88.312	89.61		94.805			88.312
FLJIFKPE_00044			97.98	97.98		97.98			83.838	91.919		97.98			82.828
FLJIFKPE_00045			98.658	97.987		99.329			71.141	71.141		97.987			70.47
FLJIFKPE_00046			99.248	99.248		99.248			80.451	84.211		100.0			82.707
FLJIFKPE_00047			100.0	100.0		100.0			96.591	95.455		100.0			93.182
FLJIFKPE_00048			98.843	99.074		99.769			97.222	96.528		99.306			96.991
FLJIFKPE_00049			99.065	98.131		94.393			95.327	94.393		100.0			94.393
FLJIFKPE_00050	60.0	60.0	96.761	97.166	60.0	99.19	59.545	59.545	91.498	91.498		99.19	60.0	59.545	91.903
