gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	V12_RAST
SEED:fig|6666666.336393.peg.1	91.039			91.176						91.039				91.756
SEED:fig|6666666.336393.peg.2	92.995	93.478		92.512						93.961				93.237
SEED:fig|6666666.336393.peg.3														
SEED:fig|6666666.336393.peg.4														
SEED:fig|6666666.336393.peg.5	98.942			98.942				98.942						98.413
SEED:fig|6666666.336393.peg.6								93.467						
SEED:fig|6666666.336393.peg.7														
SEED:fig|6666666.336393.peg.8												69.0		
SEED:fig|6666666.336393.peg.9	88.652	89.362		92.908			92.908	89.524		90.071	91.489			88.652
SEED:fig|6666666.336393.peg.10				84.028			97.917			94.444	93.056		93.056	
SEED:fig|6666666.336393.peg.11								93.427						
SEED:fig|6666666.336393.peg.12														
SEED:fig|6666666.336393.peg.13										94.872				
SEED:fig|6666666.336393.peg.14										97.567				
SEED:fig|6666666.336393.peg.15	87.111	87.556						88.444		96.0				
SEED:fig|6666666.336393.peg.16	92.544	92.982		90.351				92.544		92.544				89.474
SEED:fig|6666666.336393.peg.17	94.872	94.017		95.726				93.162						95.726
SEED:fig|6666666.336393.peg.18				94.788						94.402				94.788
SEED:fig|6666666.336393.peg.19				95.96				94.253		86.911				95.96
SEED:fig|6666666.336393.peg.20										94.799				
SEED:fig|6666666.336393.peg.21	96.386	96.386		96.867						96.386				97.028
SEED:fig|6666666.336393.peg.22	92.063	93.122		98.942				99.471						98.942
SEED:fig|6666666.336393.peg.23	94.062	94.062		93.387				94.384						96.221
SEED:fig|6666666.336393.peg.24														
SEED:fig|6666666.336393.peg.25	90.625	90.489		90.872			72.409	87.075		99.206			72.052	90.872
SEED:fig|6666666.336393.peg.26	90.535	90.535		90.535				90.947		99.177				90.123
SEED:fig|6666666.336393.peg.27								93.78		99.475				
SEED:fig|6666666.336393.peg.28	89.138	89.61		89.61				89.374		98.596				89.02
SEED:fig|6666666.336393.peg.29	90.566	89.308		89.308				87.189		99.683				89.308
SEED:fig|6666666.336393.peg.30	89.13	87.943		87.943				87.943		97.93				89.453
SEED:fig|6666666.336393.peg.31	80.479	80.822		80.479				80.822		84.589				82.192
SEED:fig|6666666.336393.peg.32	76.19	76.19		76.923				75.964		98.21				77.149
SEED:fig|6666666.336393.peg.33	83.582	83.582		83.459				84.04		92.732				83.459
SEED:fig|6666666.336393.peg.34	96.212	96.212		95.833				96.591		96.212				95.833
SEED:fig|6666666.336393.peg.35	96.453	95.841		95.963				95.963		96.514				95.168
SEED:fig|6666666.336393.peg.36	94.393	94.081		98.754				92.835		98.754				92.523
SEED:fig|6666666.336393.peg.37	89.623	90.027		90.566				90.148		99.714				90.027
SEED:fig|6666666.336393.peg.38	95.767	95.767		95.238				96.825		100.0				95.238
SEED:fig|6666666.336393.peg.39	95.402	95.402		93.596				93.432	64.516	100.0	64.386			94.581
SEED:fig|6666666.336393.peg.40	94.965	95.139		95.139				95.139		99.826				95.313
SEED:fig|6666666.336393.peg.41	96.045	96.234		97.74				97.363		96.61				96.061
SEED:fig|6666666.336393.peg.42	97.436	97.436		96.581				96.296	68.056	95.157	68.056	68.942	69.024	97.151
SEED:fig|6666666.336393.peg.43														
SEED:fig|6666666.336393.peg.44	97.333	92.444		92.889				92.237		91.556				93.151
SEED:fig|6666666.336393.peg.45	97.696			98.157										
SEED:fig|6666666.336393.peg.46	99.052	99.052		98.578										
SEED:fig|6666666.336393.peg.47	86.454	86.454		95.019				95.238						96.429
SEED:fig|6666666.336393.peg.48	88.889	88.889						95.48						
SEED:fig|6666666.336393.peg.49	93.972	93.794		93.44				94.681		93.085				93.085
SEED:fig|6666666.336393.peg.50	95.597	96.569		98.039		86.667	87.619	96.078		96.078		87.619	87.619	97.059
SEED:fig|6666666.336393.peg.51	97.319	97.203		96.97		89.627	89.627	97.34		98.718		89.51	89.51	97.319
SEED:fig|6666666.336393.peg.52	96.748	96.748		95.61				95.772		97.561				92.683
SEED:fig|6666666.336393.peg.53	97.279	97.279		97.279				96.939		99.32				88.776
SEED:fig|6666666.336393.peg.54	88.153	88.153	71.145	88.153	70.843	70.994	70.76	88.153	71.077	95.625	71.897	70.643	70.726	80.924
SEED:fig|6666666.336393.peg.55	85.443	88.73		83.651				88.73		95.873				89.683
SEED:fig|6666666.336393.peg.56	91.333	91.333		91.6				91.2		96.4				90.4
SEED:fig|6666666.336393.peg.57	75.0	73.718		74.573				74.145		98.718				73.504
SEED:fig|6666666.336393.peg.58	94.746	95.109		94.545				94.583						94.928
SEED:fig|6666666.336393.peg.59										92.708				
SEED:fig|6666666.336393.peg.60	97.681	97.681		96.432				97.235						96.61
SEED:fig|6666666.336393.peg.61	93.768	94.051		94.051				95.184						94.051
SEED:fig|6666666.336393.peg.62	83.83	83.83		83.404				82.128		91.667				98.333
SEED:fig|6666666.336393.peg.63	80.839	80.839		80.839				81.119		98.17				98.301
SEED:fig|6666666.336393.peg.64	85.839	85.839		86.014				85.839		98.897				98.897
SEED:fig|6666666.336393.peg.65	95.948	95.672		94.061				96.041		66.547				97.974
SEED:fig|6666666.336393.peg.66	99.259	100.0		99.259				99.259		85.185				100.0
SEED:fig|6666666.336393.peg.67	98.315	99.037		98.556				98.448		97.232				99.037
SEED:fig|6666666.336393.peg.68	96.405	97.059		97.712				96.405		97.059				97.386
SEED:fig|6666666.336393.peg.69	98.611	98.611		98.611				98.611		98.148				98.611
SEED:fig|6666666.336393.peg.70	81.577	81.448		81.513				81.448						81.513
SEED:fig|6666666.336393.peg.71	99.111	98.667	78.302	98.667	78.302	78.302	77.934	98.222		100.0	78.302	77.934	77.934	98.667
SEED:fig|6666666.336393.peg.72	98.645	98.645		98.103				98.374		96.694				95.317
SEED:fig|6666666.336393.peg.73				99.454						98.361				
SEED:fig|6666666.336393.peg.74														
SEED:fig|6666666.336393.peg.75	94.144			94.144				94.845		94.144				94.144
SEED:fig|6666666.336393.peg.76										98.095				
SEED:fig|6666666.336393.peg.77														
SEED:fig|6666666.336393.peg.78	98.82	98.525		97.64				98.106		99.115				97.935
SEED:fig|6666666.336393.peg.79	99.425	99.425	82.405	99.425	82.405	82.405	82.405	99.425	82.405	99.713	82.405	82.405	82.405	99.425
SEED:fig|6666666.336393.peg.80	99.259	97.207		98.095				96.667		95.556				99.225
SEED:fig|6666666.336393.peg.81	99.405	100.0		100.0			79.268	98.81	79.268	99.405	79.268	79.268	79.268	99.405
SEED:fig|6666666.336393.peg.82	98.601	98.601		98.135				98.601		99.068				98.834
SEED:fig|6666666.336393.peg.83	97.603	98.148	78.903	98.802			76.964	97.93	78.24		79.103	76.467	77.061	97.917
SEED:fig|6666666.336393.peg.84	97.045	97.045		96.69				97.281		97.762				97.045
