gene	num	length	product	ord
fig|6666666.222563.peg.1	4	408	hypothetical protein	1
fig|6666666.222563.peg.2	3	258	hypothetical protein	2
fig|6666666.222563.peg.3	7	237	hypothetical protein	3
fig|6666666.222563.peg.4	4	255	hypothetical protein	4
fig|6666666.222563.peg.5	6	378	hypothetical protein	5
fig|6666666.222563.peg.6	6	174	hypothetical protein	6
fig|6666666.222563.peg.7	1	240	hypothetical protein	7
fig|6666666.222563.peg.8	6	384	hypothetical protein	8
fig|6666666.222563.peg.9	5	279	hypothetical protein	9
fig|6666666.222563.peg.10	6	414	Phage protein	10
fig|6666666.222563.peg.11	5	192	Phage protein	11
fig|6666666.222563.peg.12	4	198	hypothetical protein	12
fig|6666666.222563.peg.13	8	180	Phage protein	13
fig|6666666.222563.peg.14	2	204	hypothetical protein	14
fig|6666666.222563.peg.15	3	255	Phage protein	15
fig|6666666.222563.peg.16	6	147	hypothetical protein	16
fig|6666666.222563.peg.17	9	225	Phage protein	17
fig|6666666.222563.peg.18	5	189	hypothetical protein	18
fig|6666666.222563.peg.19	8	267	Phage protein	19
fig|6666666.222563.peg.20	9	141	hypothetical protein	20
fig|6666666.222563.peg.21	3	267	hypothetical protein	21
fig|6666666.222563.peg.22	5	252	hypothetical protein	22
fig|6666666.222563.peg.23	11	318	Phage protein	23
fig|6666666.222563.peg.24	7	228	hypothetical protein	24
fig|6666666.222563.peg.25	6	234	hypothetical protein	25
fig|6666666.222563.peg.26	4	519	Uncharacterized domain COG3236 / GTP cyclohydrolase II (EC 3.5.4.25)	26
fig|6666666.222563.peg.27	5	198	hypothetical protein	27
fig|6666666.222563.peg.28	4	165	hypothetical protein	28
fig|6666666.222563.peg.29	6	387	hypothetical protein	29
fig|6666666.222563.peg.30	6	438	Phage protein	30
fig|6666666.222563.peg.31	6	1245	Protein RtcB	31
fig|6666666.222563.peg.32	6	189	hypothetical protein	32
fig|6666666.222563.peg.33	6	741	Phage protein	33
fig|6666666.222563.peg.34	2	648	hypothetical protein	34
fig|6666666.222563.peg.35	9	759	Circadian phase modifier	35
fig|6666666.222563.peg.36	7	243	hypothetical protein	36
fig|6666666.222563.peg.37	4	369	hypothetical protein	37
fig|6666666.222563.peg.38	7	852	Phage protein	38
fig|6666666.222563.peg.39	7	162	hypothetical protein	39
fig|6666666.222563.peg.40	7	279	hypothetical protein	40
fig|6666666.222563.peg.41	5	342	hypothetical protein	41
fig|6666666.222563.peg.42	5	231	hypothetical protein	42
fig|6666666.222563.peg.43	7	297	hypothetical protein	43
fig|6666666.222563.peg.44	7	447	hypothetical protein	44
fig|6666666.222563.peg.45	7	399	hypothetical protein	45
fig|6666666.222563.peg.46	7	264	hypothetical protein	46
fig|6666666.222563.peg.47	7	1635	hypothetical protein	47
fig|6666666.222563.peg.48	7	321	hypothetical protein	48
fig|6666666.222563.peg.49	8	741	Serine/threonine protein phosphatase (EC 3.1.3.16)	49
fig|6666666.222563.peg.50	7	189	Phage protein	50
fig|6666666.222563.peg.51	11	609	Phosphoesterase	51
fig|6666666.222563.peg.52	7	576	Phosphohydrolase (MutT/nudix family protein)	52
fig|6666666.222563.peg.53	7	477	hypothetical protein	53
fig|6666666.222563.peg.54	9	351	Phage protein	54
fig|6666666.222563.peg.55	7	225	hypothetical protein	55
fig|6666666.222563.peg.56	6	261	Phage protein	56
fig|6666666.222563.peg.57	2	159	hypothetical protein	57
fig|6666666.222563.peg.58	5	204	hypothetical protein	58
fig|6666666.222563.peg.59	7	564	hypothetical protein	59
fig|6666666.222563.peg.60	5	558	hypothetical protein	60
fig|6666666.222563.peg.61	6	759	hypothetical protein	61
fig|6666666.222563.peg.62	5	333	hypothetical protein	62
fig|6666666.222563.peg.63	10	387	Phage protein	63
fig|6666666.222563.peg.64	11	204	Phage protein	64
fig|6666666.222563.peg.65	11	858	Phage protein	65
fig|6666666.222563.peg.66	7	615	"Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)"	66
fig|6666666.222563.peg.67	7	294	hypothetical protein	67
fig|6666666.222563.peg.68	15	963	Thymidylate synthase (EC 2.1.1.45)	68
fig|6666666.222563.peg.69	7	630	hypothetical protein	69
