gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
NGDEOPKE_00001					95.556		100.0					95.556			
NGDEOPKE_00002	94.737						100.0			96.053					
NGDEOPKE_00003	91.379	90.517			91.379		100.0			94.828		91.81	93.966		
NGDEOPKE_00004					87.952		100.0					89.157	87.952		
NGDEOPKE_00005					90.476		100.0					93.333	96.667		
NGDEOPKE_00006		96.053					100.0					96.053	96.053		
NGDEOPKE_00007		96.703	61.538	61.538			100.0					97.802	96.703		
NGDEOPKE_00008	100.0	96.262	92.157		91.089	89.109	100.0			100.0		95.327	97.196		89.109
NGDEOPKE_00009	97.115	97.115			94.231		100.0			96.154		98.077	97.115		
NGDEOPKE_00010	98.649						100.0								
NGDEOPKE_00011	95.313	93.75			93.75		100.0			95.313		89.063	93.75		
NGDEOPKE_00012	97.333	97.333			97.333		100.0			97.333		97.333	97.333		
NGDEOPKE_00013	98.81	98.81			93.976		100.0			98.81		97.619	93.976		
NGDEOPKE_00014	74.803	73.228			85.827		100.0			74.803		73.228	85.039		
NGDEOPKE_00015	98.485	98.485			96.97		100.0			96.97		95.455	98.485		
NGDEOPKE_00016	95.93	94.186			93.605		100.0			95.349		92.442	94.767		
NGDEOPKE_00017	97.59	97.59			97.59		100.0			97.59		98.795	98.795		
NGDEOPKE_00018	86.188	86.74			86.74		100.0			96.154		95.58	86.74		
NGDEOPKE_00019	97.71	99.237			97.71		100.0			97.71		92.188	99.237		
NGDEOPKE_00020	99.167	100.0			100.0		100.0			99.167		100.0	100.0		
NGDEOPKE_00021	98.246	100.0			100.0		100.0					96.364	100.0		
NGDEOPKE_00022	87.293	94.475			92.265		100.0			95.028		98.889	94.475		
NGDEOPKE_00023	97.419	96.129			92.903		100.0			94.444		98.065	92.903		
NGDEOPKE_00024	98.089	98.089			94.904		100.0			96.178		98.726			
NGDEOPKE_00025							100.0					94.03			
NGDEOPKE_00026	96.721	98.361			97.541		98.361			98.361		98.361	97.541		
NGDEOPKE_00027	100.0	93.333			90.909		100.0			100.0		83.636	100.0		
NGDEOPKE_00028	97.11	97.688			98.266	51.807	98.844	53.614	53.049	99.422		96.532	97.11	53.012	51.807
NGDEOPKE_00029	86.709	99.367			99.367		100.0			86.709		94.937	86.076		
NGDEOPKE_00030	100.0	97.458			98.305		100.0			97.034		98.729	95.763		
NGDEOPKE_00031	100.0	100.0			100.0		100.0			97.802			97.802		
NGDEOPKE_00032	100.0	98.413			98.413		100.0			100.0		95.238	100.0		
NGDEOPKE_00033	96.104	96.753			96.104		100.0			98.052		98.052	99.351		
NGDEOPKE_00034	94.915	86.441			86.441		100.0			91.525		98.305	86.441		
NGDEOPKE_00035	100.0	100.0			83.333		100.0			98.485		100.0	100.0		
NGDEOPKE_00036	56.311	53.398					100.0			55.34			55.34		
NGDEOPKE_00037	96.053	96.053	60.0	60.0	96.491	60.455	100.0	59.545	59.091		60.0	96.053	96.053	59.545	59.545
NGDEOPKE_00038	99.375	100.0			100.0		100.0			100.0		100.0	99.375		
NGDEOPKE_00039	100.0	98.81	53.086	53.086	100.0	50.617	100.0	51.852	53.086	100.0	51.852	100.0	98.361	53.086	51.852
NGDEOPKE_00040	97.059	96.078	56.436	56.436	96.078	55.941	100.0	55.941	57.426	95.098	55.941	98.529	96.078	57.426	56.931
NGDEOPKE_00041	100.0	84.906	60.606	60.606	72.642	61.616	100.0	60.606	60.606	99.057	61.616	100.0	72.642	61.616	61.616
NGDEOPKE_00042	92.308	83.333			97.436		100.0			97.436		89.744	97.436		
NGDEOPKE_00043	91.549				91.549		100.0			100.0			91.549		
NGDEOPKE_00044	71.739	89.855			71.739		100.0			98.551		97.826	71.739		
NGDEOPKE_00045	93.75				98.438		100.0			94.488		93.701	98.438		
NGDEOPKE_00046	100.0						100.0					98.901			
NGDEOPKE_00047	100.0				98.361		100.0					100.0	98.361		
NGDEOPKE_00048	98.261	97.391			98.261		98.261					99.13	96.522		
NGDEOPKE_00049	100.0	97.647			97.647		97.647			96.471		100.0	97.647		
NGDEOPKE_00050	100.0	98.824			100.0		97.647			98.824		100.0	100.0		
NGDEOPKE_00051	99.107	96.429			95.536		95.495			96.429		96.429	95.536		
