gene	AP018714	AP018715	Ben	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
DIEEDFHO_00001			97.826		98.068			90.338	92.512		98.068			93.478	97.585
DIEEDFHO_00002			98.428								98.428				
DIEEDFHO_00003			94.792		100.0						95.833				100.0
DIEEDFHO_00004			96.97		98.99						96.97				98.99
DIEEDFHO_00005			96.667		98.333						97.778		77.358		98.333
DIEEDFHO_00006					99.51										98.529
DIEEDFHO_00007															
DIEEDFHO_00008			97.959		97.945				93.151		97.26				98.63
DIEEDFHO_00009		78.667	97.333	85.268	97.321						96.429	80.0	87.054		95.111
DIEEDFHO_00010			98.127								98.127				97.378
DIEEDFHO_00011			94.366					96.714			96.714			96.714	
DIEEDFHO_00012			97.619		96.032						97.222				96.032
DIEEDFHO_00013			97.717					86.222	84.889		98.174			87.556	
DIEEDFHO_00014			97.807		96.491			92.105	91.667		97.807			92.982	95.614
DIEEDFHO_00015			98.87								96.045				
DIEEDFHO_00016			99.388								96.405				
DIEEDFHO_00017			100.0		91.414			93.939	86.364		94.444			94.444	91.414
DIEEDFHO_00018			98.788		91.515			83.03	86.061		94.545			89.063	91.515
DIEEDFHO_00019			99.475		89.922				87.903		96.063				89.922
DIEEDFHO_00020			99.543		95.662				94.749		96.119				95.89
DIEEDFHO_00021			97.436												
DIEEDFHO_00022		74.632	99.242			73.551	73.551					73.913	74.265		
DIEEDFHO_00023			99.197		96.787			96.627	96.948		97.912			96.386	96.948
DIEEDFHO_00024			98.942		93.122			92.063	93.122		93.651			93.122	93.122
DIEEDFHO_00025			99.73		95.682			96.356			95.682			94.062	94.467
DIEEDFHO_00026			100.0								96.714				
DIEEDFHO_00027		71.866	99.595		96.322				90.625	72.368	93.252			90.489	96.866
DIEEDFHO_00028			98.354		98.354				89.712		96.296			90.535	97.942
DIEEDFHO_00029			99.735		98.677						65.99				95.503
DIEEDFHO_00030			96.831		98.826			93.152	89.492		99.06			89.61	98.005
DIEEDFHO_00031			98.502		99.625			97.004	87.266		99.625			87.266	99.251
DIEEDFHO_00032			98.925		100.0			87.589	89.007		100.0			87.943	97.849
DIEEDFHO_00033			95.614		99.415			94.444			98.538				95.906
DIEEDFHO_00034			94.427		99.691			93.519							
DIEEDFHO_00035			93.506		92.641			88.312	86.087		92.208			87.446	88.745
DIEEDFHO_00036			99.663		99.663			80.479	88.552		99.327			80.822	97.306
DIEEDFHO_00037			99.776		99.105			76.871	77.083		99.553			76.19	98.434
DIEEDFHO_00038			100.0		97.243			83.582	84.422		95.99			83.582	97.744
DIEEDFHO_00039			100.0		99.621			96.97	96.212		99.621			96.212	99.621
DIEEDFHO_00040			98.457		97.762			96.296	95.679		97.917			95.293	97.299
DIEEDFHO_00041			99.688		94.704			94.393	94.081		96.262			94.081	97.196
DIEEDFHO_00042	65.039	65.197	99.595	65.512	97.706	65.135	65.135	89.218	90.027		97.568	65.827	65.197	90.027	96.626
DIEEDFHO_00043			100.0		97.674			97.287	96.512		98.837			96.512	98.062
DIEEDFHO_00044	65.462		99.672		95.895	65.4	65.4	94.745	95.402		96.059	65.594		95.402	96.88
DIEEDFHO_00045			99.132		98.958			93.924	95.313		98.611			95.139	99.132
DIEEDFHO_00046			99.812		95.857			98.493	97.74		97.363			96.234	
DIEEDFHO_00047		69.128	100.0		97.436			97.436	95.442		97.721			97.436	98.006
DIEEDFHO_00048			95.111		98.667				94.667		93.607			92.444	95.434
DIEEDFHO_00049			99.608		98.824									96.8	
DIEEDFHO_00050			100.0		98.592									99.052	
DIEEDFHO_00051			100.0		86.434			84.646			85.537			86.454	86.777
DIEEDFHO_00052			100.0								85.268				
DIEEDFHO_00053			99.573								78.696				
DIEEDFHO_00054			99.113		96.454			95.745	93.972		95.213			93.794	95.567
DIEEDFHO_00055			99.642		99.462						94.444				99.104
DIEEDFHO_00056			100.0		99.605				89.26		92.095				99.736
DIEEDFHO_00057			100.0		99.099						98.498				99.099
DIEEDFHO_00058		86.614	98.191		97.778		87.139		93.827	87.664	98.025		87.139		97.778
DIEEDFHO_00059		85.714	100.0		97.549		84.762	97.059	97.059	85.714	99.02		85.714	96.569	98.039
DIEEDFHO_00060		89.753	99.417		99.767		89.87	98.485	97.786	89.753	98.776		89.753	97.203	99.184
DIEEDFHO_00061			100.0		97.073			95.772	97.073		96.911			96.748	94.309
DIEEDFHO_00062			100.0		100.0			90.816	97.959		99.66			97.279	87.755
DIEEDFHO_00063	70.356	68.972	99.688	68.972	99.896	67.85	69.17		88.153	68.836	99.792	69.17	68.639	88.153	93.873
DIEEDFHO_00064			93.968		92.54			88.571	88.73		99.206			88.73	97.143
DIEEDFHO_00065			98.267		98.667			91.867	90.267		99.6			91.333	97.733
DIEEDFHO_00066			98.291		98.077			73.932	73.504		98.077			73.718	98.718
DIEEDFHO_00067			99.621		99.621						98.864				98.485
DIEEDFHO_00068			99.091		99.394						99.394				98.788
DIEEDFHO_00069			98.656		97.984			94.583			98.925			94.722	98.118
DIEEDFHO_00070			98.05		97.872			97.056			97.606			97.681	96.454
DIEEDFHO_00071			99.593		99.051						98.78				97.696
DIEEDFHO_00072			95.082		96.903						97.996				95.956
DIEEDFHO_00073			99.206		97.09			94.051			98.413			94.051	97.855
DIEEDFHO_00074			100.0		99.583			83.83	75.745		98.333			83.83	82.979
DIEEDFHO_00075			100.0		98.946			80.979	80.839		99.341			80.839	81.145
DIEEDFHO_00076			100.0		99.248			86.189	85.14		100.0			85.839	85.839
DIEEDFHO_00077			98.854		94.844			95.052	67.065		98.958			95.156	96.302
