gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX
fig|6666666.222563.peg.1	97.304	87.848		97.549										
fig|6666666.222563.peg.2		95.72		95.72										
fig|6666666.222563.peg.3	98.734	97.468	80.09				76.018			82.773				84.034
fig|6666666.222563.peg.4				100.0						88.976				94.118
fig|6666666.222563.peg.5	93.447	96.011		100.0						86.508				90.476
fig|6666666.222563.peg.6	93.678	95.402		97.126						90.805				90.805
fig|6666666.222563.peg.7														
fig|6666666.222563.peg.8	96.354	97.396		97.65						92.689				91.906
fig|6666666.222563.peg.9	97.849			100.0						88.889				91.756
fig|6666666.222563.peg.10	98.792	97.585		96.618						92.512				93.237
fig|6666666.222563.peg.11	94.792	100.0		100.0				95.833						
fig|6666666.222563.peg.12	95.96	98.99		100.0										
fig|6666666.222563.peg.13	97.222	98.333	77.401	100.0				98.333	76.271			79.245		
fig|6666666.222563.peg.14				99.02										
fig|6666666.222563.peg.15												91.373	91.765	
fig|6666666.222563.peg.16	97.945	98.63		97.959				97.279		93.197				
fig|6666666.222563.peg.17	94.222	95.111	81.696	96.875				95.089	78.222			82.589	76.889	
fig|6666666.222563.peg.18	99.471			99.471				98.413						98.413
fig|6666666.222563.peg.19	98.496			98.876			90.637		87.64	91.729	89.513	86.142		
fig|6666666.222563.peg.20	100.0	96.454		91.489			94.326	90.476		92.908	91.489			88.652
fig|6666666.222563.peg.21	98.502							97.753						
fig|6666666.222563.peg.22	97.619	96.032		100.0				97.642						
fig|6666666.222563.peg.23	97.987		93.548	100.0	93.421	93.421	93.624		94.595		93.289	91.447	93.421	
fig|6666666.222563.peg.24	94.298	95.614		99.123				94.298		89.035				89.474
fig|6666666.222563.peg.25	97.436	96.154		100.0				96.581						95.726
fig|6666666.222563.peg.26				100.0						93.256				94.788
fig|6666666.222563.peg.27				100.0				90.805		87.435				95.96
fig|6666666.222563.peg.28	91.515	91.515		100.0										
fig|6666666.222563.peg.29	90.439	89.922		100.0				93.696		83.155				
fig|6666666.222563.peg.30	96.347	95.89		99.772				99.315		96.804				
fig|6666666.222563.peg.31	96.627	96.948		99.839						97.51				97.028
fig|6666666.222563.peg.32	92.063	93.122		100.0				99.471						98.942
fig|6666666.222563.peg.33	94.467	94.467		93.117				94.384						96.221
fig|6666666.222563.peg.34				96.451										
fig|6666666.222563.peg.35	97.003	96.866		98.419			72.661	91.417		90.736			72.157	90.872
fig|6666666.222563.peg.36	99.588	97.942		99.588				95.062		89.3				90.123
fig|6666666.222563.peg.37	95.767	95.503		96.825										
fig|6666666.222563.peg.38	96.479	98.005		98.474				97.297		88.902				89.02
fig|6666666.222563.peg.39	98.765	100.0		100.0				100.0		89.308				89.308
fig|6666666.222563.peg.40	98.208	97.849		97.849				100.0		90.625				89.453
fig|6666666.222563.peg.41	96.199	95.906		95.906				96.199						
fig|6666666.222563.peg.42	89.61			89.61				95.699		89.13				
fig|6666666.222563.peg.43	96.97	97.306		96.97				99.174		87.879				82.192
fig|6666666.222563.peg.44	98.658	98.434		99.329				98.434		78.06				77.149
fig|6666666.222563.peg.45	97.744	97.744		98.997				97.243		83.92				83.459
fig|6666666.222563.peg.46	99.621	99.621		100.0				99.242		95.833				95.833
fig|6666666.222563.peg.47	97.003	97.37		98.96				97.859		95.413				95.168
fig|6666666.222563.peg.48	97.508	97.196		93.769				97.819		93.146				92.523
fig|6666666.222563.peg.49	96.491	96.626		98.111				97.973	65.612	89.571				90.027
fig|6666666.222563.peg.50	97.354	97.354		98.942				97.354		95.238				95.238
fig|6666666.222563.peg.51	96.88	96.88		97.373	65.731	65.731		95.567	66.129	94.581	65.392			94.581
fig|6666666.222563.peg.52	98.264	99.132		99.479				98.785		95.486				95.313
fig|6666666.222563.peg.53	95.405	95.624		98.031				98.031		96.499				96.061
fig|6666666.222563.peg.54	98.006	98.006		98.291				98.006		96.296		67.308	68.121	97.151
fig|6666666.222563.peg.55	94.977	95.434		94.977				94.667		96.0				93.151
fig|6666666.222563.peg.56	86.777	86.777		97.619				96.552						96.429
fig|6666666.222563.peg.57				97.484										
fig|6666666.222563.peg.58	76.961	77.451		98.039				83.824						
fig|6666666.222563.peg.59	95.39	95.567		96.277				95.567		94.149				93.085
fig|6666666.222563.peg.60	98.746	99.104		99.642				94.624						
fig|6666666.222563.peg.61	99.736	99.736		99.868				92.095		89.499				
fig|6666666.222563.peg.62	99.099	99.099		100.0				97.598						
fig|6666666.222563.peg.63	98.45	97.674		98.966		87.402	87.927	96.641		96.0		87.402	86.877	
fig|6666666.222563.peg.64	97.484	98.039		98.039		86.667	87.619	98.039		98.039		87.619	87.619	97.059
fig|6666666.222563.peg.65	99.068	99.184		98.951		89.988	89.87	99.143		97.902		89.87	89.87	97.319
fig|6666666.222563.peg.66	94.309	94.309		95.447				95.285		92.52				92.683
fig|6666666.222563.peg.67	87.755	87.755		87.755				87.415		89.116				88.776
fig|6666666.222563.peg.68	93.769	93.873	70.949	93.977	68.836	70.923	70.02	93.873	70.751	81.727	69.419	69.822	70.553	80.924
fig|6666666.222563.peg.69	92.381	97.143		90.635				96.667		90.317				89.683
fig|6666666.222563.peg.70	97.867	97.733		98.0				97.333		90.0				90.4
fig|6666666.222563.peg.71	98.291	98.718		98.077				98.504		73.718				73.504
fig|6666666.222563.peg.72	98.106	98.485		98.864				98.106						
fig|6666666.222563.peg.73	99.091	98.788		99.394				98.788						
fig|6666666.222563.peg.74	98.785	98.611		98.264				98.264						94.928
fig|6666666.222563.peg.75	96.72	96.454		97.163				97.163						96.61
fig|6666666.222563.peg.76	97.236	97.724		98.211				97.724						
fig|6666666.222563.peg.77	95.037	95.956		97.243				95.037						
fig|6666666.222563.peg.78	97.051	97.855		98.123				98.928						94.051
fig|6666666.222563.peg.79	82.979	82.979		82.553				81.277		92.083				98.333
fig|6666666.222563.peg.80	81.145	81.145		81.145				81.425		98.562				98.301
fig|6666666.222563.peg.81	85.839	85.839		86.014				85.839		98.284				98.897
fig|6666666.222563.peg.82	96.317	96.731		94.936				96.409		66.826				97.974
fig|6666666.222563.peg.83	99.259	100.0		99.259				99.259		85.185				100.0
fig|6666666.222563.peg.84	99.037	99.759		99.278				99.096		96.992				99.037
fig|6666666.222563.peg.85	99.02	99.02		99.673				99.02		98.366				97.386
fig|6666666.222563.peg.86	100.0	100.0		99.074				100.0		97.685				98.611
fig|6666666.222563.peg.87	98.434	98.695		99.217				98.108						81.513
fig|6666666.222563.peg.88	98.667	98.222	78.302	100.0	78.302	78.302	77.934	98.667		98.667	78.302	77.934	77.934	98.667
fig|6666666.222563.rna.1														
fig|6666666.222563.rna.2														
fig|6666666.222563.rna.3														
fig|6666666.222563.rna.4														
fig|6666666.222563.rna.5														
fig|6666666.222563.peg.89	96.143	96.143		95.592				96.419		95.935				95.317
fig|6666666.222563.peg.90														
fig|6666666.222563.rna.6														
fig|6666666.222563.peg.91														
fig|6666666.222563.rna.7														
fig|6666666.222563.rna.8														
fig|6666666.222563.peg.92	99.099			100.0				100.0		96.847				94.144
fig|6666666.222563.rna.9														
fig|6666666.222563.rna.10														
fig|6666666.222563.rna.11														
fig|6666666.222563.rna.12														
fig|6666666.222563.rna.13														
fig|6666666.222563.rna.14														
fig|6666666.222563.peg.93	99.101		92.811	99.615	92.94	92.94	93.325				92.94	92.683	93.325	
fig|6666666.222563.rna.15														
fig|6666666.222563.rna.16														
fig|6666666.222563.rna.17														
fig|6666666.222563.rna.18														
fig|6666666.222563.rna.19														
fig|6666666.222563.rna.20														
fig|6666666.222563.rna.21														
fig|6666666.222563.rna.22														
fig|6666666.222563.rna.23														
fig|6666666.222563.rna.24														
fig|6666666.222563.peg.94	97.345	97.64		99.115				96.97		97.64				97.935
fig|6666666.222563.peg.95	100.0	100.0	82.405	100.0	82.405	82.405	82.405	100.0	82.405	99.138	82.405	82.405	82.405	99.425
fig|6666666.222563.peg.96	99.225	96.899		96.899				96.899		95.349				99.225
fig|6666666.222563.peg.97	100.0	99.405		99.405			80.0	99.405	80.0	98.81	80.0	80.0	80.0	99.405
fig|6666666.222563.peg.98	99.767	98.368		97.902				98.368		98.834				98.834
fig|6666666.222563.peg.99	99.905	98.769	78.833	99.053	77.987		79.525	98.295	78.739		79.262	79.083	78.94	97.917
fig|6666666.222563.peg.100			97.444						97.125					
fig|6666666.222563.peg.101	98.646	97.97	75.652	97.293	75.395	75.439	75.652	98.985	74.957	96.785	75.826	75.652	75.395	96.954
fig|6666666.222563.peg.102	100.0	98.818		98.7				99.054		97.409				97.045
fig|6666666.222563.peg.103	99.371	99.214	67.955	99.371	67.197	67.396	67.793	99.057	67.197	98.899	67.197	67.197	70.533	98.27
fig|6666666.222563.peg.104	99.44	99.16		98.88				99.16		97.759				98.599
fig|6666666.222563.peg.105	99.92	99.682	88.996	99.682	86.68	86.1	88.61	99.682	87.838	87.638	86.486	88.803	88.803	88.425
fig|6666666.222563.peg.106	99.672	99.343		99.179						93.178				96.172
fig|6666666.222563.peg.107	99.894	98.942		99.153				99.048		97.778				98.942
fig|6666666.222563.peg.108	100.0	99.42	68.047	99.13	68.639	68.343	68.343	98.841	68.935	98.841	68.935	68.343	68.639	99.42
fig|6666666.222563.peg.109	99.941	98.697	78.417	99.23	79.568	78.417	78.273	98.816	79.281	98.681	79.281	78.417	78.345	98.283
fig|6666666.222563.peg.110	100.0	99.873	75.599	99.747	74.644	74.774	74.903	99.873	74.774	98.733	74.386	74.644	74.903	97.338
fig|6666666.222563.peg.111	98.813	97.843		99.604				98.132		94.664				87.87
fig|6666666.222563.peg.112	98.664	98.875	82.004	99.719	81.419	82.229	82.881	98.805	82.196	98.929	82.078	82.078	82.229	98.787
fig|6666666.222563.peg.113	98.81	98.413		98.81				98.81		99.206				99.603
fig|6666666.222563.peg.114	99.889	99.22	76.319	99.666	76.553	75.967	76.671	99.22	76.671	97.993	76.671	76.671	75.967	98.328
fig|6666666.222563.peg.115	99.542	98.396	72.222	99.198	71.834	72.361	71.834	98.855	72.071	98.282	72.071	71.953	72.361	98.396
fig|6666666.222563.peg.116	99.359	98.558	73.333	99.359	73.016	73.333	77.544	98.558	73.333	98.237	73.175	73.333	73.333	99.519
