gene	AP018714	AP018715	Ben	Bill	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
FGBNBECL_00001		98.78								98.374		97.561	98.374		
FGBNBECL_00002		95.154				96.476	96.476			95.595		96.476	97.854		
FGBNBECL_00003	94.66	94.66				97.585	97.585			98.058		97.101	96.117		
FGBNBECL_00004	92.256	91.781				94.949	94.949			95.548		97.643	96.296		
FGBNBECL_00005						98.575	98.575						98.575		
FGBNBECL_00006	95.455					95.455	95.455			95.263		94.949	98.396		
FGBNBECL_00007	97.63					97.156	97.156			97.63		100.0	100.0		
FGBNBECL_00008	99.479	98.438				98.958	98.958			98.958		98.438	98.958		
FGBNBECL_00009	94.167	93.611				95.833	95.833			94.167		94.167	93.611		
FGBNBECL_00010	99.02					99.02	99.02			100.0		99.02	98.039		
FGBNBECL_00011															
FGBNBECL_00012	93.103											96.045	97.701		
FGBNBECL_00013						95.556	95.556					92.593			
FGBNBECL_00014		82.589	83.482	85.268	83.036						84.821	81.696	91.964		81.696
FGBNBECL_00015													99.353		
FGBNBECL_00016		99.371										96.855	98.742		
FGBNBECL_00017												92.917	99.167		
FGBNBECL_00018													94.309		
FGBNBECL_00019	92.241	93.103				92.816	92.816			90.1		92.109	93.966		
FGBNBECL_00020						90.8	90.8					86.0	100.0		
FGBNBECL_00021						96.667	96.667					98.901	96.923		
FGBNBECL_00022															
FGBNBECL_00023															
FGBNBECL_00024	93.624	95.724	95.638		93.548	93.75	93.75			93.96		94.737	92.763		93.548
FGBNBECL_00025	95.513	95.513				95.192	95.192			95.192		95.833	94.551		
FGBNBECL_00026													98.106		
FGBNBECL_00027												95.752	98.366		
FGBNBECL_00028	97.917	98.958				96.875	96.875			97.917		96.875	99.479		
FGBNBECL_00029	99.556	99.111				94.667	94.667			99.111		96.0	99.111		
FGBNBECL_00030	97.083	97.5				95.0	95.417			95.0		96.25	100.0		
FGBNBECL_00031	77.487	77.105				86.352	86.352			77.487		77.748	99.471		
FGBNBECL_00032	95.455	93.434				94.444	94.444			95.455		91.919	96.465		
FGBNBECL_00033	98.256	95.93				95.543	95.543			97.868		94.38	98.035		
FGBNBECL_00034	98.795	98.795				94.779	94.779			98.795		95.582	96.787		
FGBNBECL_00035	99.81	99.81				94.787	94.787			99.679		96.209	100.0		
FGBNBECL_00036	98.473	98.982				98.473	98.473			98.473		95.584	99.237		
FGBNBECL_00037	98.889	99.167				98.889	99.167			98.889		98.039	99.167		
FGBNBECL_00038	98.83	99.415				99.415	99.415					98.83	99.415		
FGBNBECL_00039	85.451	98.158				93.923	93.923			97.422		94.659	98.158		
FGBNBECL_00040	95.474	96.344				93.534	93.75			94.764		95.043	97.204		
FGBNBECL_00041	96.391	95.966				95.754	95.754			95.754		95.754			
FGBNBECL_00042	97.814	99.727				96.448	97.541			99.727		98.087	98.361		
FGBNBECL_00043	92.727	99.394				92.727	92.727			92.727		92.727	92.727		
FGBNBECL_00044	96.724	98.266				96.532	97.495			97.303		94.99	96.339		
FGBNBECL_00045	92.178	100.0				99.367	99.367			92.389		96.203	91.966		
FGBNBECL_00046	98.588	99.576				99.153	99.153			98.588		99.011	98.023		
FGBNBECL_00047	100.0	100.0				100.0	100.0			97.07			96.703		
FGBNBECL_00048	97.884	100.0				98.413	98.413			98.413		97.884	98.413		
FGBNBECL_00049	96.97	99.784				96.753	96.753			97.403		96.104	97.619		
FGBNBECL_00050	90.395	100.0				88.136	88.136			94.915		87.006	100.0		
FGBNBECL_00051	86.364	86.869				83.5	83.5			86.0		86.5	86.364		
FGBNBECL_00052	97.712	99.673								93.137		96.296	97.059		
FGBNBECL_00053	98.684	98.538	65.512	65.512		94.591	94.591					97.515	98.684		
FGBNBECL_00054	98.333	98.958				99.167	99.167			99.167		99.375	98.542		
FGBNBECL_00055	97.268	100.0				97.814	97.814			97.814		100.0	98.907		
FGBNBECL_00056	97.059	99.837				95.261	95.261			93.954		95.588	99.837		
FGBNBECL_00057	78.704	79.63			67.577	79.012	79.012	69.123		78.704	69.038	78.704	100.0	68.942	67.308
FGBNBECL_00058	94.872	84.404				97.436	97.436			96.581		94.017	100.0		
FGBNBECL_00059	100.0					92.958	92.958			92.958			100.0		
FGBNBECL_00060	99.517	79.137				81.446	81.446			81.205		81.205	100.0		
FGBNBECL_00061	97.917					98.698	98.698			98.413		97.884	100.0		
FGBNBECL_00062		96.28								95.522			99.858		
FGBNBECL_00063	98.907					97.268	97.268					97.268	100.0		
FGBNBECL_00064	95.402	94.253								93.678		95.402	99.425		
FGBNBECL_00065	97.971	98.551				98.551	97.971					98.261	97.681		
FGBNBECL_00066	97.255	99.608				96.471	97.255			98.039		97.255	99.216		
FGBNBECL_00067	99.608	98.431				96.863	99.608			96.471		99.608	98.824		
FGBNBECL_00068	97.321	97.917				94.94	97.619			99.405		98.512	95.536		
FGBNBECL_00069	95.205	95.434				93.778	94.977			98.63		98.858	95.434		
FGBNBECL_00070	97.403	95.671				93.939	96.97			95.238		98.485	89.394		
FGBNBECL_00071	97.368	97.101				94.737	95.614			93.86		97.368	92.523		
FGBNBECL_00072	96.991	97.222				93.519	91.435			97.685		99.537	99.769		
FGBNBECL_00073	98.268	90.476				94.273	98.268			94.805		98.268	99.567		
FGBNBECL_00074	95.833	95.602				98.611	99.306			95.833		98.38	100.0		
FGBNBECL_00075	81.046	79.085				99.346	100.0			83.007		99.346	99.346		
FGBNBECL_00076	95.781	98.523	68.972	68.972	68.972	97.468	98.523		70.877	97.996	68.972	99.262	97.89	71.145	70.949
FGBNBECL_00077	98.882	98.984				98.577	98.462			98.679			99.593		
FGBNBECL_00078	94.432	94.432				96.907	94.432			95.762			100.0		
FGBNBECL_00079															
FGBNBECL_00080	97.449	99.49				97.619	97.619			99.49			97.963		
FGBNBECL_00081	99.588	99.588				99.588	99.588			99.177			100.0		
FGBNBECL_00082	100.0	98.551				100.0	100.0			99.034			99.034		
FGBNBECL_00083	100.0	99.673				100.0	100.0			99.673			99.346		
FGBNBECL_00084	100.0	98.268				100.0	100.0			98.268			99.134		
FGBNBECL_00085	100.0	99.111	79.245	78.774	78.302	100.0	100.0	78.774	78.302	99.111	77.83		99.111	78.302	78.302
FGBNBECL_00086	100.0				77.778	100.0									
FGBNBECL_00087	100.0		95.833		95.833	100.0	100.0	95.833			95.833				95.833
FGBNBECL_00088	98.26	98.35	91.484		91.484	98.26	98.26	91.026		98.35	91.392		98.075		92.811
FGBNBECL_00089	100.0	100.0				100.0	100.0			100.0			100.0		
FGBNBECL_00090	98.649					98.649	98.649								
FGBNBECL_00091	98.824	98.824				98.824	98.824			98.824			98.824		
FGBNBECL_00092	100.0	98.684				100.0	100.0			100.0			97.368		
FGBNBECL_00093	100.0	100.0				100.0	100.0			100.0			100.0		
FGBNBECL_00094	98.684	100.0				98.684	98.684			100.0			100.0		
FGBNBECL_00095	98.82	100.0				98.82	98.82			99.115		99.115	98.23		
FGBNBECL_00096	100.0	100.0	82.405	82.405	82.405	100.0	100.0	82.698	82.111	100.0	82.405	100.0	100.0	82.405	82.405
FGBNBECL_00097						99.234	99.234	74.627	74.627	99.234		99.617	100.0		
FGBNBECL_00098	98.519	100.0				99.259	99.259			100.0		100.0	100.0		
FGBNBECL_00099	99.534	99.767				98.368	98.368			99.679		99.068	99.301		
FGBNBECL_00100	98.703	96.821	78.619	79.092	78.619			78.903			79.281	97.552	96.965	78.903	78.833
FGBNBECL_00101												99.681			97.444
FGBNBECL_00102	99.105	100.0	75.862	74.654	75.576	99.553	97.092	75.51	73.832	100.0	75.115	98.21	99.329	75.51	75.159
FGBNBECL_00103	98.606	98.986				98.479	96.831					96.958	98.352		
FGBNBECL_00104	97.629	98.745	66.799	66.998	67.727	98.884	98.605		66.799	98.466	66.998	97.211	99.024		67.955
FGBNBECL_00105	96.232	99.71				97.681	97.101			99.13		98.261	100.0		
FGBNBECL_00106	93.448	99.31	88.996	88.996	88.61	93.908	94.368	83.859	81.262	99.276	88.996	98.851	99.885	83.302	88.996
FGBNBECL_00107	97.971	98.841				98.261	99.13			99.71		97.971	99.71		
FGBNBECL_00108	95.871	99.211	78.349	78.478	78.494	95.134	98.682	78.928	78.783	99.089	78.551	95.689	100.0	78.856	78.349
FGBNBECL_00109	99.363	99.575	75.536	75.536	75.536	99.363	99.575	75.966	76.18	99.575	75.536	99.788	99.575	75.966	75.536
FGBNBECL_00110	100.0	98.495				94.617	96.624			98.495		99.355	100.0		
FGBNBECL_00111	99.928	99.283	82.151	82.078	82.004	98.423	99.283	81.487	81.785	99.416	82.004	99.211	99.928	81.665	82.004
FGBNBECL_00112	98.485	98.864				98.864	98.864			92.045		98.864	98.864		
FGBNBECL_00113	98.667	96.778	76.319	76.319	75.556	98.889	96.778	75.778	75.444	98.778	76.319	98.667	99.222	76.553	76.319
FGBNBECL_00114	98.851	98.161	72.373	72.189	71.953	99.08	98.161	72.071	71.834	99.195	72.189	98.621	99.885	72.308	72.222
FGBNBECL_00115	99.679	98.558	72.857	72.857	72.857	99.519	98.558	73.651	73.333	98.575	72.857	98.718	100.0	73.492	73.333
FGBNBECL_00116	99.527	99.409	73.672	74.144	73.672	99.409	99.291	74.144	74.144	99.527	74.026	98.582	99.882	74.144	73.672
FGBNBECL_00117	99.649	99.474	81.568	81.568	81.51	91.754	91.754	81.627	81.297	99.883	81.217	98.947	100.0	81.707	81.51
FGBNBECL_00118	99.213	99.054	86.761	85.579	86.525	99.475	99.475	85.816	85.377	99.213	86.998	98.345	100.0	87.204	86.525
FGBNBECL_00119													100.0		
FGBNBECL_00120	98.945	99.789	73.176	73.176	73.176	98.523	98.523	74.353	74.118	99.367	73.647	99.156	100.0	74.353	73.176
FGBNBECL_00121	99.826	100.0	78.179	77.453	77.453	99.132	99.132	77.835	77.487	99.132	78.179	99.479	99.826	78.007	78.179
FGBNBECL_00122	96.5	97.019	69.844	69.863	69.844	96.937	96.937	69.349	70.905	96.834	69.953	96.992	99.287	69.735	69.844
FGBNBECL_00123	99.215	99.184	70.108	69.273	70.342	98.65	98.65	69.794	70.116	99.31	70.179	98.211	99.498	69.915	70.108
FGBNBECL_00124	97.39	97.463	72.337	71.477	71.856	96.077	97.773	72.077	71.521	97.408	71.871	95.73	98.886	71.879	72.365
FGBNBECL_00125	93.87	94.362	64.268	64.095	64.268	95.398	95.108	65.431	64.345	94.444	63.935	94.818	95.273	64.228	63.613
FGBNBECL_00126		98.072				99.174	99.174			98.485		97.934	98.072		
FGBNBECL_00127	98.639	97.959				100.0	100.0			97.959		99.32	100.0	73.913	
FGBNBECL_00128	98.696	99.129	74.629	74.926	74.629	99.275	99.275	74.629	74.852	98.804	74.777	98.839	99.13	75.074	74.777
FGBNBECL_00129	97.02	99.814	74.349	76.022	74.349	99.628	99.628	75.279	76.58	99.814	76.022	99.628	98.324	74.349	74.907
FGBNBECL_00130	97.872	98.723	77.059	77.909	77.059	99.716	99.716	76.436	76.73	98.723	77.206	98.723	98.44	76.141	78.203
FGBNBECL_00131	97.411	97.603	76.643	75.935	76.643	99.62	99.62	77.416	76.907	97.699	76.239	97.411	97.721	77.925	76.643
FGBNBECL_00132						98.892	99.597						99.698		
FGBNBECL_00133	98.125	97.708	74.236	73.362	74.454	99.792	99.792	72.489	74.236	97.708	73.799	98.125	99.583	72.926	74.454
FGBNBECL_00134	98.384	98.499	81.873	82.03	81.887	98.442	98.47	81.3	81.711	98.435	81.917	98.384	98.874	81.857	81.843
FGBNBECL_00135	90.637	90.247	81.534		81.014	90.637	90.637	81.014	87.696	91.547	81.404				81.014
FGBNBECL_00136	100.0	99.206				100.0	96.032			99.206		99.206	100.0		
FGBNBECL_00137	98.713	98.864	73.785	74.068	74.254	99.436	99.016	74.055	74.829	99.087	73.672	95.657	99.323	73.842	73.785
FGBNBECL_00138	99.463	99.463				99.195	99.195			99.732		99.329	99.396		
FGBNBECL_00139	99.457	99.525	77.079	76.854	76.779	99.593	99.593	77.303		99.525	76.779	99.185	99.525	77.154	77.453
FGBNBECL_00140	97.727	97.727	72.773	72.691	72.773	99.337	99.337	72.965	72.7	98.769	72.773	98.58	98.201	72.663	72.965
FGBNBECL_00141	99.049	98.891				98.574	98.574			98.838		99.366	98.838		
FGBNBECL_00142	97.147	98.498	67.063	66.838	67.063	98.799	98.799	66.154	64.873	98.348	67.063	98.799	99.55	65.646	65.812
FGBNBECL_00143	98.772	98.772	69.289	69.935	69.405	98.584	98.584	69.397	68.845	98.44	69.297	97.828	99.056	69.189	69.289
FGBNBECL_00144	86.834	86.991				87.304	87.304			85.781		86.52	98.894		
FGBNBECL_00145	97.514	97.401	70.764	70.598	70.598	97.74	97.74			97.74	70.598	97.624	97.74	69.917	69.421
FGBNBECL_00146	98.268	98.268				98.268	98.268			99.567		98.268	99.134		
FGBNBECL_00147	98.706	98.706				99.029	99.029			99.029		99.353	99.676		
FGBNBECL_00148	99.679	99.679				99.679	99.679			100.0		98.718	99.679		
FGBNBECL_00149	98.118	98.118	71.429	72.201	71.429	95.968	95.968	71.815	71.815	98.118	71.429	99.462	100.0	72.201	72.201
FGBNBECL_00150	99.402	99.402	71.154	70.623	70.772	99.701	99.701	72.041	71.295	99.552	70.772	99.701	99.552	71.068	71.598
FGBNBECL_00151	98.667	99.0				99.667	99.667			99.0		99.0	99.336		
FGBNBECL_00152	98.125	98.125				97.708	97.708			98.125		97.292	98.542		
FGBNBECL_00153	99.119	99.119	74.576	74.576	74.576	98.365	98.365	74.446	74.837	98.021	75.098	98.742	99.371	74.576	74.576
FGBNBECL_00154	98.718	98.718	76.221	77.199	76.221	99.359	99.359	75.57	75.244	98.98	76.547	99.038	99.359	74.593	75.57
FGBNBECL_00155	99.092	98.66	69.488	69.057	69.444	99.092	99.092	70.373	69.967	98.846	70.56	98.746	99.081	69.448	69.104
FGBNBECL_00156	99.849					99.849	99.849					99.849			
FGBNBECL_00157	98.75	98.958	78.068	78.068	77.807	98.542	98.542	78.167	76.308	98.75	78.068	98.75	98.75	76.302	77.807
FGBNBECL_00158	99.44	99.16	77.994	77.346	77.994	99.16	99.16	77.994	78.317	99.44	77.994	99.16	99.44	77.994	78.146
