gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	V12_RAST
BOCOCLFO_00001			91.039						89.964	91.039					91.756
BOCOCLFO_00002			92.995	93.478		92.512			93.961	93.961		93.961			93.237
BOCOCLFO_00003															
BOCOCLFO_00004										92.611					
BOCOCLFO_00005			98.942			98.942						98.942			98.413
BOCOCLFO_00006									90.947			92.181			
BOCOCLFO_00007															
BOCOCLFO_00008									93.115					69.0	
BOCOCLFO_00009	93.056	93.056				84.028			93.75	94.444	97.917				
BOCOCLFO_00010			93.897	96.714					100.0			93.427			
BOCOCLFO_00011															
BOCOCLFO_00012									98.535	97.07					
BOCOCLFO_00013									98.297	97.567					
BOCOCLFO_00014									99.156						
BOCOCLFO_00015			87.111	87.556					98.667	96.0		88.444			
BOCOCLFO_00016			92.544	92.982		90.351			99.123	92.544		92.544			89.474
BOCOCLFO_00017						94.788			98.266	94.402					94.788
BOCOCLFO_00018			94.444	94.444		95.96			98.485	86.911		93.939			95.96
BOCOCLFO_00019			89.063	89.063		87.273			95.758	91.515		83.03			87.273
BOCOCLFO_00020									100.0	94.799					
BOCOCLFO_00021			96.386	96.386		96.867			99.438	96.386		96.225			97.028
BOCOCLFO_00022			92.063	93.122		98.942			97.884	98.942		99.471			98.942
BOCOCLFO_00023			94.062	94.062		93.387			95.412			93.657			96.237
BOCOCLFO_00024									93.426	99.142					
BOCOCLFO_00025		72.052	90.625	90.489		90.872				99.206	72.409	87.075			90.872
BOCOCLFO_00026			90.535	90.535		90.535				99.177		90.947			90.123
BOCOCLFO_00027										99.475		91.579			
BOCOCLFO_00028			89.138	89.61		89.61			94.854	98.596		89.374			89.02
BOCOCLFO_00029			88.015	87.266		87.64			86.517	99.625		87.64			87.266
BOCOCLFO_00030			89.13	87.943		87.943			98.965	97.93		87.943			89.453
BOCOCLFO_00031			88.745	87.446		91.775			94.372	86.522		88.312			89.61
BOCOCLFO_00032			80.479	80.822		80.479			96.296	84.589		80.822			82.192
BOCOCLFO_00033			76.19	76.19		76.923			98.881	98.21		75.964			77.149
BOCOCLFO_00034			83.582	83.582		83.459			97.494	92.732		84.04			83.459
BOCOCLFO_00035			96.212	96.212		95.833			97.727	96.212		96.591			95.833
BOCOCLFO_00036			96.065	95.293		95.37			97.454	96.759		95.37			94.753
BOCOCLFO_00037			94.393	94.081		98.754			97.819	98.754		92.835			92.523
BOCOCLFO_00038			89.623	90.027		90.566			98.516	99.73		90.148			90.027
BOCOCLFO_00039			96.512	96.512		95.736			98.45	100.0		96.899			96.124
BOCOCLFO_00040	64.386		95.402	95.402		93.596			94.745	100.0		93.432	64.516		94.581
