gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	TEX	V12_RAST
OOCDCBIJ_00001	85.106	100.0	55.319		93.617	55.319	97.872	97.872	52.174	52.174	100.0		100.0	53.191	55.319
OOCDCBIJ_00002	97.959				100.0		97.959	97.959		69.792			98.98	76.042	
OOCDCBIJ_00003	97.101	97.101			98.551		98.551	98.551			97.101		98.551		
OOCDCBIJ_00004	95.062	100.0									100.0				
OOCDCBIJ_00005		97.561			98.78						98.78		100.0		
OOCDCBIJ_00006		94.203			96.154		96.053	96.053			94.203		94.203		
OOCDCBIJ_00007	97.101	97.101			97.101		97.101	97.101			97.101		98.551		
OOCDCBIJ_00008							93.333	93.333							
OOCDCBIJ_00009	93.939	91.753			97.98		98.99	98.99			96.907		96.97		
OOCDCBIJ_00010															
OOCDCBIJ_00011							97.917	97.917			97.222		96.528		
OOCDCBIJ_00012					98.291		100.0	100.0							
OOCDCBIJ_00013											97.183				
OOCDCBIJ_00014	95.775				100.0		95.775	95.775			95.775		100.0		
OOCDCBIJ_00015	100.0	96.875			100.0		100.0	100.0			98.438		98.438		
OOCDCBIJ_00016	95.0	93.333			93.333		98.333	98.333			97.5		97.5		
OOCDCBIJ_00017	97.059		55.556		97.059		97.059	97.059			97.059		97.059		
OOCDCBIJ_00018		97.647													91.765
OOCDCBIJ_00019	86.517		84.27			84.27			83.146	83.146	89.888		94.382		85.393
OOCDCBIJ_00020													94.643		
OOCDCBIJ_00021			50.0	50.0		51.724						51.724			51.724
OOCDCBIJ_00022	96.552		56.25	56.25	98.276	56.25				56.25		56.25	96.61		56.25
OOCDCBIJ_00023		69.333	80.0	81.333	85.135	80.0						81.333	70.667		78.667
OOCDCBIJ_00024					100.0										
OOCDCBIJ_00025									64.706					60.784	
OOCDCBIJ_00026		100.0		55.102	100.0								96.226		
OOCDCBIJ_00027					100.0					66.667			92.5		
OOCDCBIJ_00028					95.122										
OOCDCBIJ_00029	90.086	87.931			91.81		93.966	93.966			89.655		93.103		
OOCDCBIJ_00030					100.0		87.952	87.952					78.313		
OOCDCBIJ_00031					96.923		96.667	96.667					96.667		
OOCDCBIJ_00032													96.667		
OOCDCBIJ_00033		100.0					96.053	96.053					97.368		
OOCDCBIJ_00034		100.0	62.637	62.637			96.703	96.703					98.901		
OOCDCBIJ_00035	96.97	95.327	89.216		88.119	86.139	97.196	97.196			96.97		92.523		86.139
OOCDCBIJ_00036	98.077	100.0			93.269		97.115	97.115			99.038		99.038		
OOCDCBIJ_00037					97.727	50.704									50.704
OOCDCBIJ_00038					97.059								94.118		
OOCDCBIJ_00039	98.438	100.0			100.0		93.75	93.75			98.438		95.313		
OOCDCBIJ_00040	100.0	100.0			100.0		97.333	97.333			100.0		97.333		
OOCDCBIJ_00041	95.181	95.181			100.0		93.976	93.976			92.771		93.976		
OOCDCBIJ_00042	73.228	73.228			99.206		85.039	85.039			73.228		73.228		
OOCDCBIJ_00043	100.0	96.97			98.485		98.485	98.485			98.485		93.939		
OOCDCBIJ_00044	97.674	93.605			96.512		94.767	94.767			98.256		93.023		
OOCDCBIJ_00045	96.386	96.386			96.386		98.795	98.795			96.386		97.59		
OOCDCBIJ_00046	99.429	100.0			100.0		86.74	86.74			99.038		86.74		
OOCDCBIJ_00047	98.473	100.0			98.473		99.237	99.237			98.473		92.188		
OOCDCBIJ_00048	99.167	100.0			100.0		100.0	100.0			99.167		100.0		
OOCDCBIJ_00049	98.182	100.0			100.0		100.0	100.0					96.491		
OOCDCBIJ_00050	83.978	100.0			97.238		94.475	94.475			99.448		95.556		
OOCDCBIJ_00051	94.194	94.839			96.129		92.903	92.903			92.857		94.839		
OOCDCBIJ_00052			53.125	53.125		53.125	91.667	91.667	65.217	69.565		53.125	95.833	53.125	53.125
OOCDCBIJ_00053	97.541	99.18			98.361		97.541	97.541			99.18		97.541		
OOCDCBIJ_00054	100.0	93.333			90.909		100.0	100.0			100.0		83.636		
OOCDCBIJ_00055	97.688	97.11			97.688	53.614	97.11	97.11	55.422	54.878	97.688		95.376	54.819	53.614
OOCDCBIJ_00056	98.734	86.709			86.709		86.076	86.076			99.367		84.81		
OOCDCBIJ_00057	95.763	95.763			96.61		95.763	95.763			98.729		95.339		
OOCDCBIJ_00058	97.802	97.802			97.802		97.802	97.802			100.0				
OOCDCBIJ_00059	100.0	98.413			98.413		100.0	100.0			100.0		95.238		
OOCDCBIJ_00060	96.753	97.403			96.753		99.351	99.351			98.701		98.701		
OOCDCBIJ_00061	91.525	100.0			100.0		86.441	86.441			94.915		84.746		
OOCDCBIJ_00062	100.0	100.0			83.333		100.0	100.0			98.485		100.0		
OOCDCBIJ_00063	97.059	96.078			95.098		55.34	55.34			93.137		95.833		
OOCDCBIJ_00064	99.123	99.123	59.091	59.091	99.561	59.545	96.053	96.053	59.091	58.636		59.091	98.246	59.091	59.545
OOCDCBIJ_00065	98.75	99.375			99.375		99.375	99.375			99.375		99.375		
OOCDCBIJ_00066	98.361	98.361	51.724	51.724	98.361		98.361	98.361	50.0	51.724	98.361	51.724	98.361	51.724	50.0
OOCDCBIJ_00067	97.059	100.0	56.158	56.158	100.0	55.665	96.078	96.078	55.665	57.143	95.098	55.665	96.569	57.143	56.65
OOCDCBIJ_00068	72.642	78.302	56.863	56.863	100.0	57.843	72.642	72.642	56.863	56.863	71.698	57.843	72.642	60.204	57.843
OOCDCBIJ_00069	94.872	86.111			100.0		97.436	97.436			94.872		92.308		
OOCDCBIJ_00070	100.0				100.0		91.549	91.549			91.549				
OOCDCBIJ_00071	100.0	68.841			100.0		71.739	71.739			72.464		71.739		
OOCDCBIJ_00072	95.313				100.0		98.438	98.438			96.063		95.276		
OOCDCBIJ_00073		94.425			100.0						93.855				
OOCDCBIJ_00074	98.361				100.0		98.361	98.361					98.361		
OOCDCBIJ_00075	98.276	98.276			98.276						96.552		98.276		
OOCDCBIJ_00076	98.261	99.13			98.261		98.261	96.522					97.391		
OOCDCBIJ_00077	97.647	100.0			100.0		97.647	97.647			98.824		97.647		
OOCDCBIJ_00078	100.0	98.824			100.0		97.647	100.0			98.824		100.0		
OOCDCBIJ_00079	96.429	97.321			96.429		100.0	95.536			97.321		97.321		
OOCDCBIJ_00080	99.315	100.0			93.836		94.667	99.315			93.836		94.521		
OOCDCBIJ_00081	90.909	90.26			90.26		88.312	90.26			88.961		90.26		
OOCDCBIJ_00082		78.824	50.0	50.0		50.0			58.025					52.632	
OOCDCBIJ_00083	86.111	89.855			88.889		90.141	81.944			88.889		84.722		
OOCDCBIJ_00084	96.528	96.528			100.0		92.361	85.417			95.833		98.611		
OOCDCBIJ_00085	96.104	86.364			98.701		90.909	96.104			93.939		96.104		
OOCDCBIJ_00086	94.444	93.056			100.0		96.528	98.611			93.75		97.917		
OOCDCBIJ_00087	88.235	84.314			100.0		100.0	100.0	50.0		84.314		98.039		
OOCDCBIJ_00088	95.886	99.051	57.927	58.232	99.051	58.232	98.734	99.367	58.696	65.325	99.367	57.927	99.367	65.325	58.232
OOCDCBIJ_00089		100.0	91.339	91.339		91.339		100.0		90.551	99.225	91.339			91.339
OOCDCBIJ_00090		100.0	61.765	61.765		61.765		98.0	61.765	61.765	100.0	61.765		61.765	61.765
OOCDCBIJ_00091		100.0	95.105	95.105		95.105		100.0	95.455	96.503	99.65	94.306		96.503	95.105
OOCDCBIJ_00092	100.0	100.0			100.0		100.0	100.0			100.0				
OOCDCBIJ_00093	98.417	97.889			99.734		98.848	98.153			98.656				
OOCDCBIJ_00094	100.0	100.0	52.0	52.0	100.0	52.0	100.0	100.0	53.333	53.947	98.765	52.0		53.333	53.333
OOCDCBIJ_00095	98.551	100.0			98.551		98.551	98.551			100.0				
OOCDCBIJ_00096	99.02	99.02			99.02		99.02	99.02			99.02				
OOCDCBIJ_00097	97.403	100.0	55.882	55.882	97.403	55.882	97.403	97.403	55.882	55.882	100.0	55.882		55.882	55.882
OOCDCBIJ_00098	100.0	100.0	84.932	84.932	100.0	84.932	100.0	100.0	84.932	84.932	100.0	83.562		84.932	84.932
OOCDCBIJ_00099	99.176	99.451	94.505		98.901	94.78	99.176	99.176	94.78		99.451	94.78			95.367
OOCDCBIJ_00100															
OOCDCBIJ_00101		100.0									100.0				
OOCDCBIJ_00102															
OOCDCBIJ_00103															
OOCDCBIJ_00104															
OOCDCBIJ_00105															
OOCDCBIJ_00106	99.115	96.46			96.46		99.115	99.115			98.23		98.23		
OOCDCBIJ_00107	100.0	100.0	93.86	93.86	100.0	93.86	100.0	100.0	92.982	92.982	100.0	93.86	100.0	92.982	93.86
OOCDCBIJ_00108					100.0		100.0	100.0	60.0	60.0	100.0		100.0		
OOCDCBIJ_00109	98.889	100.0			100.0		100.0	100.0			100.0		100.0		
OOCDCBIJ_00110	100.0	100.0	67.133	67.133	100.0	67.133	99.301	99.301	67.133	67.133	100.0	67.133	100.0	67.133	67.133
OOCDCBIJ_00111	100.0	100.0	91.453	91.453	100.0	91.453	100.0	100.0	91.453	91.111	100.0	91.453	100.0	91.453	91.453
OOCDCBIJ_00112		99.638	84.521	84.521		84.521			84.725		99.769	84.725		84.521	
OOCDCBIJ_00113	98.859	98.099	51.751	51.751	98.859	51.751	98.859	97.719	52.14	52.14		51.751	97.719	52.14	51.751
OOCDCBIJ_00114	99.582	100.0	50.213	50.213	100.0	50.213	100.0	98.745	50.213	50.213	100.0	50.213	98.745	50.213	50.213
OOCDCBIJ_00115	98.261	100.0			100.0		97.391	98.261			99.13		99.13		
OOCDCBIJ_00116	97.586	99.655	91.477	91.477	100.0	91.477	97.931	98.276	86.339	83.607	96.591	91.477	99.655	85.792	91.477
OOCDCBIJ_00117	99.13	100.0			100.0		99.13	100.0			100.0		99.13		
OOCDCBIJ_00118	99.812	99.812	83.779	83.779	100.0	83.779	99.811	99.623	83.779	83.779	99.623	83.779	99.812	83.779	83.779
OOCDCBIJ_00119	98.726	99.363	80.0	80.0	99.363	80.0	98.726	99.363	80.0	80.0	99.363	80.0	99.363	80.0	80.0
OOCDCBIJ_00120	100.0	98.71			100.0		95.652	96.835			98.71		100.0		
OOCDCBIJ_00121	100.0	99.569	85.129	85.129	100.0	85.129	98.495	99.569	84.483	85.345	98.824	85.345	99.569	85.129	85.129
