gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	TEX	V12_RAST
PHIM1EF22_0010			100.0		99.259	99.259	100.0		100.0		98.519	100.0		
PHIM1EF22_0020							100.0	69.65	100.0	70.817	100.0	100.0		
PHIM1EF22_0030			99.767		98.601	98.601	100.0		98.834		99.301	99.527		
PHIM1EF22_0040	77.114	77.114	99.0	77.612	97.5	97.5	99.51	77.114	99.0	77.612	99.51	98.0	77.114	77.114
PHIM1EF22_0050	76.886	77.061	96.733	77.246	97.447		96.329	77.419	99.29	79.849	97.585	99.303	77.061	78.94
PHIM1EF22_0060					99.784	99.784								
PHIM1EF22_0070	75.439	74.517	99.828	75.747	99.485	97.423	99.828	74.868	98.11	75.521	98.797	99.141	75.694	75.395
PHIM1EF22_0080			98.986		98.226	96.451	98.892		96.578		98.352	98.226		
PHIM1EF22_0090	70.533	67.396	98.894	70.219	99.368	98.578	99.368	67.396	97.314	70.533	97.946	99.684	72.656	70.533
PHIM1EF22_0100			99.71		97.436	96.337	99.42		97.971		95.942	99.71		
PHIM1EF22_0110	88.803	88.803	99.31	88.417	93.908	94.368	99.035	88.803	98.621	81.076	93.448	99.425	83.117	88.803
PHIM1EF22_0120			99.844		97.496	100.0	99.374		97.34		97.496	99.844	74.118	
PHIM1EF22_0130	68.639	68.343	98.841	68.639	97.681	99.71	99.13	68.343	97.971	68.343	97.971	99.13	68.343	68.639
PHIM1EF22_0140	78.345	78.474	99.185	78.489	95.18	99.498	99.884	78.546	95.768	78.777	96.116	99.246	78.849	78.345
PHIM1EF22_0150	74.903	74.903	99.442	74.903	99.495	99.874	100.0	74.903	99.369	75.55	99.116	99.242	75.291	74.903
PHIM1EF22_0160			97.037		95.652	99.057	100.0		97.642		95.716	97.037		
PHIM1EF22_0170	82.374	82.302	99.283	82.229	97.849	100.0	99.903	82.229	99.429	82.01	99.211	99.211	81.719	82.229
PHIM1EF22_0180			98.864		99.242	100.0	91.667		100.0		99.621	99.242		
PHIM1EF22_0190	75.967	75.733	96.778	75.222	97.0	100.0	97.333	75.733	96.444	75.333	96.556	96.889	75.967	75.967
PHIM1EF22_0200	72.781	72.598	98.161	72.361	98.391	100.0	98.506	72.716	99.54	72.242	99.08	98.276	72.835	72.361
PHIM1EF22_0210	72.857	72.857	98.558	72.857	98.397	100.0	100.0	72.857	98.558	73.651	98.878	98.558	73.492	73.333
PHIM1EF22_0220	74.205	74.676	99.409	74.205	99.527	99.882	99.882	74.558	98.7	74.676	99.882	99.527	74.676	74.205
PHIM1EF22_0230	78.512	78.099	100.0	78.512	100.0	100.0		78.099	100.0	77.273	100.0	100.0	78.099	78.512
PHIM1EF22_0240	81.685	81.568	99.474	81.51	91.871	91.871	99.474	81.217	98.889	81.297	99.591	99.474	81.707	81.627
PHIM1EF22_0250	86.288	85.106	99.054	86.052	98.95	98.95	99.213	86.525	97.4	84.906	99.738	99.054	86.73	86.052
PHIM1EF22_0260			96.599		99.32	99.32	100.0				100.0	96.599		
PHIM1EF22_0270	72.941	72.941	99.789	72.941	98.312	98.312	99.156	73.412	98.945	73.882	98.734	99.789	74.118	72.941
PHIM1EF22_0280	78.179	77.453	100.0	77.453	99.394	99.394	99.132	78.179	99.479	77.487	99.826	99.826	78.007	78.179
PHIM1EF22_0290	69.445	69.473	97.019	69.445	98.66	98.66	99.912	69.555	98.715	70.737	98.551	97.293	69.628	69.445
PHIM1EF22_0300	70.162	69.324	99.184	70.397	98.211	98.211	99.869	70.234	98.211	70.066	99.498	99.184	70.065	70.162
PHIM1EF22_0310	72.196	71.617	97.458	71.799	96.782	98.044	99.525	71.787	95.283	71.352	99.47	97.568	71.739	72.224
PHIM1EF22_0320	63.705	63.506	94.362	63.705	96.02	96.434	99.129	63.348	95.605	63.32	99.561	95.232	64.885	63.427
PHIM1EF22_0330			98.072		97.658	97.658	99.325		97.383			96.694		
PHIM1EF22_0340			97.959		97.959	97.959	100.0		98.639	73.684	99.32	97.959	72.059	
PHIM1EF22_0350	75.0	75.289	99.129	75.0	98.694	98.694	99.402	75.145	99.13	75.289	98.984	98.549	74.926	75.578
PHIM1EF22_0360	74.349	76.022	99.814	74.349	99.814	99.814	100.0	76.022	99.814	76.58	97.207	98.51	74.535	74.907
PHIM1EF22_0370	77.647	78.498	98.723	77.647	99.007	99.007	100.0	77.794	98.582	77.32	97.447	98.298	76.73	78.792
PHIM1EF22_0380	76.996	76.616	97.603	76.996	97.603	97.603	99.905	76.996	98.86	77.757	99.24	98.945	78.802	76.996
PHIM1EF22_0390	88.032						99.378	88.235	99.076	83.787	97.945		83.778	
PHIM1EF22_0400	74.809	74.427	97.985	75.0	97.802	97.802	100.0	74.618	99.167	74.618	98.168	97.985	73.855	75.0
PHIM1EF22_0410	81.266	81.577	98.499	81.221	99.048	99.019	99.718	81.169	98.672	81.448	99.307	98.615	80.962	81.237
PHIM1EF22_0420	88.37		90.247	88.266	95.639	95.639	93.873	88.266		93.154	95.639			88.37
PHIM1EF22_0430			99.517		99.517	96.618	100.0		98.551		99.517	99.517		
PHIM1EF22_0440	74.164	74.829	98.864	74.62	98.94	84.933	99.761	74.392	95.609	69.496	99.18	99.167	74.544	74.164
PHIM1EF22_0450	67.093	67.222	99.509	67.053	98.956	98.956	99.57	66.837	99.202	66.752	100.0	99.263		67.093
PHIM1EF22_0460	77.004	76.779	99.525	76.704	99.253	99.253	99.321	76.554	99.253	81.678	99.932	99.457	77.079	77.378
PHIM1EF22_0470	73.073	72.992	97.727	73.073	98.201	98.201	97.538	73.073	97.254	72.4	100.0	98.106	72.864	73.166
PHIM1EF22_0480			98.891		99.155	99.155	99.419		98.574		99.208	98.679		
PHIM1EF22_0490	66.385	66.154	98.498	66.385	98.198	98.198	99.85	66.385	98.198	66.43	97.447	98.949	66.063	65.136
PHIM1EF22_0500	69.612	70.151	98.772	69.73	99.056	99.056	98.787	69.622	97.545	69.172	100.0	99.528	69.514	69.397
PHIM1EF22_0510			86.991		98.578	98.578	96.535		98.894		99.842	86.991		
PHIM1EF22_0520	71.429	71.262	97.401	71.262	97.627	97.627	98.305	71.262	98.416		99.887	98.757	70.579	70.083
PHIM1EF22_0530			98.958		100.0	100.0	98.701		99.134		100.0	98.268		
PHIM1EF22_0540			98.706		99.029	99.029	98.382		99.353		100.0	98.382		
