gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	NC_009904	AP018715	TEX	V12_RAST
PHIEF17H_0010			98.519		99.259	99.259	98.519		98.519		98.519	98.519		
PHIEF17H_0020							100.0	69.65	100.0	70.817	100.0	100.0		
PHIEF17H_0030			99.534		98.834	98.834	99.359		99.068		99.291	99.301		
PHIEF17H_0040	76.617	76.617	98.5	77.114	98.0	98.0	99.51	76.617	98.5	77.114	98.5	99.51	76.617	76.617
PHIEF17H_0050							99.369							
PHIEF17H_0060	78.974	79.615	98.728	78.846	97.065		97.982	79.872	97.455	82.421	97.443	97.585	79.103	79.262
PHIEF17H_0070	76.343	75.581	99.216	76.437	98.969	98.282	99.216	75.872	98.562	75.513	98.693	98.797	76.361	75.826
PHIEF17H_0080			98.606		99.873	96.705	99.71		96.831		98.986	98.352		
PHIEF17H_0090	67.594	67.396	97.472	66.998	98.262	98.42	97.788	67.396	99.052	67.594	97.946	97.946	67.46	67.197
PHIEF17H_0100			96.232		97.07	98.901	95.362		96.232		96.232	95.942		
PHIEF17H_0110	86.486	86.486	93.448	86.1	99.195	98.851	93.245	86.486	93.563	81.818	93.333	93.448	83.859	86.486
PHIEF17H_0120			97.653		99.687	97.496	97.496		99.531		97.653	97.496		
PHIEF17H_0130	68.935	68.639	97.971	68.935	99.71	98.261	98.261	68.639	100.0	68.639	98.261	97.971	68.639	68.935
PHIEF17H_0140	79.281	79.266	95.802	79.424	99.071	95.543	96.0	79.338	99.072	79.568	95.884	96.116	79.496	79.281
PHIEF17H_0150	74.386	74.386	99.303	74.386	99.116	99.242	99.116	74.386	99.532	75.032	99.369	99.116	74.903	74.386
PHIEF17H_0160			98.616		92.638	94.824	95.716		96.368		98.616	95.716		
PHIEF17H_0170	82.224	82.151	99.928	82.078	98.351	99.211	99.318	82.078	99.14	81.858	99.857	99.211	81.738	82.078
PHIEF17H_0180			98.485		98.864	99.621	91.288		100.0		98.864	99.621		
PHIEF17H_0190	76.671	76.436	98.667	75.889	98.222	96.556	98.333	76.436	99.889	76.0	98.556	96.556	76.671	76.671
PHIEF17H_0200	72.491	72.308	98.851	72.071	99.08	99.08	99.425	72.426	99.31	71.716	98.966	99.08	72.308	72.071
PHIEF17H_0210	72.698	72.698	99.679	72.698	99.519	98.878	99.639	72.698	98.878	73.175	99.679	98.878	73.333	73.175
PHIEF17H_0220	74.087	74.558	99.527	74.087	99.645	99.764	100.0	74.441	98.818	74.558	99.645	99.882	74.558	74.087
PHIEF17H_0230	78.512	78.099	100.0	78.512	100.0	100.0		78.099	100.0	77.273	100.0	100.0	78.099	78.512
PHIEF17H_0240	81.627	81.627	99.649	81.568	91.754	91.754	99.649	81.276	98.83	81.356	99.649	99.591	81.765	81.568
PHIEF17H_0250	88.347	88.076	99.213	88.076	99.237	99.237	98.982	88.618	99.213	86.792	99.213	99.738	88.076	88.076
PHIEF17H_0260		93.605			99.458	99.458	97.651		99.423					
PHIEF17H_0270			96.599		99.32	99.32	100.0				96.599	100.0		
PHIEF17H_0280	73.176	73.176	98.945	73.176	99.156	99.156	99.156	73.647	98.101	73.882	98.945	98.734	74.118	73.176
PHIEF17H_0290	78.351	77.625	100.0	77.625	99.394	99.394	99.306	78.351	99.653	77.312	99.653	99.826	77.835	78.351
PHIEF17H_0300	69.634	69.661	96.5	69.634	97.84	97.84	98.48	69.743	97.812	70.786	96.773	98.551	69.492	69.634
PHIEF17H_0310	70.162	69.324	99.215	70.397	98.211	98.211	99.408	70.234	98.18	70.066	99.215	99.498	70.065	70.162
PHIEF17H_0320	72.167	71.244	97.385	71.771	96.874	98.098	99.579	71.815	95.174	71.408	97.641	99.47	71.739	72.196
PHIEF17H_0330	63.767	63.506	93.87	63.767	96.925	97.511	97.121	63.348	96.681	63.267	92.893	99.561	64.885	63.278
PHIEF17H_0340														
PHIEF17H_0350			98.639		98.639	98.639	99.32		99.32	73.684	98.639	99.32	72.857	
PHIEF17H_0360	74.674	75.109	98.696	74.674	98.551	98.551	98.356	74.819	98.984	75.18	98.406	98.984	74.926	74.819
PHIEF17H_0370	75.51	76.438	97.02	75.51	97.393	97.393	97.207	76.067	97.02	76.994	98.696	97.207	75.279	75.651
PHIEF17H_0380	76.618	77.172	97.872	76.618	97.872	97.872	97.447	76.765	98.298	76.289	97.73	97.447	75.994	77.467
PHIEF17H_0390	76.901	76.711	97.411	76.901	97.411	97.411	99.335	77.091	99.05	77.947	99.329	99.24	78.992	76.901
PHIEF17H_0400	88.473						98.826	88.675	98.826	83.671		97.945	83.984	
PHIEF17H_0410	75.763	75.382	98.352	75.954	98.168	98.168	98.168	75.573	97.917	75.573	98.718	98.168	74.809	75.954
PHIEF17H_0420	81.122	81.464	98.384	81.135	99.163	98.961	99.155	81.14	98.672	81.359	98.5	99.307	80.876	81.094
PHIEF17H_0430	90.239		90.637	90.135	100.0	100.0	95.639	90.135		92.739		95.639		90.447
PHIEF17H_0440			100.0		100.0	96.135	99.517		99.034		100.0	99.517		
PHIEF17H_0450	74.696	74.829	98.713	75.152	98.789	84.738	99.284	74.772	95.458	69.724	99.167	99.18	75.076	74.696
PHIEF17H_0460	67.093	67.222	99.509	67.053	98.956	98.956	99.57	66.837	99.202	66.752	99.263	100.0		67.093
PHIEF17H_0470	76.929	76.704	99.457	76.629	99.185	99.185	99.253	76.479	99.185	81.678	99.525	99.932	77.004	77.303
PHIEF17H_0480	73.073	72.992	97.727	73.073	98.201	98.201	97.538	73.073	97.254	72.4	98.106	100.0	72.864	73.166
PHIEF17H_0490			99.049		98.891	98.891	99.155		98.732		98.943	99.208		
PHIEF17H_0500	67.174	66.952	97.147	67.174	96.246	96.246	97.598	67.174	96.246	65.574	96.997	97.447	66.102	66.269
PHIEF17H_0510	69.612	70.151	98.772	69.73	99.056	99.056	98.787	69.622	97.545	69.172	99.528	100.0	69.514	69.397
PHIEF17H_0520			86.834		98.736	98.736	96.693		99.052		86.834	99.842		
PHIEF17H_0530	71.429	71.262	97.514	71.262	97.74	97.74	98.418	71.262	98.529		98.87	99.887	70.579	70.083
PHIEF17H_0540			98.958		100.0	100.0	98.701		99.134		98.268	100.0		
PHIEF17H_0550			98.706		99.029	99.029	98.382		99.353		98.382	100.0		
PHIEF17H_0560			99.679		100.0	100.0	99.634		99.038		99.359	100.0		
PHIEF17H_0570	71.815	72.587	98.118	71.815	97.849	97.849	100.0	71.815	98.656	72.201	98.118	100.0	72.587	72.587
