gene	Ben	Bill	Bob	Bop	Car	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336391.peg.80			95.556		100.0									
SEED:fig|6666666.336391.peg.79					100.0	96.053				96.491				
SEED:fig|6666666.336391.peg.78			92.816		100.0	93.678		90.948		92.098	93.678	92.418		
SEED:fig|6666666.336391.peg.77			90.8		100.0			92.369			90.8			
SEED:fig|6666666.336391.peg.76			96.667		100.0			97.11			98.889			
SEED:fig|6666666.336391.peg.75					100.0			97.368			96.053	96.053		
SEED:fig|6666666.336391.peg.74	94.966		93.75	93.421	100.0	99.329		97.059		99.664	98.131	96.262		93.421
SEED:fig|6666666.336391.peg.73			95.192		100.0	96.795		98.718		97.756	98.718	97.756		
SEED:fig|6666666.336391.peg.72			96.875		100.0	97.917		94.792		96.875	96.354	96.875		
SEED:fig|6666666.336391.peg.71			94.667		100.0	95.556		94.222		95.111	94.667	94.667		
SEED:fig|6666666.336391.peg.70			95.417		99.603	97.222		97.902		97.619	95.417	98.016		
SEED:fig|6666666.336391.peg.69			86.352		100.0	78.906		78.133		78.906		78.01		
SEED:fig|6666666.336391.peg.68			94.444		100.0	94.949		95.455		94.949	93.939	93.939		
SEED:fig|6666666.336391.peg.67			95.543		100.0	96.512		94.186		96.512	95.736	96.899		
SEED:fig|6666666.336391.peg.66			94.779		100.0	95.181		96.386		95.181	96.386	95.181		
SEED:fig|6666666.336391.peg.65			94.787		100.0	95.09		96.133		94.55	94.787	94.55		
SEED:fig|6666666.336391.peg.64			98.473		100.0	98.473		94.911		98.473	99.237	98.982		
SEED:fig|6666666.336391.peg.63			99.167		99.722	99.167		98.319		99.167	100.0	100.0		
SEED:fig|6666666.336391.peg.62			99.415		100.0			98.246		99.415	98.83	98.83		
SEED:fig|6666666.336391.peg.61			93.923		100.0	95.948		98.895		89.871	95.212	95.212		
SEED:fig|6666666.336391.peg.60			93.75		99.355	95.538		96.559		96.129	93.534	95.259		
SEED:fig|6666666.336391.peg.59			95.754		100.0	97.028		99.363		96.815		97.028		
