"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP018714","AP018715","Ben","Bill","Bob","Bop","CCS1","Car","Carl","KY549443","NC_027335","NC_029009","NC_029026","Tex","V12","phief24c_oriented"
"group_127","","Virion protein 5","16","16","1","1","450","","","","392","422","414","NIGGIMMC_00021","ENPKHIHN_00023","AMNIBMGE_00073","DIEEDFHO_00122","FGBNBECL_00118","KEBGJNKE_00139","JEFDOCMN_00125","EGEOBHOM_00120","NGDEOPKE_00108","APLKDIED_00076","EFIMCMEB_00083","MHALOBAC_00136","IJMJAIPA_00167","BOCOCLFO_00122","FLJIFKPE_00143","OOCDCBIJ_00128"
"group_235","","hypothetical protein","16","16","1","1","540","","","","224","278","251","NIGGIMMC_00066","ENPKHIHN_00067","AMNIBMGE_00031","DIEEDFHO_00165","FGBNBECL_00162","KEBGJNKE_00181","JEFDOCMN_00172","EGEOBHOM_00164","NGDEOPKE_00154","APLKDIED_00024","EFIMCMEB_00034","MHALOBAC_00180","IJMJAIPA_00124","BOCOCLFO_00163","FLJIFKPE_00185","OOCDCBIJ_00169"
"group_269","","hypothetical protein","16","16","1","1","375","","","","344","347","345","NIGGIMMC_00204","ENPKHIHN_00201","AMNIBMGE_00093","DIEEDFHO_00102","FGBNBECL_00096","KEBGJNKE_00119","JEFDOCMN_00104","EGEOBHOM_00094","NGDEOPKE_00086","APLKDIED_00102","EFIMCMEB_00108","MHALOBAC_00116","IJMJAIPA_00189","BOCOCLFO_00102","FLJIFKPE_00121","OOCDCBIJ_00107"
"group_39","","hypothetical protein","16","16","1","1","405","","","","827","1268","1062","NIGGIMMC_00009","ENPKHIHN_00011","AMNIBMGE_00086","DIEEDFHO_00109","FGBNBECL_00106","KEBGJNKE_00126","JEFDOCMN_00112","EGEOBHOM_00108","NGDEOPKE_00096","APLKDIED_00089","EFIMCMEB_00097","MHALOBAC_00123","IJMJAIPA_00179","BOCOCLFO_00109","FLJIFKPE_00130","OOCDCBIJ_00116"
"group_73","","Putative tail sheath protein","16","16","1","1","424","","","","1709","1709","1709","NIGGIMMC_00020","ENPKHIHN_00022","AMNIBMGE_00074","DIEEDFHO_00121","FGBNBECL_00117","KEBGJNKE_00138","JEFDOCMN_00124","EGEOBHOM_00119","NGDEOPKE_00107","APLKDIED_00077","EFIMCMEB_00084","MHALOBAC_00135","IJMJAIPA_00168","BOCOCLFO_00121","FLJIFKPE_00142","OOCDCBIJ_00127"
"group_40","","hypothetical protein","14","14","1","1","488","2","58","","3194","3464","3387","NIGGIMMC_00037","ENPKHIHN_00038","AMNIBMGE_00058","","FGBNBECL_00134","KEBGJNKE_00154","JEFDOCMN_00142","EGEOBHOM_00136","NGDEOPKE_00124","APLKDIED_00060","EFIMCMEB_00065","MHALOBAC_00151","IJMJAIPA_00151","","FLJIFKPE_00158","OOCDCBIJ_00144"
"group_104","","hypothetical protein","12","12","1","1","85","1","384","","857","869","858","","ENPKHIHN_00182","AMNIBMGE_00148","DIEEDFHO_00060","","KEBGJNKE_00062","JEFDOCMN_00049","","NGDEOPKE_00062","APLKDIED_00138","EFIMCMEB_00126","MHALOBAC_00061","","BOCOCLFO_00051","FLJIFKPE_00064","OOCDCBIJ_00091"
"group_166","","hypothetical protein","12","12","1","1","366","1","426","","779","1091","1065","NIGGIMMC_00196","ENPKHIHN_00193","AMNIBMGE_00104","","FGBNBECL_00088","KEBGJNKE_00108","JEFDOCMN_00093","EGEOBHOM_00086","NGDEOPKE_00078","","EFIMCMEB_00116","MHALOBAC_00105","","","FLJIFKPE_00110","OOCDCBIJ_00099"
"group_10","","hypothetical protein","11","11","1","1","156","1","304","","311","320","318","NIGGIMMC_00131","ENPKHIHN_00130","AMNIBMGE_00197","","FGBNBECL_00024","KEBGJNKE_00018","","EGEOBHOM_00022","NGDEOPKE_00008","","EFIMCMEB_00182","","IJMJAIPA_00052","","FLJIFKPE_00024","OOCDCBIJ_00035"
"group_43","","hypothetical protein","11","11","1","1","487","2","59","","962","962","962","NIGGIMMC_00038","ENPKHIHN_00039","AMNIBMGE_00057","","","KEBGJNKE_00155","JEFDOCMN_00143","EGEOBHOM_00137","NGDEOPKE_00125","APLKDIED_00059","EFIMCMEB_00064","MHALOBAC_00152","","","FLJIFKPE_00159",""
