gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
JEFDOCMN_00001			93.407	94.505		94.505			98.901					93.407	94.505
JEFDOCMN_00002			90.323						100.0					92.473	90.323
JEFDOCMN_00003			92.029	92.029		92.029			94.928		92.754			96.377	91.304
JEFDOCMN_00004															
JEFDOCMN_00005	92.135		96.629			96.629			93.258	93.258		86.517	83.146		95.506
JEFDOCMN_00006											88.889			86.42	
JEFDOCMN_00007													64.706	94.175	
JEFDOCMN_00008	93.75	93.75				79.487			93.75	95.833				95.833	
JEFDOCMN_00009			97.183	97.183							92.958			100.0	
JEFDOCMN_00010									98.901					96.703	
JEFDOCMN_00011									100.0					99.27	
JEFDOCMN_00012														98.734	
JEFDOCMN_00013			84.932	87.671					94.521		87.671			100.0	
JEFDOCMN_00014			94.737	94.737		89.474			90.789		93.421			100.0	88.158
JEFDOCMN_00015	54.217	54.545			54.545	94.22	53.614	53.614	95.954	54.217		54.217	55.422	99.422	94.22
JEFDOCMN_00016			98.485	98.485		95.455			89.394		98.485	50.746		98.485	95.455
JEFDOCMN_00017			78.182	76.364		76.364			83.636		78.182			94.545	76.364
JEFDOCMN_00018									94.245					100.0	
JEFDOCMN_00019		78.788	73.81	73.81			75.758	75.758				78.788	78.788		
JEFDOCMN_00020			98.795	98.795		98.795			98.554		98.795			99.759	99.036
JEFDOCMN_00021			92.063	92.063		100.0			100.0		100.0			100.0	100.0
JEFDOCMN_00022			96.356	96.356		93.117					93.117			95.951	95.951
JEFDOCMN_00023									92.784					91.282	
JEFDOCMN_00024			63.333	63.333		60.0			63.889		60.0			61.111	60.0
JEFDOCMN_00025			94.681	95.39		95.035			93.684		95.035			94.386	94.681
JEFDOCMN_00026			96.154	96.154		96.154			91.026		96.154			91.026	96.154
JEFDOCMN_00027			92.391	91.304		91.304			96.894		91.304			99.379	92.391
JEFDOCMN_00028			97.297	95.495		96.396					96.396				95.495
JEFDOCMN_00029			92.806	89.815		89.815									
JEFDOCMN_00030			89.61	89.61		94.805			87.013		89.61			94.805	88.312
JEFDOCMN_00031			82.828	82.828		82.828			84.848		82.828			97.98	83.838
JEFDOCMN_00032			71.141	71.141		71.141			97.987		71.141			97.315	71.141
JEFDOCMN_00033			80.451	80.451		79.699			87.218		80.451			96.241	80.451
JEFDOCMN_00034			96.591	96.591		96.591			98.864		96.591			94.318	96.591
JEFDOCMN_00035			96.991	97.222		97.454			96.528		97.917			98.38	97.222
JEFDOCMN_00036			96.262	95.327		99.065			99.065		95.327			99.065	95.327
JEFDOCMN_00037	59.545	59.545	89.879	90.283	59.545	92.308	59.545	59.545	99.19		91.903	59.545	59.091	99.595	91.498
