gene	Ben	Bill	Bob	Bop	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336390.peg.111			97.778		100.0	94.203		99.517		98.551	96.618	98.551		
SEED:fig|6666666.336390.peg.112			96.476		100.0	98.268		98.268			96.035	97.835		
SEED:fig|6666666.336390.peg.113			97.585		100.0	97.573		96.618		95.146	95.631	95.146		
SEED:fig|6666666.336390.peg.114			95.652		100.0	93.284				95.652	97.101	93.284		
SEED:fig|6666666.336390.peg.115			94.949		100.0	95.89		95.96		92.929	97.98	93.836		
SEED:fig|6666666.336390.peg.116					100.0			83.448		83.448				
SEED:fig|6666666.336390.peg.117					100.0	96.991		97.454			98.38			
SEED:fig|6666666.336390.peg.118			98.575		100.0						100.0			
SEED:fig|6666666.336390.peg.119			95.455		100.0	97.895		97.475		100.0	93.583			
SEED:fig|6666666.336390.peg.120			97.156		100.0	99.531		98.864		99.531	97.156	97.17		
SEED:fig|6666666.336390.peg.121					100.0	96.732				99.34		96.732		
SEED:fig|6666666.336390.peg.122			98.958		100.0	98.958		98.165		99.479	98.958	98.438		
SEED:fig|6666666.336390.peg.123			95.833		100.0	96.111		97.642		95.0	97.778	95.278		
SEED:fig|6666666.336390.peg.124			95.556		100.0									
SEED:fig|6666666.336390.peg.125					100.0	96.053				96.491				
SEED:fig|6666666.336390.peg.126			92.816		100.0	93.678		90.948		92.098	93.678	92.418		
SEED:fig|6666666.336390.peg.127			90.8		100.0			92.369			90.8			
SEED:fig|6666666.336390.peg.128			96.667		100.0			97.11			98.889			
SEED:fig|6666666.336390.peg.129					100.0			97.368			96.053	96.053		
SEED:fig|6666666.336390.peg.130	94.966		93.75	93.421	100.0	99.329		97.059		99.664	98.131	96.262		93.421
SEED:fig|6666666.336390.peg.131			95.192		100.0	96.795		98.718		97.756	98.718	97.756		
SEED:fig|6666666.336390.peg.132			96.875		100.0	97.917		94.792		96.875	96.354	96.875		
SEED:fig|6666666.336390.peg.133			94.667		100.0	95.556		94.222		95.111	94.667	94.667		
SEED:fig|6666666.336390.peg.134			95.0		99.603	96.825		97.222		97.222	95.0	97.619		
SEED:fig|6666666.336390.peg.135			86.352		100.0	78.906		78.133		78.906		78.01		
SEED:fig|6666666.336390.peg.136			94.444		100.0	94.949		95.455		94.949	93.939	93.939		
SEED:fig|6666666.336390.peg.137			95.543		100.0	96.512		94.186		96.512	95.736	96.899		
SEED:fig|6666666.336390.peg.138			94.779		100.0	95.181		96.386		95.181	96.386	95.181		
SEED:fig|6666666.336390.peg.139			94.787		100.0	95.09		96.133		94.55	94.787	94.55		
SEED:fig|6666666.336390.peg.140			98.473		100.0	98.473		94.911		98.473	99.237	98.982		
SEED:fig|6666666.336390.peg.141			98.889		99.722	98.889		98.039		98.889	99.722	99.722		
SEED:fig|6666666.336390.peg.142			99.415		100.0			98.246		99.415	98.83	98.83		
SEED:fig|6666666.336390.peg.143			93.923		100.0	95.948		98.895		89.871	95.212	95.212		
SEED:fig|6666666.336390.peg.144			93.534		99.355	96.063		96.774		96.344	93.319	95.474		
SEED:fig|6666666.336390.peg.145			95.754		100.0	97.028		99.363		96.815		97.028		
SEED:fig|6666666.336390.peg.146					100.0			96.517						
SEED:fig|6666666.336390.peg.147			96.448		97.814	96.721		96.995		97.541	97.541	96.721		
SEED:fig|6666666.336390.peg.148			93.296		100.0	100.0		92.179		100.0	100.0	93.889		
SEED:fig|6666666.336390.peg.149			96.532		98.651	97.495		94.605		96.724	96.339	97.303		
SEED:fig|6666666.336390.peg.150			99.367		100.0	91.755		95.57		92.389	91.332	99.367		
SEED:fig|6666666.336390.peg.151			99.153		100.0	98.023		99.294		99.435	97.458	98.729		
SEED:fig|6666666.336390.peg.152			97.732		100.0	95.465		98.806		99.773	95.238	97.732		
SEED:fig|6666666.336390.peg.153			98.413		100.0	100.0		97.354		99.471	100.0	98.413		
SEED:fig|6666666.336390.peg.154			96.753		100.0	98.268		98.485		97.403	98.918	96.97		
SEED:fig|6666666.336390.peg.155			88.136		100.0	92.655		97.74		95.48	88.136	88.136		
SEED:fig|6666666.336390.peg.156			83.5		100.0	95.96		96.465		94.444	94.444	93.939		
SEED:fig|6666666.336390.peg.157					100.0									
SEED:fig|6666666.336390.peg.158	65.759	65.71	94.602		100.0	93.401		94.872		95.007	95.007	95.547	70.408	
SEED:fig|6666666.336390.peg.159			98.81		100.0	97.619		99.405		97.619	97.024	97.619		
SEED:fig|6666666.336390.peg.160			97.814		100.0	100.0		98.413		99.603	97.619	98.016		
SEED:fig|6666666.336390.peg.161	65.4	65.4	95.261		100.0	92.81	65.0	98.366		97.222	96.501	95.425		65.731
SEED:fig|6666666.336390.peg.162					100.0	99.43		99.43		99.43	79.552	83.476		
