gene	AP018714	AP018715	Ben	Bill	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
FGBNBECL_00001		98.78								100.0		98.78	98.78		
FGBNBECL_00002		97.368				98.684	98.684			96.053		97.368	96.154		
FGBNBECL_00003	97.101	97.101				100.0	100.0			97.101		98.551	97.101		
FGBNBECL_00004	94.949	91.753				96.97	96.97			96.907		96.97	97.98		
FGBNBECL_00005						98.291	98.291						98.291		
FGBNBECL_00006	95.455					95.455	95.455			95.161		93.939	96.774		
FGBNBECL_00007	95.775					95.775	95.775			95.775		100.0	100.0		
FGBNBECL_00008	100.0	96.875				100.0	100.0			98.438		98.438	100.0		
FGBNBECL_00009	95.0	94.167				95.0	95.0			95.833		95.0	93.333		
FGBNBECL_00010	100.0					100.0	100.0			100.0		100.0	97.059		
FGBNBECL_00011															
FGBNBECL_00012	94.828		56.25	56.25	56.25				56.25		56.25	98.305	98.276		56.25
FGBNBECL_00013						95.556	95.556					95.556			
FGBNBECL_00014		75.676	78.378	79.73	78.378						79.73	75.676	85.135		75.676
FGBNBECL_00015													100.0		
FGBNBECL_00016		100.0		55.102								96.226	100.0		
FGBNBECL_00017									66.667			92.5	100.0		
FGBNBECL_00018													95.122		
FGBNBECL_00019	92.241	91.81				91.379	91.379			88.362		90.948	91.81		
FGBNBECL_00020						87.952	87.952					78.313	100.0		
FGBNBECL_00021						90.476	90.476					98.333	96.923		
FGBNBECL_00022															
FGBNBECL_00023															
FGBNBECL_00024	91.919	91.089	93.939		88.35	91.089	91.089			91.919		90.099	88.119		88.35
FGBNBECL_00025	93.269	93.269				94.231	94.231			92.308		94.231	93.269		
FGBNBECL_00026													97.727		
FGBNBECL_00027												95.098	97.059		
FGBNBECL_00028	98.438	100.0				93.75	93.75			98.438		95.313	100.0		
FGBNBECL_00029	100.0	100.0				97.333	97.333			100.0		97.333	100.0		
FGBNBECL_00030	95.181	95.181				93.976	93.976			92.771		93.976	100.0		
FGBNBECL_00031	72.441	72.441				85.827	85.827			72.441		72.441	99.206		
FGBNBECL_00032	98.485	95.455				96.97	96.97			96.97		92.424	98.485		
FGBNBECL_00033	96.512	92.442				93.605	93.605			97.093		94.186	96.512		
FGBNBECL_00034	97.59	97.59				97.59	97.59			97.59		96.386	96.386		
FGBNBECL_00035	99.429	100.0				86.74	86.74			99.038		86.74	100.0		
FGBNBECL_00036	96.947	98.473				97.71	97.71			96.947		92.188	98.473		
FGBNBECL_00037	99.167	100.0				100.0	100.0			99.167		100.0	100.0		
FGBNBECL_00038	98.182	100.0				100.0	100.0					96.491	100.0		
FGBNBECL_00039	81.768	97.238				92.265	92.265			96.685		93.333	97.238		
FGBNBECL_00040	94.194	94.194				92.903	92.903			92.063		94.839	96.129		
FGBNBECL_00041	96.815	96.815				94.904	94.904			95.541		96.178			
FGBNBECL_00042	97.541	99.18				97.541	97.541			99.18		98.361	98.361		
FGBNBECL_00043	90.909	98.182				90.909	90.909			90.909		87.273	90.909		
FGBNBECL_00044	97.688	98.266			52.727	98.266	98.266	54.545	53.659	98.844		95.954	97.688	53.939	52.727
FGBNBECL_00045	87.342	100.0				99.367	99.367			87.342		95.57	86.709		
FGBNBECL_00046	98.305	99.153				98.305	98.305			97.881		97.881	96.61		
FGBNBECL_00047	100.0	100.0				100.0	100.0			97.802			97.802		
FGBNBECL_00048	98.413	100.0				98.413	98.413			98.413		96.825	98.413		
FGBNBECL_00049	96.104	99.351				96.104	96.104			96.753		95.455	96.753		
FGBNBECL_00050	91.525	100.0				86.441	86.441			94.915		84.746	100.0		
FGBNBECL_00051	83.333	83.333				83.333	83.333			81.818		83.333	83.333		
FGBNBECL_00052	98.039	99.02								91.176		94.444	95.098		
FGBNBECL_00053	99.561	99.561	59.545	59.545	60.0	96.491	96.491	59.545	59.091		59.545	98.684	99.561	59.545	60.0
FGBNBECL_00054	99.375	100.0				100.0	100.0			100.0		100.0	99.375		
FGBNBECL_00055	100.0	100.0	51.724	51.724		100.0	100.0	50.0	51.724	100.0	51.724	100.0	98.361	51.724	50.0
FGBNBECL_00056	97.059	100.0	56.158	56.158	55.665	96.078	96.078	55.665	57.143	95.098	55.665	96.569	100.0	57.143	56.65
FGBNBECL_00057	72.642	78.302	56.863	56.863	57.843	72.642	72.642	56.863	56.863	71.698	57.843	72.642	100.0	60.204	57.843
FGBNBECL_00058	94.872	86.111				97.436	97.436			94.872		92.308	100.0		
FGBNBECL_00059	100.0					91.549	91.549			91.549			100.0		
FGBNBECL_00060	100.0	68.841				71.739	71.739			72.464		71.739	100.0		
FGBNBECL_00061	95.313					98.438	98.438			96.063		95.276	100.0		
FGBNBECL_00062		95.067								93.855			100.0		
FGBNBECL_00063	98.361					98.361	98.361					98.361	100.0		
FGBNBECL_00064	96.552	96.552								94.828		96.552	98.276		
FGBNBECL_00065	100.0	99.13				100.0	98.261					99.13	98.261		
FGBNBECL_00066	97.647	100.0				97.647	97.647			98.824		97.647	100.0		
FGBNBECL_00067	100.0	98.824				97.647	100.0			98.824		100.0	100.0		
FGBNBECL_00068	96.429	99.107				96.396	95.536			99.107		99.107	96.429		
FGBNBECL_00069	94.521	93.836				92.0	94.521			98.63		97.945	93.836		
FGBNBECL_00070	98.052	97.403				93.506	97.403			94.805		98.701	90.26		
FGBNBECL_00071	93.421	95.652				92.105	89.474			94.595		94.737	88.889		
FGBNBECL_00072	96.528	96.528				92.361	85.417			95.833		98.611	100.0		
FGBNBECL_00073	97.403	86.364				90.909	97.403			93.939		97.403	98.701		
FGBNBECL_00074	94.444	93.056				96.528	98.611			93.75		97.917	100.0		
FGBNBECL_00075	88.235	84.314				100.0	100.0	50.0		84.314		98.039	100.0		
FGBNBECL_00076	96.203	99.367	57.927	58.232	58.232	98.418	99.684	58.696	65.325	99.684	57.927	99.684	99.051	65.325	58.841
FGBNBECL_00077	100.0	100.0				100.0	100.0			100.0			100.0		
FGBNBECL_00078	97.315	95.973				98.969	96.644			98.282			100.0		
FGBNBECL_00079															
FGBNBECL_00080	100.0	100.0				100.0	100.0			100.0			99.734		
FGBNBECL_00081	100.0	100.0	52.0	52.0	52.0	100.0	100.0	53.333	53.947	98.765	52.0		100.0	53.333	53.333
FGBNBECL_00082	100.0	98.551	50.0	50.0	50.0	100.0	100.0	50.0	50.0	98.551	50.0		98.551	50.0	50.0
FGBNBECL_00083	100.0	100.0				100.0	100.0			100.0			99.02		
FGBNBECL_00084	100.0	97.403	55.882	55.882	55.882	100.0	100.0	55.882	55.882	97.403	55.882		97.403	55.882	55.882
FGBNBECL_00085	100.0	100.0	84.932	84.932	84.932	100.0	100.0	84.932	84.932	100.0	83.562		100.0	84.932	84.932
FGBNBECL_00086	100.0				84.375	100.0									
FGBNBECL_00087															
FGBNBECL_00088	99.725	99.451	93.956		94.231	99.725	99.725	94.231		99.451	94.231		98.901		95.367
FGBNBECL_00089															
FGBNBECL_00090															
FGBNBECL_00091															
FGBNBECL_00092															
FGBNBECL_00093															
FGBNBECL_00094															
FGBNBECL_00095	97.345	100.0				97.345	97.345			98.23		98.23	96.46		
FGBNBECL_00096	100.0	100.0	93.86	93.86	93.86	100.0	100.0	92.982	92.982	100.0	93.86	100.0	100.0	92.982	93.86
FGBNBECL_00097						100.0	100.0	60.0	60.0	100.0		100.0	100.0		
FGBNBECL_00098	98.889	100.0				100.0	100.0			100.0		100.0	100.0		
FGBNBECL_00099	100.0	100.0	67.133	67.133	67.133	99.301	99.301	67.133	67.133	100.0	67.133	100.0	100.0	67.133	67.133
FGBNBECL_00100	100.0	100.0	90.341	90.341	90.341			90.341			90.625	100.0	100.0	90.341	90.395
FGBNBECL_00101												100.0			96.805
FGBNBECL_00102	100.0	100.0	79.195	79.195	79.195	100.0	99.329	79.195	77.064	100.0	79.195	100.0	100.0	79.195	77.064
FGBNBECL_00103	99.24	98.479	52.14	52.14	52.14	99.24	98.099	52.14	52.529		52.14	98.099	98.859	52.14	52.14
FGBNBECL_00104	99.582	100.0	50.213	50.213	50.213	100.0	98.745	50.213	50.213	100.0	50.213	98.745	100.0	50.213	50.213
FGBNBECL_00105	98.261	100.0				97.391	98.261			99.13		99.13	100.0		
FGBNBECL_00106	97.586	99.655	91.477	91.477	91.477	97.931	98.276	86.339	83.607	96.591	91.477	99.655	100.0	85.792	91.477
FGBNBECL_00107	99.13	100.0				99.13	100.0			100.0		99.13	100.0		
FGBNBECL_00108	99.818	99.818	83.779	83.779	83.779	99.817	99.623	83.779	83.779	99.634	83.779	99.818	100.0	83.779	83.779
FGBNBECL_00109	99.363	100.0	80.645	80.645	80.645	99.363	100.0	80.645	80.645	100.0	80.645	100.0	99.363	80.645	80.645
FGBNBECL_00110	100.0	98.71				95.652	96.835			98.71		100.0	100.0		
FGBNBECL_00111	100.0	99.569	85.129	85.129	85.129	98.495	99.569	84.483	85.345	98.824	85.345	99.569	100.0	85.129	85.129
FGBNBECL_00112	98.864	100.0				100.0	100.0			93.182		100.0	100.0		
FGBNBECL_00113	100.0	99.333	83.667	83.667	83.667	100.0	99.333	83.667	83.667	100.0	83.667	100.0	100.0	83.667	83.667
FGBNBECL_00114	99.655	99.31	71.134	71.134	71.134	99.655	99.31	70.79	70.79	99.655	71.134	99.655	100.0	71.134	71.134
FGBNBECL_00115	100.0	100.0	81.25	81.25	81.25	100.0	100.0	81.25	81.25	100.0	81.25	100.0	100.0	81.25	81.25
FGBNBECL_00116	99.645	99.645	75.177	75.177	75.177	100.0	99.645	75.532	75.532	99.645	75.177	100.0	100.0	75.532	75.177
FGBNBECL_00117	100.0	99.474	85.614	85.439	85.439	90.877	90.877	84.737	84.737	99.825	85.088	99.298	100.0	85.088	85.439
FGBNBECL_00118	100.0	100.0	97.163	97.163	97.163	100.0	100.0	97.163	97.163	100.0	97.163	100.0	100.0	97.163	97.163
FGBNBECL_00119													100.0		
FGBNBECL_00120	99.367	100.0	72.785	72.785	72.785	100.0	100.0	72.152	72.152	100.0	72.785	100.0	100.0	72.152	72.785
FGBNBECL_00121	100.0	100.0	79.897	79.897	79.897	100.0	100.0	79.381	79.381	99.479	79.897	100.0	99.479	79.381	79.897
FGBNBECL_00122	98.605	98.687	68.949	68.949	69.03	98.769	98.769	68.382	67.154	98.505	68.949	98.769	99.918	69.118	68.949
FGBNBECL_00123	99.812	99.812	71.021	71.021	71.021	99.623	99.623	71.799	71.084	99.803	71.021	100.0	99.906	70.953	71.581
FGBNBECL_00124	98.248	98.302	73.148	72.582	73.255	96.55	98.686	72.077	71.657	98.248	73.255	96.824	99.726	72.582	73.232
FGBNBECL_00125	87.271	94.9	56.049	56.967	56.173	96.393	95.896	56.468	55.117	95.274	56.843	95.896	96.794	56.095	58.73
FGBNBECL_00126		98.34				98.76	98.76			98.755		97.934	97.934		
FGBNBECL_00127	100.0	100.0	62.222	60.0	62.222	100.0	100.0	61.538	61.538	100.0	64.444	100.0	100.0	62.222	62.222
FGBNBECL_00128	99.13	99.13	78.509	78.509	78.509	99.565	99.565	78.07	78.07	99.103	78.07	99.565	99.13	78.509	78.509
FGBNBECL_00129	99.441	100.0	85.475	86.034	85.475	100.0	100.0	86.034	86.034	100.0	86.034	99.441	99.441	86.034	86.034
FGBNBECL_00130	98.723	99.149	81.974	82.833	81.974	100.0	100.0	81.974	81.545	99.149	81.974	98.723	98.723	81.974	82.403
FGBNBECL_00131	99.43	99.145	85.928	85.629	85.928	99.43	99.43	85.928	86.228	99.43	85.629	99.145	99.43	86.228	85.928
FGBNBECL_00132	62.722	63.314	63.905	64.497	63.314	99.094	99.698	63.314	63.314	63.314	63.314	62.722	100.0	63.314	63.314
FGBNBECL_00133	98.75	100.0	74.375	74.375	74.375	100.0	100.0	73.125	75.625	100.0	74.375	99.375	100.0	73.75	74.375
FGBNBECL_00134	99.74	99.654	90.489	90.67	90.67	99.74	99.74	89.805	90.308	99.718	90.489	99.567	99.74	90.67	90.489
FGBNBECL_00135	81.62	81.931	75.701		75.389	81.62	81.62	75.389	81.62	82.866	75.701				75.389
FGBNBECL_00136	100.0	100.0				100.0	100.0			100.0		97.619	100.0		
FGBNBECL_00137	99.772	99.772	81.664	82.003	82.003	99.831	99.772	81.834	85.812	98.747	81.664	99.323	99.831	81.834	81.664
FGBNBECL_00138	99.799	99.799	51.357	51.357	50.939	99.195	99.195	51.357	51.357	100.0	51.148	99.799	99.799	51.357	51.357
FGBNBECL_00139	100.0	100.0	78.484	78.689	78.484	100.0	100.0	78.893	82.857	100.0	78.484	100.0	100.0	78.893	78.893
FGBNBECL_00140	98.295	98.295	75.0	75.0	75.0	99.148	99.148	74.432	74.148	99.148	75.0	98.864	99.148	74.148	74.432
FGBNBECL_00141	99.683	99.525	65.769	65.769	65.769	99.049	99.049	65.769	65.927	99.208	65.769	100.0	99.525	65.927	65.769
FGBNBECL_00142	98.649	98.649	53.636	53.636	53.636	99.55	99.55	54.091	55.0	98.649	53.636	99.55	100.0	54.091	54.091
FGBNBECL_00143	100.0	100.0	69.972	69.972	69.405	100.0	100.0	69.688	69.972	99.479	69.972	99.433	100.0	69.972	69.972
FGBNBECL_00144	79.147	79.147				79.621	79.621			78.673		79.147	98.578		
FGBNBECL_00145	98.983	98.644	59.636	60.0	59.273	99.661	99.661	57.075	57.143	99.661	59.273	98.644	99.322	59.636	59.636
FGBNBECL_00146	98.701	98.701				98.701	98.701			100.0		98.701	98.701		
FGBNBECL_00147	100.0	100.0				100.0	100.0			99.029		100.0	100.0		
FGBNBECL_00148	100.0	100.0				100.0	100.0			100.0		100.0	99.038		
FGBNBECL_00149	100.0	100.0	63.025	63.025	63.025	98.387	98.387	63.025	63.025	100.0	63.025	100.0	100.0	63.025	63.025
FGBNBECL_00150	99.552	99.552	72.321	72.768	72.768	100.0	100.0	72.321	73.797	99.552	72.768	99.552	100.0	72.768	72.321
FGBNBECL_00151	100.0	99.0				100.0	100.0			100.0		99.0	100.0		
FGBNBECL_00152	99.375	99.375				98.75	98.75			99.375		98.125	100.0		
FGBNBECL_00153	100.0	100.0	79.245	79.245	79.245	99.245	99.245	79.245	79.245	100.0	79.245	100.0	100.0	79.245	79.245
FGBNBECL_00154	100.0	100.0	80.392	80.392	80.392	100.0	100.0	80.392	80.392	93.75	80.392	100.0	99.038	80.392	80.392
FGBNBECL_00155	99.741	99.222	69.948	69.856	69.856	99.481	99.481	70.468	70.2	99.68	70.468	99.87	99.607	70.604	69.685
FGBNBECL_00156	99.548					99.548	99.548					99.548			
FGBNBECL_00157	100.0	100.0	71.613	71.613	71.613	100.0	100.0	70.968	67.883	100.0	71.613	100.0	100.0	71.613	70.968
FGBNBECL_00158	100.0	100.0	81.905	81.905	81.905	100.0	100.0	81.905	81.905	100.0	81.905	100.0	100.0	81.905	81.905
FGBNBECL_00159	99.302	99.302	53.197	52.792	53.197	99.535	99.535	52.941	55.0	99.535	52.941	99.767	99.767	55.263	52.941
FGBNBECL_00160	99.571	99.571	77.273	77.273	77.54	99.734	99.571	77.005	73.593	99.571	77.273	99.734	99.734	77.273	77.005
FGBNBECL_00161	98.095	98.095	73.469	73.469	73.469	99.048	100.0	73.196	72.449	100.0	73.469	100.0	99.048	73.196	73.469
FGBNBECL_00162	100.0	100.0	93.151	93.151	93.151	100.0	100.0	93.151	93.151	100.0	93.151	100.0	100.0	93.151	93.151
FGBNBECL_00163	99.688	99.688	50.498	50.831	50.831	99.688	99.688			98.87		99.688	99.688	50.0	50.166
FGBNBECL_00164	100.0	100.0	68.027	68.027	68.027	100.0	100.0	66.438	68.707		68.027	100.0	100.0	67.808	68.027
FGBNBECL_00165	91.489	91.489				91.489	90.426			98.039		91.489	98.039		
FGBNBECL_00166	99.371	99.371	52.96	53.271	53.583	99.338	99.007	51.393	52.322	97.799	53.271	98.428	99.371	51.393	53.583
FGBNBECL_00167	100.0	100.0	76.353	76.353	76.638	100.0	100.0	76.353	76.353	99.715	76.353	100.0	100.0	76.353	76.638
FGBNBECL_00168	100.0	98.4	58.197	58.197	56.557	99.2	100.0	57.377	57.377	100.0	58.197	99.2	100.0	57.377	57.377
FGBNBECL_00169	100.0	99.517	52.83	52.358	51.887	100.0	100.0	52.83	52.83	99.517	51.887	100.0	100.0	52.83	51.887
FGBNBECL_00170	100.0	100.0	79.835	79.835	79.835	100.0	100.0	79.835	79.835	100.0	79.835	100.0	100.0	79.424	79.835
FGBNBECL_00171	99.408	100.0	57.485	57.485	57.485	100.0	99.408	57.485	57.485	100.0	57.485	99.408	100.0	57.485	57.485
FGBNBECL_00172	97.436	98.291				98.291	98.291			95.726		95.726	98.291		
FGBNBECL_00173	99.65	100.0	51.203	51.203	50.859	98.951	99.301	50.172	50.172	99.301	51.203	99.65	99.65	50.172	51.203
FGBNBECL_00174	95.745	96.099				99.291	99.291			96.454		96.099	95.745		
FGBNBECL_00175	92.804	92.804				95.203	95.203			92.066		99.817	94.096		
FGBNBECL_00176	100.0	100.0	84.052	84.052	84.052	100.0	100.0	84.052	83.621	100.0	84.052	100.0	100.0	84.052	84.052
FGBNBECL_00177	99.359	98.718	66.026	65.385	66.667	98.718	98.718	66.026	64.744	99.359	66.026	98.718	98.718	65.385	66.667
FGBNBECL_00178	98.553	98.294				96.588	96.974			98.158		98.553	98.031		
FGBNBECL_00179	98.817	97.041				91.716	97.041			97.041		95.858	99.408		
FGBNBECL_00180	97.143												100.0		
FGBNBECL_00181	70.175	98.246				77.551	98.246			98.246		98.246	100.0		
FGBNBECL_00182	94.505	98.901				96.703	98.901			98.901		98.901	100.0		
FGBNBECL_00183	100.0	100.0				97.619	100.0			100.0		100.0	100.0		
FGBNBECL_00184	98.958	97.917				96.875	97.917			97.917		97.917	100.0		
FGBNBECL_00185	94.677	95.437				96.578	95.437			95.437		93.916	100.0		
FGBNBECL_00186	99.162	99.162				99.441	98.603			98.045		95.87	99.162		
FGBNBECL_00187	100.0	100.0				100.0	100.0			100.0		98.02	100.0		
FGBNBECL_00188	83.168	83.168				83.168	83.168			83.168		80.198	83.168		
FGBNBECL_00189	97.959	97.959				97.959	97.959			97.959		89.796	97.959		
FGBNBECL_00190	100.0	100.0				98.333	98.333			98.333			100.0		
FGBNBECL_00191	86.667	84.167				84.167	84.167			86.667		95.652	95.763		
FGBNBECL_00192	95.238	95.238				99.206	99.206			95.238		96.032	90.476		
