gene	Ben	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336388.peg.1	97.826		98.068						92.512				93.478	97.585
SEED:fig|6666666.336388.peg.2	94.792		100.0				95.833							100.0
SEED:fig|6666666.336388.peg.3	96.97		98.99											98.99
SEED:fig|6666666.336388.peg.4	96.667	76.271	98.333				97.778	75.141			77.358			98.333
SEED:fig|6666666.336388.peg.5														
SEED:fig|6666666.336388.peg.6	97.959		97.945				97.26		93.151					98.63
SEED:fig|6666666.336388.peg.7	97.333	85.268	97.321				96.429	80.0			87.054	78.667		95.111
SEED:fig|6666666.336388.peg.8	96.454		93.617			95.035	91.429		93.617	93.617			89.362	96.454
SEED:fig|6666666.336388.peg.9	97.619		96.032				97.642							96.032
SEED:fig|6666666.336388.peg.10	97.717						98.174		84.889				87.556	
SEED:fig|6666666.336388.peg.11	97.807		96.491				97.807		91.667				92.982	95.614
SEED:fig|6666666.336388.peg.12	98.718		96.154				97.009						94.017	96.154
SEED:fig|6666666.336388.peg.13														
SEED:fig|6666666.336388.peg.14	99.388						96.33							
SEED:fig|6666666.336388.peg.15	98.788		91.515											91.515
SEED:fig|6666666.336388.peg.16	99.475		89.922				95.942		87.903					89.922
SEED:fig|6666666.336388.peg.17	99.543		95.662				96.119		94.749					95.89
SEED:fig|6666666.336388.peg.18	97.436													
SEED:fig|6666666.336388.peg.19	99.197		96.787						96.948				96.386	96.948
SEED:fig|6666666.336388.peg.20	98.942		93.122				93.651						93.122	93.122
SEED:fig|6666666.336388.peg.21	99.73		95.682				96.036						94.062	94.467
SEED:fig|6666666.336388.peg.22	100.0						96.714							
SEED:fig|6666666.336388.peg.23	99.595		96.322			72.368	93.252		90.625			71.866	90.489	96.866
SEED:fig|6666666.336388.peg.24	98.354		98.354				96.296		89.712				90.535	97.942
SEED:fig|6666666.336388.peg.25	99.735		98.677				65.99							95.503
SEED:fig|6666666.336388.peg.26	96.831		98.826				99.06		89.492				89.61	98.005
SEED:fig|6666666.336388.peg.27	98.765		100.0				100.0		89.308				89.308	100.0
SEED:fig|6666666.336388.peg.28	98.925		100.0				100.0		89.007				87.943	97.849
SEED:fig|6666666.336388.peg.29	95.614		99.415				98.538							95.906
SEED:fig|6666666.336388.peg.30	99.663		99.663				99.327		88.552				80.822	97.306
SEED:fig|6666666.336388.peg.31	99.776		99.105				99.553		77.083				76.19	98.434
SEED:fig|6666666.336388.peg.32	100.0		97.243				95.99		84.422				83.582	97.744
SEED:fig|6666666.336388.peg.33	100.0		99.621				99.621		96.212				96.212	99.621
SEED:fig|6666666.336388.peg.34	98.777		97.798				98.043		95.596				95.841	97.37
SEED:fig|6666666.336388.peg.35	99.688		94.704				96.262		94.081				94.081	97.196
SEED:fig|6666666.336388.peg.36	99.595	66.049	97.706	65.71	65.71		97.568	66.049	89.571	65.478	65.621	65.621	90.027	96.626
SEED:fig|6666666.336388.peg.37	100.0		97.354				98.942		95.767				95.767	97.354
SEED:fig|6666666.336388.peg.38	99.672		95.895	65.4	65.4		96.059	65.594	95.402	65.462			95.402	96.88
SEED:fig|6666666.336388.peg.39	99.132		98.958				98.611		95.313				95.139	99.132
SEED:fig|6666666.336388.peg.40	99.812		95.857				97.363		97.74				96.234	95.624
SEED:fig|6666666.336388.peg.41	100.0		97.436				97.721		95.442			68.731	97.436	98.006
SEED:fig|6666666.336388.peg.42	95.111		98.667				93.607		94.667				92.444	95.434
SEED:fig|6666666.336388.peg.43	100.0		98.592										99.052	
SEED:fig|6666666.336388.peg.44	100.0		86.434				85.537						86.454	86.777
SEED:fig|6666666.336388.peg.45	100.0						85.268							
SEED:fig|6666666.336388.peg.46	99.573		77.451				78.696							77.451
SEED:fig|6666666.336388.peg.47	100.0						92.593						88.889	
SEED:fig|6666666.336388.peg.48	99.113		96.454				95.213		93.972				93.794	95.567
SEED:fig|6666666.336388.peg.49	99.642		99.462				94.444							99.104
SEED:fig|6666666.336388.peg.50	100.0		99.605				92.095		89.26					99.736
SEED:fig|6666666.336388.peg.51	100.0		99.099				98.498							99.099
SEED:fig|6666666.336388.peg.52	98.191		97.674		87.139	87.664	98.025		95.2		87.139	86.614		97.674
SEED:fig|6666666.336388.peg.53	100.0		97.549		84.762	85.714	99.02		97.059		85.714	85.714	96.569	98.039
SEED:fig|6666666.336388.peg.54	99.417		99.767		89.87	89.753	98.776		97.786		89.753	89.753	97.203	99.184
SEED:fig|6666666.336388.peg.55	100.0		97.073				96.911		97.073				96.748	94.309
SEED:fig|6666666.336388.peg.56	100.0		100.0				99.66		97.959				97.279	87.755
SEED:fig|6666666.336388.peg.57	99.688	68.972	99.896	67.85	69.17	68.836	99.792	69.17	88.153	70.356	68.639	68.972	88.153	93.873
SEED:fig|6666666.336388.peg.58	93.968		92.54				99.206		88.73				88.73	97.143
SEED:fig|6666666.336388.peg.59	98.267		98.667				99.6		90.267				91.333	97.733
SEED:fig|6666666.336388.peg.60	98.291		98.077				98.077		73.504				73.718	98.718
SEED:fig|6666666.336388.peg.61	99.621		99.621				98.864							98.485
SEED:fig|6666666.336388.peg.62	99.091		99.394				99.394							98.788
SEED:fig|6666666.336388.peg.63	98.785		97.917				98.958						95.109	98.611
SEED:fig|6666666.336388.peg.64	98.05		97.872				97.606						97.681	96.454
SEED:fig|6666666.336388.peg.65	99.512		98.862				98.699							97.724
SEED:fig|6666666.336388.peg.66	95.082		96.903				97.996							95.956
SEED:fig|6666666.336388.peg.67	99.206		97.09				98.413						94.051	97.855
SEED:fig|6666666.336388.peg.68	100.0		99.583				98.333		75.745				83.83	82.979
SEED:fig|6666666.336388.peg.69	100.0		98.946				99.341		80.839				80.839	81.145
SEED:fig|6666666.336388.peg.70	100.0		99.248				100.0		85.14				85.839	85.839
SEED:fig|6666666.336388.peg.71	98.941		95.442				99.033		67.065				95.672	96.731
