gene	AP018714	AP018715	Ben	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
DIEEDFHO_00001			98.551		98.551			92.029	93.478		99.275			93.478	97.826
DIEEDFHO_00002			99.057								97.17				
DIEEDFHO_00003	52.778		96.875		100.0	53.448	53.448			53.448	98.438	53.448	53.448		100.0
DIEEDFHO_00004			96.97		100.0						98.485				100.0
DIEEDFHO_00005			93.333		98.333						95.0		50.0		98.333
DIEEDFHO_00006					98.529										98.529
DIEEDFHO_00007		55.102		55.102								55.102	55.102		
DIEEDFHO_00008	58.333		100.0	56.25	100.0				91.837		100.0	56.25	56.25		100.0
DIEEDFHO_00009		74.667	98.667	79.73	98.667						100.0	73.333	81.333		96.0
DIEEDFHO_00010			100.0								100.0				100.0
DIEEDFHO_00011			94.366					97.183			95.775			97.183	
DIEEDFHO_00012			100.0		96.429						100.0				96.429
DIEEDFHO_00013			97.26					87.671	84.0		100.0			88.0	
DIEEDFHO_00014			100.0		94.737			94.737	90.789		96.053			94.737	93.421
DIEEDFHO_00015			98.305								96.61				
DIEEDFHO_00016			99.083								93.137				
DIEEDFHO_00017			100.0		96.97			98.485	87.879		100.0	50.746		100.0	96.97
DIEEDFHO_00018			98.182		87.273			76.364	81.818		94.545			74.545	87.273
DIEEDFHO_00019			100.0		88.372				84.553		96.85				88.372
DIEEDFHO_00020			99.315		96.575				93.836		97.26				96.575
DIEEDFHO_00021			98.462												
DIEEDFHO_00022		62.637	100.0			61.538	61.538					62.637	62.637		
DIEEDFHO_00023			99.518		99.036			98.795	98.313		98.554			98.554	99.277
DIEEDFHO_00024			100.0		92.063			92.063	92.063		92.063			92.063	92.063
DIEEDFHO_00025			100.0		96.356			96.356			96.356			95.547	95.547
DIEEDFHO_00026			100.0								98.592				
DIEEDFHO_00027		70.168	99.19		97.154				93.902	73.128	93.522			93.496	97.154
DIEEDFHO_00028			96.296		96.296				88.889		97.531			90.123	96.296
DIEEDFHO_00029			100.0		98.413						50.394				93.651
DIEEDFHO_00030			97.535		98.944			95.39	92.553		99.648			92.553	98.592
DIEEDFHO_00031			100.0		100.0			96.154	94.872		100.0			94.872	100.0
DIEEDFHO_00032			98.925		100.0			91.304	92.391		100.0			91.304	98.925
DIEEDFHO_00033			94.737		99.123			95.495			99.123				94.737
DIEEDFHO_00034			89.815		100.0			89.815							
DIEEDFHO_00035			92.208		89.61			89.61	83.117		89.61			87.013	85.714
DIEEDFHO_00036			100.0		100.0			82.828	93.939		100.0			82.828	97.98
DIEEDFHO_00037			99.329		98.658			71.141	71.141		98.658			70.47	97.987
DIEEDFHO_00038			100.0		98.496			80.451	84.211		99.248			82.707	99.248
DIEEDFHO_00039			100.0		100.0			96.591	95.455		100.0			93.182	100.0
DIEEDFHO_00040			98.843		99.306			97.222	96.528		99.306			96.991	99.074
DIEEDFHO_00041			99.065		94.393			95.327	94.393		98.131			94.393	98.131
DIEEDFHO_00042	59.545	59.545	99.595	59.545	97.976	60.0	60.0	90.283	90.283		97.166	59.545	59.091	90.688	97.166
DIEEDFHO_00043	51.724	51.852	100.0	51.724	97.674	51.724	53.086	97.674	96.512	51.724	97.674	51.724	51.724	96.512	98.837
DIEEDFHO_00044	55.446	56.158	99.507	56.158	97.537	56.436	56.436	97.044	97.044	55.446	99.015	55.941	56.158	97.044	98.522
DIEEDFHO_00045			100.0		99.479			97.396	98.438		100.0			98.438	100.0
DIEEDFHO_00046			99.435		99.435			100.0	99.435		100.0			98.305	
DIEEDFHO_00047	60.606	58.252	100.0	56.863	98.291	60.606	60.606	98.291	96.581	59.596	98.291	60.606	56.863	97.436	99.145
DIEEDFHO_00048			97.333		100.0			70.455	94.667		90.667			96.0	94.667
DIEEDFHO_00049			100.0		100.0			60.0					50.0	97.59	
DIEEDFHO_00050			100.0		100.0									100.0	
DIEEDFHO_00051			100.0		86.047			83.529			82.558			82.558	82.558
DIEEDFHO_00052			100.0								82.432				
DIEEDFHO_00053			98.718								72.368				
DIEEDFHO_00054			98.936		97.34			95.213	94.149		95.745			94.149	97.872
DIEEDFHO_00055			99.462		98.925						94.624				97.849
DIEEDFHO_00056			100.0		99.605				76.875		90.909				99.605
DIEEDFHO_00057			100.0		99.099						99.099				99.099
DIEEDFHO_00058		91.339	100.0		100.0		91.339		97.037	91.339	98.519		91.339		100.0
DIEEDFHO_00059		61.765	100.0		98.529		60.294	100.0	100.0	61.765	100.0		61.765	97.059	98.529
DIEEDFHO_00060		95.105	100.0		100.0		95.105	98.951	97.902	94.755	97.153		95.105	97.902	100.0
DIEEDFHO_00061			100.0		99.512			98.049	99.024		99.512			99.024	97.561
DIEEDFHO_00062			100.0		100.0			95.918	97.959		98.98			97.959	94.898
DIEEDFHO_00063	58.232	58.537	99.377	58.232	100.0	57.927	58.537	82.243	81.571	58.537	99.688	58.537	58.232	81.269	94.393
DIEEDFHO_00064			92.857		90.952			84.286	86.667		99.048			85.238	96.667
DIEEDFHO_00065			99.6		99.6			97.6	97.2		100.0			97.6	99.2
DIEEDFHO_00066			99.359		99.359			75.0	75.0		99.359			74.359	99.359
DIEEDFHO_00067			100.0		100.0						100.0				98.864
DIEEDFHO_00068			99.091		99.091						99.091				98.182
DIEEDFHO_00069			100.0		99.597			98.367			100.0			98.367	100.0
DIEEDFHO_00070			99.468		99.468			98.663			99.202			99.198	98.936
DIEEDFHO_00071			99.593		99.593						100.0				98.78
DIEEDFHO_00072			99.454		100.0						100.0				98.361
DIEEDFHO_00073			99.206		98.413			97.458			100.0			98.305	100.0
DIEEDFHO_00074	52.0	52.0	100.0	52.0	100.0	52.0	52.0	83.75	79.487	52.0	100.0		52.0	83.75	85.0
DIEEDFHO_00075			100.0		99.605			87.654	87.243		99.605			86.747	86.345
DIEEDFHO_00076			100.0		100.0			74.525	74.525		100.0			74.525	74.525
DIEEDFHO_00077			99.844		98.594			98.438	65.647		99.844			99.688	99.688
DIEEDFHO_00078	50.0		100.0	50.0	100.0	50.0	50.0	97.143	92.857		100.0			100.0	100.0
DIEEDFHO_00079			100.0		99.548			99.541	99.548		100.0			100.0	100.0
DIEEDFHO_00080			99.02		99.02			99.02	99.02		99.02			99.02	99.02
DIEEDFHO_00081	55.882	55.882	100.0	55.882	100.0	55.882	55.882	100.0	100.0	55.882	100.0		55.882	100.0	100.0
DIEEDFHO_00082			99.804		99.804			80.312			99.609			79.922	99.217
DIEEDFHO_00083	84.932	84.932	100.0	84.932	100.0	84.932	84.932	100.0	100.0	84.932	98.667		84.932	100.0	100.0
DIEEDFHO_00084															
DIEEDFHO_00085															
DIEEDFHO_00086															
DIEEDFHO_00087															
DIEEDFHO_00088			100.0		99.187			95.935	96.748		99.187			97.561	92.683
DIEEDFHO_00089															
DIEEDFHO_00090															
DIEEDFHO_00091			100.0		100.0			100.0	96.721		100.0			100.0	98.387
DIEEDFHO_00093															
DIEEDFHO_00094															
DIEEDFHO_00095															
DIEEDFHO_00096															
DIEEDFHO_00097															
DIEEDFHO_00098															
DIEEDFHO_00099															
DIEEDFHO_00100															
DIEEDFHO_00101			100.0		97.727			97.727	100.0		100.0			97.727	97.727
DIEEDFHO_00102	93.86	93.86	100.0	93.86	100.0	93.86	93.86	99.138	99.138	93.86	100.0	93.86	93.86	99.138	100.0
DIEEDFHO_00103			95.714		97.143			95.714	95.714		100.0			95.714	94.286
DIEEDFHO_00104	67.133	67.133	100.0	67.133	100.0	66.434	66.434	100.0	100.0	64.423	100.0	67.133	67.133	100.0	100.0
