gene	AP018714	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
ENPKHIHN_00001	98.519			100.0		99.259	99.259			100.0		100.0	100.0		
ENPKHIHN_00002	99.301			99.767		98.601	98.601			100.0		98.834	99.534		
ENPKHIHN_00003	99.51	77.114	77.114	99.0	77.612	97.5	97.5	77.114	77.612	99.51	77.114	99.0	98.0	77.114	77.114
ENPKHIHN_00004	93.22	86.486	86.486	93.243	85.135			83.784	85.135	93.243	85.135	90.541	100.0	83.784	86.486
ENPKHIHN_00005	97.688	76.792	76.97	96.821	77.157	97.831		76.848		96.467	77.212	99.422	99.275	76.97	78.863
ENPKHIHN_00006						99.784	99.784								
ENPKHIHN_00007	99.105	75.862	74.654	100.0	75.576	99.553	97.092	75.51	73.832	100.0	75.115	98.21	99.329	75.51	75.159
ENPKHIHN_00008	98.352			98.986		98.226	96.451					96.578	98.226		
ENPKHIHN_00009	98.047		67.396	98.745		99.303	98.187			99.442	67.396	97.071	99.721		
ENPKHIHN_00010	95.942			99.71		97.391	96.812			99.42		97.971	99.71		
ENPKHIHN_00011	93.448	88.803	88.803	99.31	88.417	93.908	94.368	83.488	81.076	99.035	88.803	98.621	99.425	83.117	88.803
ENPKHIHN_00012	97.971			98.841		97.681	99.71			99.13		97.971	99.13		
ENPKHIHN_00013	96.149	78.277	78.406	99.211	78.421	95.178	99.498	79.001	78.711	99.88	78.478	95.728	99.185	78.783	78.277
ENPKHIHN_00014	98.938	75.751	75.751	99.575	75.751	99.363	100.0	75.966	76.395	100.0	75.751	99.363	99.151	75.966	75.751
ENPKHIHN_00015	98.495			98.495		93.996	98.101			100.0		99.14	98.495		
ENPKHIHN_00016	99.211	82.374	82.302	99.283	82.229	97.849	100.0	81.745	82.01	99.903	82.229	99.429	99.211	81.719	82.229
ENPKHIHN_00017	99.621			98.864		99.242	100.0			91.667		100.0	99.242		
ENPKHIHN_00018	96.556	75.967	75.733	96.778	75.222	97.0	100.0	74.889	75.333	97.333	75.733	96.444	96.889	75.967	75.967
ENPKHIHN_00019	99.08	72.781	72.598	98.161	72.361	98.391	100.0	72.479	72.242	98.506	72.716	99.54	98.276	72.835	72.361
ENPKHIHN_00020	98.878	72.857	72.857	98.558	72.857	98.397	100.0	73.651	73.651	100.0	72.857	98.558	98.558	73.492	73.333
ENPKHIHN_00021	99.882	74.205	74.676	99.409	74.205	99.527	99.882	74.676	74.676	99.882	74.558	98.7	99.527	74.676	74.205
ENPKHIHN_00022	99.591	81.685	81.568	99.474	81.51	91.871	91.871	81.627	81.297	99.474	81.217	98.889	99.474	81.707	81.627
ENPKHIHN_00023	99.738	86.288	85.106	99.054	86.052	98.95	98.95	85.816	84.906	99.213	86.525	97.4	99.054	86.73	86.052
ENPKHIHN_00024	98.734	72.941	72.941	99.789	72.941	98.312	98.312	74.118	73.882	99.156	73.412	98.945	99.789	74.118	72.941
ENPKHIHN_00025	99.826	78.179	77.453	100.0	77.453	99.132	99.132	77.835	77.487	99.132	78.179	99.479	99.826	78.007	78.179
ENPKHIHN_00026	98.551	69.445	69.473	97.019	69.445	98.66	98.66	69.351	70.737	99.912	69.555	98.715	97.293	69.628	69.445
ENPKHIHN_00027	99.498	70.162	69.324	99.184	70.397	98.211	98.211	69.945	70.066	99.869	70.234	98.211	99.184	70.065	70.162
ENPKHIHN_00028	99.471	72.196	71.617	97.463	71.799	96.788	98.047	72.048	71.352	99.525	71.787	95.291	97.572	71.739	72.224
ENPKHIHN_00029	99.561	63.705	63.506	94.362	63.705	96.02	96.434	64.17	63.32	99.129	63.348	95.605	95.232	64.885	63.427
ENPKHIHN_00030				98.072		97.658	97.658			99.325		97.383	96.694		
ENPKHIHN_00031	99.32			97.959		97.959	97.959			100.0		98.639	97.959	72.059	
ENPKHIHN_00032	98.984	74.519	74.815	99.129	74.519	98.694	98.694	74.481	74.815	99.402	74.667	99.13	98.549	74.926	75.111
ENPKHIHN_00033	97.207	74.349	76.022	99.814	74.349	99.814	99.814	75.279	76.58	100.0	76.022	99.814	98.51	74.535	74.907
ENPKHIHN_00034	97.447	77.647	78.498	98.723	77.647	99.007	99.007	76.73	77.32	100.0	77.794	98.582	98.298	76.73	78.792
ENPKHIHN_00035	99.24	76.547	76.048	97.603	76.547	97.603	97.603	77.944	77.246	99.905	76.447	98.86	98.945	78.244	76.547
ENPKHIHN_00036	97.945									99.301		98.952			
ENPKHIHN_00037	97.917	73.362	72.926	97.708	73.581	97.5	97.5	71.616	73.362	100.0	72.926	99.167	97.708	72.052	73.581
ENPKHIHN_00038	99.307	82.145	81.994	98.499	82.099	99.048	99.019	81.329	81.862	99.718	82.104	98.672	98.615	81.826	82.115
ENPKHIHN_00039	95.639	88.37		90.247	88.266	95.639	95.639	88.162	93.154	93.873	88.266				88.37
ENPKHIHN_00040	99.206			99.206		99.206	96.825			100.0		98.413	99.206		
ENPKHIHN_00041	99.18						84.933		69.496	99.761					
ENPKHIHN_00042	100.0			99.463		98.927	98.927			99.598		99.329	99.262		
ENPKHIHN_00043	99.932	77.004	76.779	99.525	76.704	99.253	99.253	77.228		99.321	76.554	99.253	99.457	77.079	77.378
ENPKHIHN_00044	100.0	73.073	72.992	97.727	73.073	98.201	98.201	73.166	72.4	97.538	73.073	97.254	98.106	72.864	73.166
ENPKHIHN_00045	99.208			98.891		99.155	99.155			99.419		98.574	98.679		
ENPKHIHN_00046	97.447	66.385	66.154	98.498	66.385	98.198	98.198	65.306	66.43	99.85	66.385	98.198	98.949	66.063	65.136
ENPKHIHN_00047	100.0	69.612	70.151	98.772	69.73	99.056	99.056	69.72	69.172	98.787	69.622	97.545	99.528	69.514	69.397
ENPKHIHN_00048	99.842			86.991		98.578	98.578			96.535		98.894	86.991		
ENPKHIHN_00049	99.887	71.429	71.262	97.401	71.262	97.627	97.627			98.305	71.262	98.416	98.757	70.579	70.083
ENPKHIHN_00050	100.0			98.268		100.0	100.0			98.701		99.134	98.268		
ENPKHIHN_00051	100.0			98.706		99.029	99.029			98.382		99.353	98.382		
ENPKHIHN_00052	100.0			99.679		100.0	100.0			99.679		99.038	99.359		
ENPKHIHN_00053	100.0	71.815	72.587	98.118	71.815	97.849	97.849	72.201	72.201	100.0	71.815	98.656	98.118	72.587	72.587
ENPKHIHN_00054	100.0	71.302	70.772	99.402	70.623	99.103	99.103	71.893	71.482	99.851	70.623	99.103	98.954	71.217	71.746
ENPKHIHN_00055	99.667			99.0		99.333	99.333			98.667		99.333	99.003		
ENPKHIHN_00056	100.0			98.125		98.333	98.333			100.0		98.75	99.167		
ENPKHIHN_00057	100.0	74.576	74.576	99.119	74.576	97.987	97.987	74.576	74.967	98.478	75.098	99.371	98.994	74.576	74.576
ENPKHIHN_00058	100.0	76.873	77.85	98.718	76.873	99.359	99.359	76.221	75.896	98.98	77.199	99.038	98.718	75.244	76.221
ENPKHIHN_00059	98.789	69.69	69.258	98.66	69.734	98.617	98.617	70.444	70.797	99.056	70.612	98.011	99.253	69.651	69.318
ENPKHIHN_00060									95.507						
ENPKHIHN_00061	99.792	77.023	77.023	98.958	76.762	99.583	99.583	77.089	75.077	99.792	77.023	99.375	99.792	75.26	76.762
ENPKHIHN_00062	99.722	78.317	77.67	99.16	78.317	99.444	99.444	78.317	78.641	99.722	78.317	99.444	99.722	78.317	78.477
ENPKHIHN_00063	99.457	64.648	65.2	98.372	64.802	98.217	98.217	63.981	63.848	98.915	64.418	98.217	98.45	64.306	
ENPKHIHN_00064	99.762	77.053	76.812	99.758	76.812	99.516	99.524	76.57	77.857	99.524	77.053	96.61	98.305	76.812	76.57
ENPKHIHN_00065	100.0	75.988	76.48	97.997	76.281	98.712	96.996	74.671	77.12	97.997	75.988	99.142	97.997	75.11	75.22
ENPKHIHN_00066	100.0	75.33	76.211	99.365	76.211	98.095	98.095	76.0	75.771	99.048	75.33	98.73	99.048	76.0	76.211
ENPKHIHN_00067	100.0	85.398	84.956	100.0	84.956	99.111	99.111	84.956	84.956	99.556	84.956	100.0	100.0	85.398	84.956
ENPKHIHN_00068	100.0			99.169		99.481	99.585			99.265		99.273	99.169		
ENPKHIHN_00069	100.0	73.445	72.422	97.973	73.543	99.099	99.099	72.727	72.837		74.224	99.099	98.649	72.076	71.685
ENPKHIHN_00070	100.0			94.966		100.0	99.327			95.638		99.663	95.638		
ENPKHIHN_00071	100.0	64.595	64.255	99.161	64.306	99.448	99.117			96.331	64.595	98.952	99.476		64.595
ENPKHIHN_00072	99.43	75.152	75.152	98.955	76.364	99.24	99.05	74.645	74.595	98.765	75.431	98.67	99.525	75.152	75.558
ENPKHIHN_00073	99.467			98.933		99.733	99.467			98.933		98.4	98.933		
ENPKHIHN_00074	99.195			98.229		99.034	99.034			98.068		97.746	99.517		
ENPKHIHN_00075	98.785	72.458	72.458	98.92	72.034	99.595	99.325	72.599	71.893	98.92	72.175	98.381	99.73	72.316	72.458
ENPKHIHN_00076	99.803	69.463	71.0	99.014	70.134	98.619	99.014	71.044	71.044	99.606	70.134	99.211	100.0	70.134	69.128
ENPKHIHN_00077	99.715			98.86		96.866	97.151			96.866		96.011	99.715		
ENPKHIHN_00078	97.902	66.15	65.038	98.019		97.552	98.019			97.669	66.591	98.135	98.601		65.708
ENPKHIHN_00079	98.582			96.572		96.099	96.099			96.099		95.626	98.818		
ENPKHIHN_00080	96.133			91.938		93.738	93.738			95.519		92.062	96.808		
ENPKHIHN_00081	99.13	76.133	76.586	99.13	76.133	99.275	99.275	76.586	75.718	99.71	76.435	98.406	99.275	77.16	76.888
ENPKHIHN_00082	99.573	70.833	71.354	98.504	70.284	97.65	97.65	70.573	69.792	99.145	71.094	98.504	97.863	70.573	71.094
ENPKHIHN_00083	99.342			98.294		96.579	97.412			98.772		98.684	98.684		
ENPKHIHN_00084	96.647			97.041		93.688	99.803			100.0		99.211	97.83		
ENPKHIHN_00085	82.313			98.83		80.347	100.0			100.0		100.0	98.83		
ENPKHIHN_00086	97.802			98.901		97.07	100.0			99.267		100.0	99.267		
ENPKHIHN_00087	99.206			99.603		98.016	100.0			99.603		99.603	99.603		
ENPKHIHN_00088	98.958			98.611		99.303	100.0			100.0		97.561	98.611		
ENPKHIHN_00089	99.747			96.958		97.212	99.493			99.493		97.465	96.958		
ENPKHIHN_00090	99.348			99.348		98.79	99.534			99.348		95.717	99.255		
ENPKHIHN_00091	100.0			99.01		99.34	99.34			99.34		97.36	99.34		
ENPKHIHN_00092	100.0			89.109		99.34	99.34			99.67		88.779	99.67		
ENPKHIHN_00093	100.0			97.619		99.66	99.66			99.66		93.197	99.66		
ENPKHIHN_00094	100.0			97.778		99.444	99.444			99.444			99.444		
ENPKHIHN_00095	99.727			85.908		100.0	100.0			99.727		89.344	86.721		
ENPKHIHN_00096	99.735			96.561		97.09	97.09			100.0		93.915	96.032		
ENPKHIHN_00097	100.0			97.403		97.403	97.403			100.0		93.506	98.701		
ENPKHIHN_00098	98.933			92.533						99.2		99.733	95.2		
ENPKHIHN_00099	97.059			89.175						97.059		97.119	88.66		
ENPKHIHN_00100				98.413								98.942	98.413		
ENPKHIHN_00101	88.83									91.135		99.645	97.692		
ENPKHIHN_00102	95.255											97.034	95.73		
ENPKHIHN_00103															
ENPKHIHN_00104	93.617			92.199		98.582	98.582			92.908		94.326	92.199		
ENPKHIHN_00105	98.287			96.384		98.27	98.27			98.754		97.508	96.384		
ENPKHIHN_00106	98.788			96.061		99.091	99.091			97.273		89.666	96.061		
ENPKHIHN_00107	97.222			96.759		96.528	96.528			98.38		97.454	96.759		
ENPKHIHN_00108	95.667			97.667		96.333	96.333			97.0		97.333	97.667		
ENPKHIHN_00109	97.879			96.244		92.593	92.593			97.84		96.296	94.444		
ENPKHIHN_00110	93.478			97.101		97.826	97.826			100.0		100.0	100.0		
ENPKHIHN_00111	100.0			98.068		98.551	98.551			94.686		99.034	97.101		
ENPKHIHN_00112	95.868									98.765			99.177		
ENPKHIHN_00113				98.78						97.967		97.154	97.967		
ENPKHIHN_00114				95.154		97.835	97.835			96.97		98.701	94.714		
ENPKHIHN_00115	100.0			94.66		95.146	95.146			93.72		96.602	94.686		
ENPKHIHN_00116										98.83					
ENPKHIHN_00117	93.151			91.781		93.836	93.836			95.578		92.123	93.493		
ENPKHIHN_00118	97.36					96.732	96.732			98.693					
ENPKHIHN_00119	98.958			98.438		98.438	98.438			99.479		97.917	98.438		
ENPKHIHN_00120	96.111			93.611		95.278	95.278			94.444		94.722	94.444		
ENPKHIHN_00121													96.471		91.765
ENPKHIHN_00122				99.371								96.226	98.113		
ENPKHIHN_00123										99.531					
ENPKHIHN_00124		79.111	78.667	82.589	76.339						79.018	93.333	79.464		76.889
ENPKHIHN_00125	94.109			93.103		92.418	92.418			92.407		87.679	90.129		
ENPKHIHN_00126	97.222									97.222					
ENPKHIHN_00127	100.0				86.806			89.583	88.889	95.139				93.056	
ENPKHIHN_00128						96.053	96.053					97.807	100.0		
ENPKHIHN_00129		73.897	74.632			97.786	97.786					98.524	98.168		
