gene	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
NIGGIMMC_00001	98.889			98.889		98.889	98.889			98.889		98.889	98.889		
NIGGIMMC_00002	100.0	67.133	67.133	100.0	67.133	99.301	99.301	67.133	67.133	100.0	67.133	100.0	100.0	67.133	67.133
NIGGIMMC_00003	100.0	92.537	92.537	100.0	92.537	100.0	100.0	92.537	92.537	100.0	92.537	100.0	100.0	92.537	92.537
NIGGIMMC_00004	100.0	90.196	90.196	100.0	90.196	100.0		90.196		100.0	90.588	100.0	100.0	90.196	90.272
NIGGIMMC_00005	100.0	79.195	79.195	100.0	79.195	100.0	99.329	79.195	77.064	100.0	79.195	100.0	100.0	79.195	77.064
NIGGIMMC_00006	98.479	52.14	52.14	99.24	52.14	100.0	98.099	52.14	52.529		52.14	98.099	98.859	52.14	52.14
NIGGIMMC_00007	99.582	50.638	50.638	99.582	50.638	99.582	99.163	50.638	50.638	99.582	50.638	99.163	99.582	50.638	50.638
NIGGIMMC_00008	98.261			98.261		99.13	100.0			97.391		99.13	98.261		
NIGGIMMC_00009	97.241	90.909	90.909	97.586	90.909	99.31	99.31	86.885	84.153	94.318	90.909	97.586	97.586	86.339	90.909
NIGGIMMC_00010	99.13			99.13		100.0	99.13			99.13		100.0	99.13		
NIGGIMMC_00011	99.639	83.779	83.779	99.818	83.779	100.0	99.434	83.779	83.779	99.457	83.779	100.0	99.812	83.779	83.779
NIGGIMMC_00012	99.363	80.645	80.645	99.363	80.645	98.726	99.363	80.645	80.645	99.363	80.645	99.363	98.726	80.645	80.645
NIGGIMMC_00013	98.71			100.0		95.652	96.835			98.71		100.0	100.0		
NIGGIMMC_00014	99.569	85.129	85.129	100.0	85.129	98.495	99.569	84.483	85.345	98.824	85.345	99.569	100.0	85.129	85.129
NIGGIMMC_00015	98.864			98.864		98.864	98.864			98.246		98.864	98.864		
NIGGIMMC_00016	99.333	83.667	83.667	100.0	83.667	100.0	99.333	83.667	83.667	100.0	83.667	100.0	100.0	83.667	83.667
NIGGIMMC_00017	99.655	71.134	71.134	99.655	71.134	100.0	99.655	70.79	70.79	100.0	71.134	100.0	99.655	71.134	71.134
NIGGIMMC_00018	100.0	81.25	81.25	100.0	81.25	100.0	100.0	81.25	81.25	100.0	81.25	100.0	100.0	81.25	81.25
NIGGIMMC_00019	100.0	75.177	75.177	99.645	75.177	99.645	100.0	75.532	75.532	100.0	75.177	99.645	99.645	75.532	75.177
NIGGIMMC_00020	99.474	85.614	85.439	100.0	85.439	90.877	90.877	84.737	84.737	99.825	85.088	99.298	100.0	85.088	85.439
NIGGIMMC_00021	100.0	96.923	96.923	100.0	96.923	100.0	100.0	96.923	96.923	100.0	96.923	100.0	100.0	96.923	96.923
NIGGIMMC_00022			75.477			99.458	99.458			97.29		78.591			
NIGGIMMC_00023	99.367	73.418	73.418	99.367	73.418	99.367	99.367	72.785	72.785	99.367	73.418	99.367	99.367	72.785	73.418
NIGGIMMC_00024	100.0	79.897	79.897	100.0	79.897	100.0	100.0	79.381	79.381	99.479	79.897	100.0	99.479	79.381	79.897
NIGGIMMC_00025	99.918	68.4	68.4	98.605	68.481	99.836	99.836	67.915	66.937	99.824	68.4	99.836	98.523	68.648	68.4
NIGGIMMC_00026	99.812	71.021	71.021	99.812	71.021	99.623	99.623	71.799	71.084	99.803	71.021	99.812	99.906	70.953	71.581
NIGGIMMC_00027	99.945	73.232	72.666	98.248	73.339	97.097	98.631	72.161	71.741	99.89	73.339	96.112	98.412	72.666	73.316
NIGGIMMC_00028	89.106	55.433	55.854	87.271	55.556	88.127	88.617	55.8	54.324	89.106	56.098	90.355	86.165	55.244	58.841
NIGGIMMC_00029															
NIGGIMMC_00030	100.0	62.222	60.0	100.0	62.222	100.0	100.0	61.538	61.538	100.0	64.444	100.0	100.0	62.222	62.222
NIGGIMMC_00031	99.13	77.632	77.632	99.13	77.632	98.696	98.696	77.193	77.193	99.103	77.193	99.565	98.261	77.632	77.632
NIGGIMMC_00032	99.441	85.475	86.034	99.441	85.475	99.441	99.441	86.034	86.034	99.441	86.034	98.883	100.0	86.034	86.034
NIGGIMMC_00033	99.574	81.974	82.833	98.723	81.974	98.723	98.723	81.974	81.545	99.574	81.974	99.149	99.149	81.974	82.403
NIGGIMMC_00034	99.715	86.228	85.928	99.43	86.228	98.86	98.86	86.228	86.527	100.0	85.928	99.715	99.43	86.527	86.228
NIGGIMMC_00035	80.499	64.058	64.568		64.203			82.436	64.892	81.085	64.568	81.204		71.031	64.203
NIGGIMMC_00036	98.75	74.375	74.684	98.75	74.375	98.75	98.75	73.125	75.949	98.75	74.684	98.125	98.75	73.75	74.375
NIGGIMMC_00037	99.913	90.58	90.58	99.74	90.761	100.0	100.0	89.894	90.399	100.0	90.58	99.827	99.827	90.58	90.58
NIGGIMMC_00038	95.95	91.589		81.62	91.9	100.0	100.0	91.589	94.393	97.196	91.589				91.9
NIGGIMMC_00039	100.0			100.0		100.0	100.0			100.0		97.619	100.0		
NIGGIMMC_00040	99.803						83.957		72.781	99.283					
NIGGIMMC_00041	100.0	51.357	51.357	99.799	50.939	98.994	98.994	51.357	51.357	99.799	51.148	99.598	99.598	51.357	51.357
NIGGIMMC_00042	100.0	78.484	78.689	100.0	78.484	100.0	100.0	78.893	82.857	100.0	78.484	100.0	100.0	78.893	78.893
NIGGIMMC_00043	100.0	74.432	74.432	98.295	74.432	99.148	99.148	73.864	74.148	99.148	74.432	98.864	99.148	73.58	73.864
NIGGIMMC_00044	99.525	65.927	65.927	99.683	65.927	99.049	99.049	65.927	66.086	99.208	65.927	99.683	99.842	66.086	65.927
