gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	AP018714	NC_009904	AP018715	TEX	V12_RAST
EFP01_001	90.783	90.783		91.714				87.168						91.014
EFP01_002	92.771	93.173		93.173				93.574					93.976	92.771
EFP01_003	86.076	91.561		91.139				91.139					82.278	91.983
EFP01_004	89.483	89.84		88.743				89.661					87.701	89.127
EFP01_005								92.222						
EFP01_006	95.391	94.979		93.678				94.828					93.425	93.909
EFP01_007	89.189	88.851		92.056				90.878					100.0	92.254
EFP01_008													96.165	
EFP01_009	95.054	95.914	69.271	95.054	69.792	69.792	69.271	94.409	69.271	69.531	69.271	69.792	97.634	94.839
EFP01_010	96.552	96.839	75.431	96.839	75.0	75.0	75.575	96.408	75.144	74.856	75.287	75.718	98.42	96.983
EFP01_011														
EFP01_012	92.697	92.58		91.755				93.404					93.286	91.991
EFP01_013	75.993	75.812		75.404				75.315					97.623	75.224
EFP01_014	84.66	84.775		84.66				84.775					97.924	84.429
EFP01_015	94.444	94.444	70.569	95.04	71.044	70.37	71.044	94.841	70.707	71.044	71.044	71.044	97.619	94.444
EFP01_016	97.841	97.841	72.034	99.055	71.751	72.034	72.034	98.65	71.469	71.893	71.61	71.893	97.571	98.381
EFP01_017	97.054	95.814		94.729				94.884					96.434	94.419
EFP01_018	98.916	98.916		98.103				98.103					98.916	98.374
EFP01_019	96.81	96.651	71.916	96.491	74.798	74.899	75.101	96.571	74.393	74.19	74.696	74.595	96.73	96.73
EFP01_020	89.286	89.244	65.778	89.137	66.0	65.556	63.424	89.67		65.778		65.778	97.657	89.35
EFP01_021	81.481	82.593		82.222				82.222					98.519	82.222
EFP01_022	89.873	90.295		89.451									96.203	89.873
EFP01_023	92.617	93.736	73.077	93.439	73.077	73.077		92.394	73.077	72.837	72.596	72.837	95.011	93.065
EFP01_024	94.904	94.57		94.737				95.071					96.265	95.238
EFP01_025	99.642	100.0	85.401	99.642	85.766	85.766	85.401	99.642	85.629	85.401	85.401	85.401	99.283	99.642
EFP01_026	97.573	97.249	72.034	97.249	71.525	71.864	72.42	97.411	71.695	71.912	72.25	71.912	96.44	97.573
EFP01_027	95.758	96.364	74.242	97.273	73.384	74.621	74.621	95.758	75.0	75.771	73.764	75.771	95.455	96.97
EFP01_028	96.853	96.996	76.64	96.996	76.8	76.16	76.96	96.853	77.28	77.12	76.763	77.12	97.568	97.568
EFP01_029						79.085	79.477							
EFP01_030	96.629	97.191	77.298	97.191	77.111	77.778	77.778	96.629	76.735	77.963	76.923	77.778	97.191	96.816
EFP01_031	95.52	95.292	65.992	95.748	66.213	66.213	66.007	95.263	65.949	64.607	66.035	64.607	98.102	95.9
EFP01_032	98.493	98.305	77.136	98.493	76.884	76.884	77.136	98.493	77.387	77.136	77.136	77.387	98.87	98.87
EFP01_033	96.952	96.19	76.636	96.952	75.467	75.467	75.701	96.952	75.467	75.467	75.701	76.762	95.42	99.618
EFP01_034												95.507		
EFP01_035	98.222	97.196	69.967	97.811	69.701	69.701	69.75	97.88	69.701	69.834	70.211	70.797	96.033	98.427
EFP01_036								99.161						
EFP01_037														
EFP01_038	97.262	97.855	67.152	97.262	67.34	67.34	67.34	97.865	67.003	67.565	67.228	67.489	98.808	99.285
EFP01_039	98.718	98.077	74.37	98.718	74.79	74.79	72.8	97.756	75.57	75.896	75.896	75.896	99.038	99.357
EFP01_040	98.491	98.616	74.837	98.491	74.576	74.576	75.667	98.113	74.967	74.967	74.837	74.967	98.742	98.491
EFP01_041	95.035	94.799		95.035				95.272					97.4	95.981
EFP01_042		98.551		99.275				99.524					97.826	97.826
EFP01_043	96.448	97.814		96.448				96.448					97.814	96.448
EFP01_044	99.472	98.063	71.295	99.472	70.919	70.919	71.482	99.472	70.919	71.482	70.919	71.482	97.359	98.239
EFP01_045	81.879	85.714		85.714				85.714						85.034
EFP01_046														
EFP01_047													99.136	
EFP01_048	96.748	96.748	71.815	96.748	73.478	73.478	72.201	96.748	71.815	72.201	71.815	72.201	96.748	98.916
EFP01_049	97.756	98.718		98.397				98.558					100.0	99.038
EFP01_050	99.038	98.718		98.077									97.756	98.718
EFP01_051	99.048	98.095		98.095				98.312					97.143	96.203
EFP01_052	96.475	95.918		96.475				96.475					96.475	94.805
EFP01_053	96.402	96.686	68.845	96.023	68.811	68.811		96.117	68.886	69.172	69.248	69.172	96.496	96.117
EFP01_054	91.97	92.273	64.873	91.97	65.952	65.952	66.667	91.97	66.667	65.574	66.667	66.43	94.848	94.394
EFP01_055	96.038	96.83		96.355				96.302					97.2	97.042
EFP01_056	95.005	94.615	72.7	95.101	72.5	72.5	72.2	95.101	72.2	72.4	72.4	72.4	94.236	94.428
EFP01_057														
EFP01_058	98.236	98.114	66.881	99.209	66.551	66.551	66.881	98.114	66.667	66.752	67.009	66.752	99.088	98.236
EFP01_059	97.281	94.94	74.829	96.677	74.924	71.681	69.174	97.356	74.583	69.724	75.0	69.496	96.979	97.281
EFP01_060	93.72	94.203		94.686				94.686					95.169	94.686
EFP01_061	89.927		87.696	89.823	92.739	92.739	94.917	89.823		92.739		93.154		89.72
EFP01_062	97.456	94.506	81.3	97.282	81.359	81.3	81.977	94.391	81.353	81.359	80.668	81.448	98.179	97.398
EFP01_063	96.154	97.07	75.382	96.154	75.573	75.573	74.618	97.253	74.292	75.573	75.763	74.618	95.421	96.337
EFP01_064													93.923	
EFP01_065	93.067	92.593	77.444	93.067	77.444	77.444	77.852	92.403	77.471	77.947	77.95	77.757	96.106	93.162
EFP01_066	91.631	92.624	76.73	91.631	76.583	76.583	77.32	91.489	76.73	76.289	77.32	77.32	93.475	92.482
EFP01_067	96.462	98.883	76.58	96.462	76.394	76.394	76.58	97.579	76.766	76.994	77.138	76.58	96.276	97.207
EFP01_068	96.439	96.011	75.325	96.439	75.613	75.613	75.0	96.154	75.758	75.18	75.469	75.289	98.392	96.439
EFP01_069	94.521	93.151	74.627	94.521	74.627	74.627	73.684	98.529	74.436	73.684	74.627	73.684	95.205	93.836
EFP01_070	75.134	73.497		75.134				75.49					70.815	
EFP01_071	84.623	85.089	64.345	84.623	64.482	63.873	63.267	85.191	63.901	63.267	63.879	63.32	86.67	85.084
EFP01_072	91.635	89.42	71.521	92.947	71.521	71.465	71.549	91.966	71.396	71.408	71.606	71.352	96.586	91.402
EFP01_073	91.667	91.508	70.116	91.825	70.415	70.415	70.521	91.984	70.365	70.066	70.066	70.066	94.286	91.865
EFP01_074	85.823	85.664	70.905	85.932	71.017	71.017	70.554	85.687	70.955	70.786	70.848	70.737	95.967	85.823
EFP01_075	94.949	94.781	76.626	94.674	76.829	76.829	77.312	95.286	77.661	77.312	77.312	77.487	98.316	94.949
EFP01_076	92.405	92.405	74.118	92.405	73.882	73.882	73.647	92.827	74.353	73.882	74.118	73.882	98.312	92.405
EFP01_077														
EFP01_078	94.787	94.55	85.377	95.024	87.062	87.062	87.332	94.55	84.67	86.792	85.377	84.906	95.035	95.024
EFP01_079	96.784	97.661	81.297	97.544	87.888	87.888	81.297	97.251	81.531	81.356	81.297	81.297	99.006	96.725
EFP01_080	97.917	98.333	77.273	97.917	77.273	77.273		98.333	85.849	77.273	77.273	77.273	97.917	97.917
EFP01_081	98.936	99.054	74.144	99.054	74.616	74.676	74.558	99.173	74.676	74.558	74.262	74.676	100.0	98.936
EFP01_082	97.917	97.756	73.333	97.917	73.016	73.651	78.246	97.756	73.333	73.175	73.333	73.651	98.718	98.237
EFP01_083	98.511	98.282	71.834	98.167	71.716	72.242	71.479	98.396	71.953	71.716	71.834	72.242	98.396	98.282
EFP01_084	98.105	98.328	75.444	98.105	75.667	75.333	76.0	98.328	76.0	76.0	75.778	75.333	98.551	97.993
EFP01_085	98.413	98.016		98.413				98.413					99.603	99.206
EFP01_086	98.287	98.358	81.785	98.787	81.2	82.01	82.672	98.073	82.156	81.858	81.858	82.01	99.286	98.929
EFP01_087	94.565	93.634		94.466				96.846					91.395	94.664
EFP01_088	98.733	98.859	76.023	98.986	75.291	75.42	75.55	98.859	75.42	75.032	75.291	75.55	97.465	98.733
EFP01_089	98.741	98.561	78.849	98.621	79.568	78.705	78.705	98.561	79.568	79.568	78.849	78.777	98.501	98.681
EFP01_090	98.841	99.42	67.751	99.13	68.343	68.047	68.047	100.0	68.639	68.639	68.047	68.343	99.42	98.841
EFP01_091	97.672	97.778		97.354				97.884					97.354	97.778
EFP01_092	93.178	93.178		92.713									95.504	93.178
EFP01_093	87.559	87.48	81.262	87.323	80.891	81.262	81.262	87.48	80.334	81.818	81.076	81.076	98.03	87.638
EFP01_094	98.319	98.039		97.759				98.039					97.479	97.759
EFP01_095	98.899	99.057	66.799	98.899	67.197	67.396	67.793	98.973	68.409	67.594	67.197		98.298	98.899
EFP01_096	97.409	97.644		97.527				97.644					97.762	97.409
EFP01_097	97.496	98.122	75.671	99.218	75.174	75.174	75.671	97.966	74.724	75.513	75.355	75.521	99.218	96.785
EFP01_098	95.802	96.79	80.244	97.531	80.0		80.247	96.543	80.0	79.512	80.101	79.849	97.778	95.864
EFP01_099														
EFP01_100	96.542	97.05	82.421	96.83	80.447		81.765	98.525	82.709	82.421	82.578	82.578	98.23	96.542
