gene	Ben	Bill	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336389.peg.1						98.374		97.561			98.374	98.78		
SEED:fig|6666666.336389.peg.2				96.476	96.476	95.595		96.476			97.854	95.154		
SEED:fig|6666666.336389.peg.3				97.585	97.585	98.058		97.101		94.66	96.117	94.66		
SEED:fig|6666666.336389.peg.4				95.652	95.652	94.872				97.076	96.386	94.0		
SEED:fig|6666666.336389.peg.5				94.949	94.949	95.548		97.643		92.256	96.296	91.781		
SEED:fig|6666666.336389.peg.6				98.575	98.575						98.575			
SEED:fig|6666666.336389.peg.7				95.455	95.455	95.263		94.949		95.455	98.396			
SEED:fig|6666666.336389.peg.8				97.156	97.156	97.63		100.0		97.63	100.0	96.19		
SEED:fig|6666666.336389.peg.9				98.958	98.958	98.958		99.083		99.479	98.958	98.438		
SEED:fig|6666666.336389.peg.10				95.833	95.833	94.167		95.755		94.167	93.611	93.611		
SEED:fig|6666666.336389.peg.11														
SEED:fig|6666666.336389.peg.12	84.906	76.271	77.401				80.882	97.175			90.909			77.401
SEED:fig|6666666.336389.peg.13								96.842		93.103	97.701			
SEED:fig|6666666.336389.peg.14				95.556	95.556									
SEED:fig|6666666.336389.peg.15	83.482	85.268	83.036				84.821	81.696			91.964	82.589		81.696
SEED:fig|6666666.336389.peg.16											99.353			
SEED:fig|6666666.336389.peg.17								96.855			98.742	99.371		
SEED:fig|6666666.336389.peg.18								92.917			99.167			
SEED:fig|6666666.336389.peg.19											94.309			
SEED:fig|6666666.336389.peg.20				92.816	92.816	90.1		92.109		92.241	93.966	93.103		
SEED:fig|6666666.336389.peg.21				90.8	90.8			86.0			100.0			
SEED:fig|6666666.336389.peg.22				96.667	96.667			98.844			96.923			
SEED:fig|6666666.336389.peg.23														
SEED:fig|6666666.336389.peg.24														
SEED:fig|6666666.336389.peg.25	95.638		93.548	93.75	93.75	93.96		96.732		93.624	92.763	95.724		93.548
SEED:fig|6666666.336389.peg.26				95.192	95.192	95.192		95.833		95.513	94.551	95.513		
SEED:fig|6666666.336389.peg.27								95.752		97.436	98.366			
SEED:fig|6666666.336389.peg.28				96.875	96.875	97.917		96.875		97.917	99.479	98.958		
SEED:fig|6666666.336389.peg.29				94.667	94.667	99.111		96.0		99.556	99.111	99.111		
SEED:fig|6666666.336389.peg.30				95.0	95.417	95.0		96.25		97.083	100.0	97.5		
SEED:fig|6666666.336389.peg.31				86.352	86.352	77.487		77.748		77.487		77.105		
SEED:fig|6666666.336389.peg.32				94.444	94.444	95.455		91.919		95.455	96.465	93.434		
SEED:fig|6666666.336389.peg.33				95.543	95.543	97.868		94.38		98.256	98.035	95.93		
SEED:fig|6666666.336389.peg.34				94.779	94.779	98.795		95.582		98.795	96.787	98.795		
SEED:fig|6666666.336389.peg.35				94.787	94.787	99.742		96.209		99.81	100.0	99.81		
SEED:fig|6666666.336389.peg.36				98.473	98.473	98.473		95.584		98.473	99.237	98.982		
SEED:fig|6666666.336389.peg.37				98.889	99.167	98.889		98.039		98.889	99.167	99.167		
SEED:fig|6666666.336389.peg.38				99.415	99.415			98.83		98.83	99.415	99.415		
SEED:fig|6666666.336389.peg.39				93.923	93.923	97.422		94.659		85.451	98.158	98.158		
SEED:fig|6666666.336389.peg.40				93.534	93.75	94.764		95.043		95.474	97.204	96.344		
SEED:fig|6666666.336389.peg.41				95.754	95.754	95.754		95.754		96.391		95.966		
SEED:fig|6666666.336389.peg.42				96.448	97.541	99.727		98.087		97.814	98.361	99.727		
SEED:fig|6666666.336389.peg.43				93.296	93.296	93.296		93.296		93.296	93.296	99.441		
SEED:fig|6666666.336389.peg.44				96.532	97.495	97.303		94.99		96.724	96.339	98.266		
SEED:fig|6666666.336389.peg.45				99.367	99.367	92.389		96.203		92.178	91.966	100.0		
SEED:fig|6666666.336389.peg.46				99.153	99.153	98.588		99.011		98.588	98.023	99.576		
SEED:fig|6666666.336389.peg.47				97.732	97.732	95.465		98.512		97.959	95.238	99.093		
SEED:fig|6666666.336389.peg.48				98.413	98.413	98.413		97.884		97.884	98.413	100.0		
SEED:fig|6666666.336389.peg.49				96.753	96.753	97.403		96.104		96.97	97.619	99.784		
SEED:fig|6666666.336389.peg.50				88.136	88.136	94.915		87.006		90.395	100.0	100.0		
SEED:fig|6666666.336389.peg.51				83.5	83.5	86.0		86.5		86.364	86.364	86.869		
SEED:fig|6666666.336389.peg.52						92.237		93.836		98.174	97.717	99.543		
SEED:fig|6666666.336389.peg.53	65.906	66.049		94.602	94.602	96.954		97.436		98.516	98.516	98.516		
SEED:fig|6666666.336389.peg.54				98.81	98.81	97.619		99.405		97.619	97.024	97.619		
SEED:fig|6666666.336389.peg.55				97.814	97.814	97.814		100.0		97.268	98.907	100.0		
SEED:fig|6666666.336389.peg.56				95.261	95.261	93.954		95.588		97.059	99.816	99.837		
SEED:fig|6666666.336389.peg.57											100.0	97.674		
SEED:fig|6666666.336389.peg.58				97.436	97.436	96.581		94.017			100.0	84.404		
SEED:fig|6666666.336389.peg.59				92.958	92.958	92.958				100.0	100.0			
SEED:fig|6666666.336389.peg.60				81.446	81.446	81.205		81.205		99.517	100.0	79.137		
SEED:fig|6666666.336389.peg.61				98.698	98.698	98.413		97.884		97.917	100.0			
SEED:fig|6666666.336389.peg.62						97.436					100.0	94.231		
SEED:fig|6666666.336389.peg.63						95.522					99.858	96.28		
SEED:fig|6666666.336389.peg.64				97.268	97.268			97.268		98.907	100.0			
SEED:fig|6666666.336389.peg.65				98.551	97.971	98.039		98.261		97.971	97.681	98.551		
SEED:fig|6666666.336389.peg.66				96.296	97.119	97.942		97.119		97.119	99.177	99.588		
SEED:fig|6666666.336389.peg.67				96.863	99.608	96.471		99.608		99.608	98.824	98.431		
SEED:fig|6666666.336389.peg.68				94.94	97.619	99.405		98.512		97.321	95.536	97.917		
SEED:fig|6666666.336389.peg.69				94.318	94.977	98.63		98.858		95.205	95.434	95.434		
SEED:fig|6666666.336389.peg.70				93.939	96.97	95.238		98.485		97.403	89.394	95.671		
SEED:fig|6666666.336389.peg.71				94.737	95.614	93.86		97.368		97.368	92.523	97.101		
SEED:fig|6666666.336389.peg.72				93.519	91.435	97.685		99.537		96.991	99.769	97.222		
SEED:fig|6666666.336389.peg.73				94.273	98.268	94.805		98.268		98.268	99.567	90.476		
SEED:fig|6666666.336389.peg.74				98.611	99.306	95.833		98.38		95.833	100.0	95.602		
SEED:fig|6666666.336389.peg.75				99.346	100.0	83.007				81.046	99.346	79.085		
SEED:fig|6666666.336389.peg.76	68.972	68.972	68.972	97.468	98.523	97.996	68.972	99.262	70.877	95.781	97.89	98.523	71.145	70.949
SEED:fig|6666666.336389.peg.77				98.577	98.462	98.679				98.882	99.593	98.984		
SEED:fig|6666666.336389.peg.78				97.222	95.548	96.23				95.548	99.901	95.548		
SEED:fig|6666666.336389.peg.79														
SEED:fig|6666666.336389.peg.80				99.244	98.088	99.49				97.897	97.963	99.49		
SEED:fig|6666666.336389.peg.81				99.588	99.588	99.177				99.588	100.0	99.588		
SEED:fig|6666666.336389.peg.82				100.0	100.0	98.502				100.0	98.502	98.127		
SEED:fig|6666666.336389.peg.83				100.0	100.0	99.673				100.0	99.346	99.673		
SEED:fig|6666666.336389.peg.84				100.0	100.0	98.268				100.0	99.134	98.268		
SEED:fig|6666666.336389.peg.85	79.245	78.774	78.302	100.0	100.0	99.111	77.83		78.302	100.0	99.111	99.111	78.302	78.302
SEED:fig|6666666.336389.peg.86			77.778	100.0						100.0				
SEED:fig|6666666.336389.peg.87	91.484		91.484	98.26	98.26	98.35				98.26	98.075	98.35		92.811
SEED:fig|6666666.336389.peg.88				98.82	98.82	99.115		99.115		98.82	98.23	100.0		
SEED:fig|6666666.336389.peg.89	82.405	82.405	82.405	100.0	100.0	100.0	82.405	100.0	82.111	100.0	100.0	100.0	82.405	82.405
SEED:fig|6666666.336389.peg.90				99.259	99.259	100.0		100.0		98.519	100.0	100.0		
SEED:fig|6666666.336389.peg.91				98.368	98.368	99.679		99.068		99.534	99.291	99.767		
SEED:fig|6666666.336389.peg.92	78.619	79.092	78.619	96.646		99.817	79.281	97.552		98.728	96.875	96.733	78.903	78.833
SEED:fig|6666666.336389.peg.93								99.681						97.444
SEED:fig|6666666.336389.peg.94	76.197	75.436	76.58	99.313	97.251	100.0	75.727	98.562	75.671	99.216	98.954	99.828	76.504	75.652
SEED:fig|6666666.336389.peg.95				98.479	96.831	99.446		96.958		98.606	98.352	98.986		
SEED:fig|6666666.336389.peg.96	66.799	66.998	67.727	98.894	98.736	98.578	66.998	97.156	66.799	97.472	99.21	98.894	71.631	67.955
SEED:fig|6666666.336389.peg.97				97.436	96.337	99.13		98.261		96.232	100.0	99.71		
