gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX
FLJIFKPE_00001		79.452	99.242		79.167	99.242	76.136	76.136	93.182	91.667	79.452		79.452	79.452	94.697
FLJIFKPE_00002			96.296	98.942		99.471			95.767	92.063					94.18
FLJIFKPE_00003			97.304	87.848		97.549									
FLJIFKPE_00004				95.72		95.72									
FLJIFKPE_00005			98.734	97.468	80.09					82.773	76.018				84.034
FLJIFKPE_00006						100.0				88.976					94.118
FLJIFKPE_00007			93.447	96.011		100.0				86.508					90.476
FLJIFKPE_00008			93.678	95.402		97.126				90.805					90.805
FLJIFKPE_00009															
FLJIFKPE_00010			96.354	97.396		97.65			91.912	92.689					91.906
FLJIFKPE_00011			97.849						89.606	88.889					91.756
FLJIFKPE_00012			98.792	97.585		96.618			90.58	92.512		96.86			93.237
FLJIFKPE_00013			94.792	100.0		100.0						95.833			
FLJIFKPE_00014			95.96	98.99		100.0						96.97			
FLJIFKPE_00015			97.222	98.333		100.0						98.333		79.245	
FLJIFKPE_00016				98.529		99.02									
FLJIFKPE_00017		91.765												91.373	
FLJIFKPE_00018			97.945	98.63		97.959				93.197		97.279			
FLJIFKPE_00019		76.889	94.222	95.111	81.696	96.875						95.089	78.222	82.589	
FLJIFKPE_00020			99.471			99.471						98.413			98.413
FLJIFKPE_00021	89.513		98.496			98.876			93.233	91.729	90.637		87.64	86.142	
FLJIFKPE_00022			98.502	97.378								97.753			
FLJIFKPE_00023			97.619	96.032		100.0						97.619			
FLJIFKPE_00024	93.289	93.421	97.987		93.548	100.0	93.421	93.421			93.624		93.421	91.447	
FLJIFKPE_00025						100.0				93.897					
FLJIFKPE_00026			94.298	95.614		99.123			88.596	89.035		94.298			89.474
FLJIFKPE_00027						100.0			93.822	93.256					94.788
FLJIFKPE_00028			91.414	91.414		100.0			95.455	87.435		90.909			95.96
FLJIFKPE_00029			91.515	91.515		100.0			85.455	89.697		93.333			87.273
FLJIFKPE_00030			90.439	89.922		100.0				83.155		92.248			
FLJIFKPE_00031			96.347	95.89		99.772				96.804		99.315			
FLJIFKPE_00032			96.627	96.948		99.839			97.269	97.51		96.787			97.028
FLJIFKPE_00033			92.063	93.122		100.0			97.884	98.942		99.471			98.942
