gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
JEFDOCMN_00001			90.441	90.441		90.842			94.872					91.575	91.912
JEFDOCMN_00002			89.606						96.057					89.964	89.606
JEFDOCMN_00003			89.855	90.338		91.304			94.444		91.063			93.961	90.58
JEFDOCMN_00004															
JEFDOCMN_00005	91.729		93.258			93.609			90.262	90.602		85.338	84.586		93.233
JEFDOCMN_00006											92.181			90.947	
JEFDOCMN_00007														93.115	
JEFDOCMN_00008	89.583	89.583				84.028			92.361	93.056				93.75	
JEFDOCMN_00009			93.897	96.714							93.427			100.0	
JEFDOCMN_00010									97.436					98.535	
JEFDOCMN_00011									98.783					98.297	
JEFDOCMN_00012														99.156	
JEFDOCMN_00013			86.667	86.222					95.413		87.556			98.667	
JEFDOCMN_00014			91.667	92.105		89.474			91.667		91.667			99.123	88.596
JEFDOCMN_00015						93.822			93.822					98.266	93.822
JEFDOCMN_00016			93.939	93.939		95.455			86.387		92.424			98.485	95.455
JEFDOCMN_00017			83.03	83.03		85.455			92.121		84.242			95.758	85.455
JEFDOCMN_00018									94.799					100.0	
JEFDOCMN_00019		83.75	80.8	80.8											
JEFDOCMN_00020			96.466	96.627		97.108			96.466		96.627			99.438	97.269
JEFDOCMN_00021			91.005	92.063		97.884			97.884		98.413			97.884	97.884
JEFDOCMN_00022			96.356	96.356		94.737					95.142			95.412	95.951
JEFDOCMN_00023									93.632					93.426	
JEFDOCMN_00024						75.281			77.982					77.982	75.281
JEFDOCMN_00025			92.208	93.152		93.152			93.918		92.916			94.854	92.562
JEFDOCMN_00026			96.255	97.004		97.378			86.517		97.378			86.517	97.004
JEFDOCMN_00027			88.768	87.589		87.589			96.894		87.589			98.965	89.063
JEFDOCMN_00028			95.322	94.444		94.444					94.152				94.444
JEFDOCMN_00029			94.976	93.519		93.827									
JEFDOCMN_00030			87.879	88.312		88.745			83.478		87.013			94.372	88.312
JEFDOCMN_00031			80.822	80.479		80.822			83.219		80.479			96.296	81.849
JEFDOCMN_00032			76.871	76.871		77.602			99.329		76.644			98.881	77.828
JEFDOCMN_00033			83.582	83.582		83.459			92.481		84.539			97.494	83.459
JEFDOCMN_00034			96.97	96.97		96.591			98.106		97.348			97.727	96.591
JEFDOCMN_00035			96.528	96.296		96.373			97.762		96.142			97.454	95.756
JEFDOCMN_00036			94.704	94.393		98.442			98.442		93.146			97.819	93.458
JEFDOCMN_00037			88.814	89.218		89.892			98.516		89.474			98.516	89.353
JEFDOCMN_00038			97.287	97.287		96.512			98.45		97.674			98.45	96.899
JEFDOCMN_00039			94.745	94.745		94.089			94.745		93.103			94.745	95.238
JEFDOCMN_00040			93.75	93.924		93.924			95.486		93.924			95.66	94.097
JEFDOCMN_00041			98.305	98.493		97.363			98.87		97.363			96.61	
JEFDOCMN_00042	67.014	68.858	97.436	97.436	69.123	96.581			96.296		96.296	67.014	69.123	97.721	97.151
JEFDOCMN_00043															
JEFDOCMN_00044													68.182		
JEFDOCMN_00045			84.646	84.646		96.887					95.736			97.211	96.899
JEFDOCMN_00046			95.213	95.745		96.454			94.326		95.922			93.794	95.39
JEFDOCMN_00047				87.692		87.692			92.308		87.692			95.699	89.231
