gene	AP018714	AP018715	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
AMNIBMGE_00001			98.734	80.995					83.613	76.923				84.874	98.734
AMNIBMGE_00002			87.848		97.304										97.304
AMNIBMGE_00003			96.296		95.767			93.122	88.36					92.593	96.296
AMNIBMGE_00004		79.452		79.167	100.0	76.136	76.136	93.939	92.424	79.452		79.452	79.452	95.455	99.242
AMNIBMGE_00005			98.913		97.101			86.531	90.612						97.464
AMNIBMGE_00006			94.518		91.447			91.228	86.057		96.272			91.009	95.175
AMNIBMGE_00007			99.0		95.752										
AMNIBMGE_00008			97.898		96.096			86.544	86.239					85.933	98.799
AMNIBMGE_00009			95.473								95.61			93.2	95.289
AMNIBMGE_00010			99.32		98.857				90.783		95.425				99.773
AMNIBMGE_00011			98.795		98.795			97.189	92.771		99.197			98.795	99.197
AMNIBMGE_00012			88.186		87.764			87.764	86.076		87.764			89.873	87.764
AMNIBMGE_00013			97.504		97.326			89.127	89.483		97.326			92.335	97.861
AMNIBMGE_00014			98.311		97.566			87.182			98.185			96.155	97.731
AMNIBMGE_00015			99.66		90.455			87.857	89.189		94.898			89.189	93.103
AMNIBMGE_00016	70.573	70.833	96.559	70.313	98.28	70.833	70.833	95.699	95.054	70.313	98.925	70.313	70.313	96.129	98.495
AMNIBMGE_00017	75.529	76.133	99.425	75.529	99.138	75.68	75.68	97.845	96.552	75.982	98.132	75.68	75.831	97.557	98.707
AMNIBMGE_00018			100.0		92.878			93.113			96.875			93.113	96.528
AMNIBMGE_00019			99.882		96.113			93.286	92.697		96.82			95.76	97.291
AMNIBMGE_00020			99.818		98.72			75.632	75.993		97.632			75.719	98.172
AMNIBMGE_00021	64.823	66.15	98.27	64.823	98.962	65.487	66.15	84.89	84.66	64.67	97.693	65.909	64.733	84.544	97.809
AMNIBMGE_00022	69.463	69.463	97.222	68.581	99.405	69.463	68.792	94.246	94.444	69.463	97.222	69.128	69.463	94.643	99.206
