gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	AP018715	TEX	V12_RAST
GeneID:5666368			100.0		99.259	99.259	100.0		100.0		98.519	100.0		
GeneID:5666553							100.0	69.65	100.0	70.817	100.0	100.0		
GeneID:5666560			99.291		98.582	98.582	100.0		99.291		99.291	99.527		
GeneID:5666559	78.063	78.063	97.714	78.063	99.624	99.624	98.0	77.778	97.143	75.281	98.5	98.0	77.493	78.063
GeneID:5666404	76.407	76.287	98.954	76.594			97.813	76.626	99.716	75.355	98.693	99.303	76.467	79.083
GeneID:5666563			98.352		98.859	96.705	99.71		96.831		98.986	98.226		
GeneID:5666550	67.197	67.396	99.21	66.998	99.303	98.187	99.442	67.396	97.071	67.197	97.946	99.684		67.197
GeneID:5666495			100.0		97.436	96.337	99.13		98.261		96.232	99.71		
GeneID:5666449	88.803	88.803	99.885	88.417	93.793	94.253	99.397	88.803	98.966	81.076	93.333	99.425	83.117	88.803
GeneID:5666401			100.0		97.653	99.844	99.531		97.496		97.653	99.844	74.118	
GeneID:5666472	68.343	68.047	99.71	68.343	97.971	99.42	100.0	68.047	98.261	68.047	98.261	99.13	68.047	68.343
GeneID:5666445	78.417	78.546	100.0	78.561	95.18	98.682	99.13	78.618	95.768	78.849	95.884	99.246	78.921	78.417
GeneID:5666363			100.0											
GeneID:5666473	74.644	74.644	99.721	74.644	99.242	99.369	99.242	74.644	99.874	75.291	99.369	99.242	75.162	74.644
GeneID:5666453			100.0		93.892	96.122	97.037		97.511		98.616	97.037		
GeneID:5666484	82.224	82.151	99.928	81.931	98.351	99.211	99.318	82.078	99.14	81.858	99.857	99.211	81.738	82.078
GeneID:5666557			98.864		100.0	99.242	92.045		99.346		98.864	99.242		
GeneID:5666478	76.671	76.671	99.222	75.889	99.444	96.889	99.333	76.671	98.556	75.778	98.556	96.889	76.905	76.671
GeneID:5666488	72.373	72.189	99.885	71.953	99.195	98.276	99.31	72.189	98.736	71.834	98.966	98.276	72.308	71.953
GeneID:5666437	72.857	72.857	100.0	72.857	99.519	98.558	99.278	72.857	98.718	73.333	99.679	98.558	73.492	73.333
GeneID:5666456	73.79	74.262	99.882	73.79	99.527	99.409	99.645	74.144	98.7	74.262	99.645	99.527	74.262	73.79
GeneID:5666360	78.512	78.099	100.0	78.512	100.0	100.0		78.099	100.0	77.273	100.0	100.0	78.099	78.512
GeneID:5666428	81.568	81.568	100.0	81.51	91.754	91.754	99.883	81.217	98.947	81.297	99.649	99.474	81.707	81.51
GeneID:5666358	86.761	85.579	100.0	86.525	99.475	99.475	99.213	86.998	98.345	85.377	99.213	99.054	87.204	86.525
GeneID:5666354			100.0											
GeneID:5666384			100.0		95.918	95.918	96.599				96.599	96.599		
GeneID:5666381	73.176	73.176	100.0	73.176	98.523	98.523	99.367	73.647	99.156	74.118	98.945	99.789	74.353	73.176
GeneID:5666389	78.007	77.281	99.798	77.281	99.192	99.192	98.958	78.007	99.306	77.312	99.653	99.826	77.835	78.007
GeneID:5666375	69.866	69.885	99.287	69.866	96.883	96.883	97.164	69.975	96.937	70.848	96.773	97.293	69.838	69.866
GeneID:5666365	70.054	69.324	99.498	70.288	98.336	98.336	99.211	70.125	98.023	70.066	99.215	99.184	69.965	70.054
GeneID:5666347	72.393	71.412	98.885	71.968	95.961	97.806	97.66	71.956	95.639	71.606	97.641	97.568	71.823	72.422
GeneID:5666367	63.82	63.44	95.273	63.82	95.643	94.986	95.643	63.53	94.657	63.879	92.893	95.232	64.376	63.452
GeneID:5666346			98.072		97.796	97.796	97.383		97.658			96.694		
GeneID:5666540			100.0		100.0	100.0	97.959		99.32	74.627	98.639	97.959	73.913	
GeneID:5666370	75.036	75.469	99.13	75.036	99.855	99.855	98.206	75.18	98.258	75.469	98.406	98.549	74.926	75.325
GeneID:5666393	74.907	76.58	98.324	74.907	98.696	98.696	98.51	76.208	98.324	77.138	98.696	98.51	75.093	75.465
GeneID:5666385	76.765	77.614	98.44	76.765	98.723	98.723	98.298	76.912	98.582	77.32	97.73	98.298	76.73	77.614
GeneID:5666392	76.886	76.692	97.721	76.886	97.721	97.721	99.041	77.079	98.945	77.95	99.329	98.945	79.014	76.886
GeneID:5666522	72.855	70.537	99.572	72.478	99.286	99.786	74.648	72.599	74.599	72.458	74.648	74.904	72.237	70.364
GeneID:5666497	75.954	75.191	99.634	76.145	99.451	99.451	97.985	75.763	98.125	75.763	98.718	97.985	75.0	76.145
GeneID:5666483	80.921	81.434	98.874	80.876	98.529	98.615	98.811	81.881	98.586	80.668	98.5	98.615	80.818	80.921
GeneID:5666564			100.0		100.0	96.135	99.517		99.034		100.0	99.517		
GeneID:5666505	73.913	74.294	99.323	74.381	99.436	99.016	99.253	73.8	95.77	75.0	99.167	99.167	73.97	73.913
GeneID:5666501	67.35	67.478	99.386	67.31	98.956	98.956	99.325	67.093	99.079	67.009	99.263	99.263		67.35
GeneID:5666492	77.004	76.779	99.525	76.704	99.253	99.253	99.457	76.554	99.253	81.818	99.525	99.457	77.079	77.378
GeneID:5666500	72.573	72.49	98.201	72.573	98.674	98.674	98.106	72.573	98.011	72.4	98.106	98.106	72.663	72.764
