gene	AP018714	AP018715	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
AMNIBMGE_00001			100.0	85.333					84.81	82.667				86.076	97.468
AMNIBMGE_00002			83.824		99.265										98.529
AMNIBMGE_00003			96.825		96.825			96.825	90.476					96.825	96.825
AMNIBMGE_00004	55.319	58.14		57.447	100.0	51.064	51.064	87.805	87.805	55.319		55.319	55.319	95.455	100.0
AMNIBMGE_00005			97.826		98.913			80.435	82.609						100.0
AMNIBMGE_00006			91.447		88.235			87.582	81.699		94.737			86.928	92.763
AMNIBMGE_00007			100.0		98.039										
AMNIBMGE_00008			99.099		98.198			91.743	88.073					88.991	99.099
AMNIBMGE_00009			93.902								93.902			92.4	95.161
AMNIBMGE_00010			99.32		99.145				89.655		96.078				100.0
AMNIBMGE_00011			100.0		100.0			98.795	96.386		100.0			100.0	100.0
AMNIBMGE_00012			83.544		84.81			83.544	77.215		84.81			84.81	83.544
AMNIBMGE_00013			99.465		96.791			89.305	90.374		98.93			89.84	97.861
AMNIBMGE_00014			98.022		97.277			82.28	78.229		97.649			94.969	97.401
AMNIBMGE_00015			100.0		83.333			73.684	81.053		89.796			81.053	88.542
AMNIBMGE_00016	66.667	67.308	99.355	66.026	99.355	66.667	66.667	98.71	96.774	66.667	100.0	66.667	66.026	99.355	99.355
AMNIBMGE_00017	84.052	84.052	100.0	84.052	100.0	84.052	84.052	100.0	99.138	84.052	100.0	84.052	84.052	100.0	100.0
AMNIBMGE_00018			100.0		93.576			94.792	52.076		97.65			94.792	97.917
AMNIBMGE_00019			99.647		97.88			94.7	95.406		99.293			96.82	99.293
AMNIBMGE_00020			99.454		99.454			68.306	69.399		98.907			68.306	98.907
AMNIBMGE_00021	51.203	51.203	100.0	51.203	99.308	50.859	51.203	91.696	91.349	51.203	99.308	51.203	51.203	91.349	99.654
AMNIBMGE_00022	56.886	57.485	100.0	57.485	100.0	57.485	57.485	99.405	99.405	57.485	98.81	57.485	57.485	98.81	99.405
AMNIBMGE_00023	79.835	79.835	100.0	79.835	100.0	79.835	79.835	100.0	100.0	79.835	100.0	79.835	79.835	99.595	100.0
AMNIBMGE_00024	52.83	53.302	99.535	52.83	98.605	52.83	52.83	100.0	99.535	52.83	98.605	52.83	52.83	99.535	98.14
AMNIBMGE_00025	58.197	57.377	100.0	58.197	98.374	57.377	58.197	99.187	99.187	58.197	98.374	57.377	58.197	99.187	99.187
AMNIBMGE_00026	76.353	76.353	100.0	76.353	99.522	76.353	76.353	99.043	99.282	76.353	100.0	76.353	76.353	99.043	99.522
AMNIBMGE_00027	52.648	52.648	98.083	52.96	98.403	53.584	53.584	90.096	91.054	52.648	98.722	53.251	52.96	90.415	98.403
AMNIBMGE_00028			96.667		96.667			81.111	80.0		97.778			81.111	96.667
AMNIBMGE_00029	68.027	68.027	98.658	68.027	99.324	68.027	68.027	96.575	97.959		100.0	68.027	68.027	98.63	100.0
AMNIBMGE_00030	50.318	50.318	97.243	50.0	97.243	50.318	50.318	89.474	92.982		96.992	50.318	50.318	89.922	97.243
AMNIBMGE_00031	93.151	93.151	100.0	93.151	100.0	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0	100.0
AMNIBMGE_00032	72.449	72.449	99.091	73.469	99.091	73.469	73.469	97.273	97.273	73.469	100.0	73.469	73.469	97.273	98.182
AMNIBMGE_00033	74.026	74.026	99.468	77.273	99.468	77.54	74.026	99.202	98.712	74.026	100.0	77.54	77.54	98.936	99.468
AMNIBMGE_00034	53.506	53.506	99.474	53.247	100.0	53.506	53.506	97.368	97.368	53.247	99.474	53.247	53.247	96.842	98.684
AMNIBMGE_00035	81.905	81.905	100.0	81.905	100.0	81.905	81.905	99.138	100.0	81.905	100.0	81.905	81.905	100.0	100.0
AMNIBMGE_00036	69.948	69.789	99.694	69.948	99.898	69.816	69.816	99.307	99.589	69.44	100.0	69.948	70.576	97.446	98.979
AMNIBMGE_00037	80.392	80.392	100.0	80.392	100.0	80.392	80.392	100.0	100.0	73.438	100.0	80.392	80.392	99.038	100.0
AMNIBMGE_00038	79.245	79.245	100.0	79.245	100.0	79.245	79.245	99.245	100.0	78.539	100.0	79.245	79.245	100.0	99.623
AMNIBMGE_00039			98.582		100.0			99.291	97.163		100.0			95.745	97.163
AMNIBMGE_00040			98.413		100.0			98.413	98.413		100.0			98.413	98.413
AMNIBMGE_00041			94.262		99.18			96.721	92.623		99.18			95.902	96.721
AMNIBMGE_00042	72.768	72.768	98.673	72.321	98.673	72.321	72.321	100.0	100.0	72.768	98.673	72.321	72.321	99.558	98.23
AMNIBMGE_00043			97.685		98.148			97.685			98.148				96.296
AMNIBMGE_00044	63.025	63.025	100.0	63.025	100.0	63.025	63.025	98.374	98.374	63.025	100.0	63.025	63.025	100.0	97.561
AMNIBMGE_00045			100.0		100.0			97.115	97.115		100.0			97.115	99.038
AMNIBMGE_00046			99.038		99.038			99.038	100.0		99.038			99.038	100.0
AMNIBMGE_00047			98.734		98.734			96.203	100.0		98.734			96.203	96.203
AMNIBMGE_00048	59.636	59.636	98.299	59.636	99.66	59.636	59.636	92.273	80.906	59.636	99.66	60.364	59.636	98.299	97.619
AMNIBMGE_00049	69.972	69.972	99.716	69.972	99.432	69.972	69.972	98.864	98.864	64.583	99.716	69.972	69.972	98.864	99.148
AMNIBMGE_00050	53.636	53.182	100.0	53.636	100.0	53.182	53.182	97.727	93.636	53.182	100.0	53.182	53.636	97.273	97.727
AMNIBMGE_00051	65.927	65.61	99.842	65.769	100.0	65.61	65.61	99.366	97.94	65.452	100.0	65.769	65.927	99.525	99.842
AMNIBMGE_00052	74.432	74.432	99.424	75.0	100.0	74.716	74.716	98.847	97.695	74.716	100.0	74.432	74.716	98.847	98.559
AMNIBMGE_00053	78.484	78.484	99.796	78.484	100.0	78.484	78.484	99.593	99.647	78.484	99.593	78.484	78.484	99.593	99.593
