gene	Ben	Bill	Bob	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.334308.peg.1		100.0												95.72
SEED:fig|6666666.334308.peg.2									88.976				94.118	100.0
SEED:fig|6666666.334308.peg.3	93.447	96.011							86.508				90.476	100.0
SEED:fig|6666666.334308.peg.4	96.552	98.276							90.23				91.379	97.126
SEED:fig|6666666.334308.peg.5	97.389	99.739							91.927				92.708	97.65
SEED:fig|6666666.334308.peg.6	98.039								90.0				91.176	100.0
SEED:fig|6666666.334308.peg.7	96.86	98.068							92.271				92.512	96.618
SEED:fig|6666666.334308.peg.8	94.792	100.0					95.833							100.0
SEED:fig|6666666.334308.peg.9	95.96	98.99												100.0
SEED:fig|6666666.334308.peg.10	97.222	98.333	77.401				98.333	76.271			79.245			100.0
SEED:fig|6666666.334308.peg.11														99.02
SEED:fig|6666666.334308.peg.12	93.519						92.593							
SEED:fig|6666666.334308.peg.13	97.26	97.945					96.599		92.517					97.959
SEED:fig|6666666.334308.peg.14	95.536	97.321	83.036				94.667	77.679			84.889	76.339		96.875
SEED:fig|6666666.334308.peg.15	100.0						97.884						98.942	99.471
SEED:fig|6666666.334308.peg.16	98.872					91.011		88.015	92.105	89.888	86.517			98.876
SEED:fig|6666666.334308.peg.17	91.489	93.617				95.745	96.19		91.489	94.326			92.908	91.489
SEED:fig|6666666.334308.peg.18						86.111			85.417	86.806		86.806	84.028	
SEED:fig|6666666.334308.peg.19	97.619	96.032					97.642							100.0
SEED:fig|6666666.334308.peg.20	97.987		93.548	93.421	93.421	93.624		94.595		93.289	91.447	93.421		100.0
SEED:fig|6666666.334308.peg.21	95.175	96.491					95.175		89.912				90.351	99.123
SEED:fig|6666666.334308.peg.22	97.436	96.154					96.581						95.726	100.0
SEED:fig|6666666.334308.peg.23									93.256				94.788	100.0
SEED:fig|6666666.334308.peg.24							90.805		87.435				95.96	100.0
SEED:fig|6666666.334308.peg.25	91.515	91.515												100.0
SEED:fig|6666666.334308.peg.26	90.439	89.922					93.696		83.155					100.0
SEED:fig|6666666.334308.peg.27	96.119	95.662					99.087		96.575					99.772
SEED:fig|6666666.334308.peg.28	96.466	96.787							97.349				96.867	99.839
SEED:fig|6666666.334308.peg.29	92.063	93.122					99.471						98.942	100.0
SEED:fig|6666666.334308.peg.30	95.816	95.682					99.64						93.387	93.117
SEED:fig|6666666.334308.peg.31														96.451
SEED:fig|6666666.334308.peg.32	96.458	96.322				71.93	90.872		90.736			71.429	90.872	98.419
SEED:fig|6666666.334308.peg.33	100.0	98.354					95.473		89.712				90.535	99.588
SEED:fig|6666666.334308.peg.34	98.942	98.677												96.825
SEED:fig|6666666.334308.peg.35	96.831	98.826					98.12		89.492				89.61	98.474
SEED:fig|6666666.334308.peg.36	98.765	100.0					100.0		89.308				89.308	100.0
SEED:fig|6666666.334308.peg.37	98.925	100.0					100.0		89.007				87.943	97.849
SEED:fig|6666666.334308.peg.38	95.614	99.415					99.123							95.906
SEED:fig|6666666.334308.peg.39	94.372						92.391		91.304					89.61
SEED:fig|6666666.334308.peg.40	100.0	99.663					99.174		88.215				80.479	96.97
SEED:fig|6666666.334308.peg.41	99.329	99.105					99.151		77.829				76.923	99.329
SEED:fig|6666666.334308.peg.42	97.243	97.243					97.243		83.92				83.459	98.997
SEED:fig|6666666.334308.peg.43	99.621	99.621					99.242		95.833				95.833	100.0
SEED:fig|6666666.334308.peg.44	97.431	97.798					98.287		96.086				95.963	98.96
SEED:fig|6666666.334308.peg.45	95.016	94.704					94.081		99.377				98.754	93.769
SEED:fig|6666666.334308.peg.46	97.571	97.706					98.514		90.143				90.566	98.111
SEED:fig|6666666.334308.peg.47	97.354	97.354					97.354		95.238				95.238	98.942
SEED:fig|6666666.334308.peg.48	95.895	95.895					96.716		93.596				93.596	97.373
SEED:fig|6666666.334308.peg.49	98.09	98.958					98.611		95.313				95.139	99.479
SEED:fig|6666666.334308.peg.50	95.669	95.857					96.987		96.987				97.74	98.031
SEED:fig|6666666.334308.peg.51	97.436	97.436					99.145		98.006		67.577	67.55	96.581	98.291
SEED:fig|6666666.334308.peg.52	93.778	98.667					94.064		95.111				92.889	94.977
SEED:fig|6666666.334308.peg.53	99.55												98.157	
SEED:fig|6666666.334308.peg.54	98.592	98.592											98.578	
SEED:fig|6666666.334308.peg.55	86.434	86.434					95.635						95.019	97.619
SEED:fig|6666666.334308.peg.56														97.484
SEED:fig|6666666.334308.peg.57	76.961	77.451					83.824							98.039
SEED:fig|6666666.334308.peg.58	95.567	96.454					95.213		94.681				93.44	96.277
SEED:fig|6666666.334308.peg.59	99.104	99.462					94.265							99.642
