gene	Ben	Bill	Bob	Bop	Car	Carl	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
GeneID:24628048								90.957		97.475	95.385	91.062		
GeneID:24628054			89.418					100.0		99.612	88.889	97.059		
GeneID:24628055			91.733					98.933		99.733	94.933	99.2		
GeneID:24628056			97.403		97.561	97.403		93.506		100.0	98.701	100.0		
GeneID:24628057			96.561		97.09	97.09		93.915		99.735	96.032	100.0		
GeneID:24628058			86.45		99.727	99.727		89.891		100.0	87.263	99.727		
GeneID:24628059			97.222		100.0	100.0				99.444	98.889	99.444		
GeneID:24628060			97.959		100.0	100.0		93.537		99.66	100.0	99.66		
GeneID:24628061			89.109		99.67	99.67		88.449		99.67	100.0	99.67		
GeneID:24628062			99.01		100.0	100.0		96.7		99.34	100.0	99.34		
GeneID:24628063			99.069		98.51	99.814		95.624		98.883	98.976	99.348		
GeneID:24628064			97.212		96.958	100.0		97.465		99.24	97.212	99.493		
GeneID:24628065			98.611		99.303	100.0		97.561		98.958	98.611	100.0		
GeneID:24628066			100.0		98.413	99.603		100.0		99.603	100.0	99.603		
GeneID:24628067			98.901		97.802	99.267		99.267		98.535	99.267	99.267		
GeneID:24628068			98.83		80.347	100.0		100.0		82.313	98.83	100.0		
GeneID:24628069			97.041		93.688	99.803		99.211		96.647	97.83	100.0		
GeneID:24628070								100.0		90.338	95.169	99.517		
GeneID:24628071			98.029		96.535	98.287		98.858		98.901	98.158	98.772		
GeneID:24628072	70.313	70.833	98.932	70.284	98.077	98.077	70.573	98.932	69.271	99.573	98.291	99.145	70.052	71.094
GeneID:24628073	75.982	76.435	98.841	75.982	99.275	99.275	76.284	98.696	75.575	99.13	99.275	99.71	77.006	76.737
GeneID:24628074			91.262		93.677	93.677		91.262		97.79	95.764	95.519		
GeneID:24628075			97.4		97.163	97.163		97.636		96.809	96.572	96.099		
GeneID:24628076	64.67	64.778	98.019	64.462	97.552	97.552	64.625	98.368		97.669	97.902	97.669		65.487
GeneID:24628077			96.296		95.442	95.157		96.296		97.151	97.151	96.866		
GeneID:24628078	69.463	71.0	99.014	70.134	99.014	99.408	70.134	99.606	71.044	99.408	99.606	99.606	70.134	69.128
GeneID:24628079	72.599	72.599	99.46	72.175	99.325	99.595	72.316	99.19	72.034	98.785	99.19	98.92	72.458	72.599
GeneID:24628080			97.585		98.712	98.39		98.712		98.551	98.551	98.068		
GeneID:24628081			100.0		99.2	99.467		99.467		99.467	100.0	98.933		
GeneID:24628082	75.455	72.624	98.91	73.458	98.832	98.676	75.736	98.131	75.101	98.91	98.988	98.91	75.659	72.927
GeneID:24628083	65.068		95.702	64.822	96.017	95.912	64.945	95.493	63.424	96.331	96.017	96.331		65.191
GeneID:24628084			99.02		95.638	94.966		95.302		95.638	100.0	95.638		
GeneID:24628085			98.315		98.876	98.876		98.876		96.629	98.315	96.629		
GeneID:24628086	67.052	67.341	99.449	66.474	99.449	99.449	66.474	99.265	66.959	99.265	99.449	99.265	67.341	65.896
GeneID:24628087	85.766	85.401	99.638	85.401	98.913	98.913	85.401	99.556	85.401	99.638	99.638	99.638	85.401	85.401
GeneID:24628088	72.081	72.081	99.024	72.25	97.561	97.724	72.25	98.211	72.42	98.537	99.187	98.537	72.101	72.927
