gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
EGEOBHOM_00001	98.551	98.551			98.551		100.0			94.203		99.517	96.618		
EGEOBHOM_00002		97.835			96.476		100.0			98.268		98.268	96.035		
EGEOBHOM_00003	95.146	95.146			97.585		100.0			97.573		96.618	95.631		
EGEOBHOM_00004							100.0						97.778		
EGEOBHOM_00005	92.929	93.836			94.949		100.0			95.89		95.96	97.98		
EGEOBHOM_00006	83.448						100.0					83.448			
EGEOBHOM_00007							100.0			96.991		97.454	98.38		
EGEOBHOM_00008					98.575		100.0						100.0		
EGEOBHOM_00009	100.0				95.455		100.0			97.895		97.475	93.583		
EGEOBHOM_00010	99.531				97.156		100.0			99.531		98.477	97.156		
EGEOBHOM_00011	99.34	96.732					100.0			96.732					
EGEOBHOM_00012	99.479	98.438			98.958		100.0			98.958		98.438	98.958		
EGEOBHOM_00013	95.0	95.278			95.833		100.0			96.111		97.222	97.778		
EGEOBHOM_00014	98.039				99.02		100.0			99.02		100.0	99.02		
EGEOBHOM_00015					95.556		100.0					95.556			
EGEOBHOM_00016	96.491						100.0			96.053					
EGEOBHOM_00017	92.098	92.418			92.816		100.0			93.678		90.948	93.678		
EGEOBHOM_00018					90.8		100.0					92.369	90.8		
EGEOBHOM_00019					96.667		100.0					96.667	98.889		
EGEOBHOM_00020		96.053					100.0					97.368	96.053		
EGEOBHOM_00021		97.786	72.826	73.551			100.0					99.267	98.513		
EGEOBHOM_00022	99.664	96.262	94.966		93.75	93.421	100.0			99.329		95.95	98.131		93.421
EGEOBHOM_00023	97.756	97.756			95.192		100.0			96.795		98.718	98.718		
EGEOBHOM_00024	99.145						100.0								
EGEOBHOM_00025	96.875	96.875			96.875		100.0			97.917		94.792	96.354		
EGEOBHOM_00026	95.111	94.667			94.667		100.0			95.556		94.222	94.667		
EGEOBHOM_00027	97.222	97.619			95.0		99.603			96.825		97.222	95.0		
EGEOBHOM_00028	78.906	78.01			86.352		100.0			78.906		78.133	85.827		
EGEOBHOM_00029	94.949	93.939			94.444		100.0			94.949		95.455	93.939		
